dll,name,address
ADVAPI32.dll,RegSetValueExA,0x40b000
ADVAPI32.dll,RegCloseKey,0x40b004
ADVAPI32.dll,RegQueryValueExA,0x40b008
ADVAPI32.dll,RegOpenKeyExA,0x40b00c
ADVAPI32.dll,AdjustTokenPrivileges,0x40b010
ADVAPI32.dll,LookupPrivilegeValueA,0x40b014
ADVAPI32.dll,OpenProcessToken,0x40b018
ADVAPI32.dll,LookupAccountSidA,0x40b01c
ADVAPI32.dll,GetTokenInformation,0x40b020
USER32.dll,LoadIconA,0x40b19c
USER32.dll,UpdateWindow,0x40b1a0
USER32.dll,ShowWindow,0x40b1a4
USER32.dll,CreateWindowExA,0x40b1a8
USER32.dll,PostQuitMessage,0x40b1ac
USER32.dll,EndPaint,0x40b1b0
USER32.dll,BeginPaint,0x40b1b4
USER32.dll,DefWindowProcA,0x40b1b8
USER32.dll,DestroyWindow,0x40b1bc
USER32.dll,TranslateMessage,0x40b1c0
USER32.dll,TranslateAcceleratorA,0x40b1c4
USER32.dll,GetMessageA,0x40b1c8
USER32.dll,LoadAcceleratorsA,0x40b1cc
USER32.dll,LoadStringA,0x40b1d0
USER32.dll,RegisterClassExA,0x40b1d4
USER32.dll,DispatchMessageA,0x40b1d8
USER32.dll,LoadCursorA,0x40b1dc
WININET.dll,HttpEndRequestA,0x40b1e4
WININET.dll,InternetWriteFile,0x40b1e8
WININET.dll,HttpSendRequestExA,0x40b1ec
WININET.dll,HttpQueryInfoA,0x40b1f0
WININET.dll,InternetReadFile,0x40b1f4
WININET.dll,HttpOpenRequestA,0x40b1f8
WININET.dll,InternetSetCookieA,0x40b1fc
WININET.dll,HttpSendRequestA,0x40b200
WININET.dll,InternetOpenA,0x40b204
WININET.dll,InternetConnectA,0x40b208
WININET.dll,InternetAttemptConnect,0x40b20c
WININET.dll,InternetCloseHandle,0x40b210
WININET.dll,HttpAddRequestHeadersA,0x40b214
KERNEL32.dll,GetCurrentProcessId,0x40b028
KERNEL32.dll,GetCurrentThreadId,0x40b02c
KERNEL32.dll,QueryPerformanceCounter,0x40b030
KERNEL32.dll,IsDebuggerPresent,0x40b034
KERNEL32.dll,SetUnhandledExceptionFilter,0x40b038
KERNEL32.dll,UnhandledExceptionFilter,0x40b03c
KERNEL32.dll,InterlockedCompareExchange,0x40b040
KERNEL32.dll,InterlockedExchange,0x40b044
KERNEL32.dll,GetProcessHeap,0x40b048
KERNEL32.dll,HeapAlloc,0x40b04c
KERNEL32.dll,HeapFree,0x40b050
KERNEL32.dll,TerminateProcess,0x40b054
KERNEL32.dll,OpenProcess,0x40b058
KERNEL32.dll,GetCurrentProcess,0x40b05c
KERNEL32.dll,GetLastError,0x40b060
KERNEL32.dll,GetModuleHandleA,0x40b064
KERNEL32.dll,GetProcAddress,0x40b068
