dll,name,address
KERNEL32.dll,CreateEventA,0x42201c
KERNEL32.dll,CreateProcessA,0x422020
KERNEL32.dll,TerminateProcess,0x422024
KERNEL32.dll,ReadFile,0x422028
KERNEL32.dll,GetSystemDirectoryA,0x42202c
KERNEL32.dll,MultiByteToWideChar,0x422030
KERNEL32.dll,DisconnectNamedPipe,0x422034
KERNEL32.dll,SetCurrentDirectoryA,0x422038
KERNEL32.dll,GetStartupInfoA,0x42203c
KERNEL32.dll,GetLastError,0x422040
KERNEL32.dll,CreateNamedPipeA,0x422044
KERNEL32.dll,GetPrivateProfileStringA,0x422048
KERNEL32.dll,WritePrivateProfileStringA,0x42204c
KERNEL32.dll,CreatePipe,0x422050
KERNEL32.dll,GetModuleFileNameA,0x422054
KERNEL32.dll,GetCurrentDirectoryA,0x422058
KERNEL32.dll,Sleep,0x42205c
KERNEL32.dll,CloseHandle,0x422060
KERNEL32.dll,InitializeCriticalSection,0x422064
KERNEL32.dll,LeaveCriticalSection,0x422068
KERNEL32.dll,EnterCriticalSection,0x42206c
KERNEL32.dll,DeleteCriticalSection,0x422070
KERNEL32.dll,CreateFileA,0x422074
KERNEL32.dll,GetCurrentProcess,0x422078
KERNEL32.dll,OpenProcess,0x42207c
KERNEL32.dll,WideCharToMultiByte,0x422080
KERNEL32.dll,GetProcAddress,0x422084
KERNEL32.dll,GetModuleHandleA,0x422088
KERNEL32.dll,TerminateThread,0x42208c
KERNEL32.dll,WriteFile,0x422090
KERNEL32.dll,ConnectNamedPipe,0x422094
KERNEL32.dll,SetEvent,0x422098
KERNEL32.dll,WaitForSingleObject,0x42209c
KERNEL32.dll,GetVersionExA,0x4220a0
KERNEL32.dll,PeekNamedPipe,0x4220a4
KERNEL32.dll,CompareStringW,0x4220a8
KERNEL32.dll,CompareStringA,0x4220ac
KERNEL32.dll,GetProcessHeap,0x4220b0
KERNEL32.dll,SetEndOfFile,0x4220b4
KERNEL32.dll,FlushFileBuffers,0x4220b8
KERNEL32.dll,WriteConsoleW,0x4220bc
KERNEL32.dll,GetConsoleOutputCP,0x4220c0
KERNEL32.dll,WriteConsoleA,0x4220c4
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x4220c8
KERNEL32.dll,LoadLibraryA,0x4220cc
KERNEL32.dll,GetLocaleInfoA,0x4220d0
KERNEL32.dll,GetStringTypeW,0x4220d4
KERNEL32.dll,GetStringTypeA,0x4220d8
KERNEL32.dll,LCMapStringW,0x4220dc
KERNEL32.dll,LCMapStringA,0x4220e0
KERNEL32.dll,GetCurrentProcessId,0x4220e4
KERNEL32.dll,ExitThread,0x4220e8
KERNEL32.dll,GetCurrentThreadId,0x4220ec
KERNEL32.dll,CreateThread,0x4220f0
KERNEL32.dll,UnhandledExceptionFilter,0x4220f4
KERNEL32.dll,SetUnhandledExceptionFilter,0x4220f8
KERNEL32.dll,IsDebuggerPresent,0x4220fc
KERNEL32.dll,GetSystemTimeAsFileTime,0x422100
KERNEL32.dll,HeapFree,0x422104
KERNEL32.dll,HeapAlloc,0x422108
KERNEL32.dll,HeapReAlloc,0x42210c
KERNEL32.dll,GetCommandLineA,0x422110
KERNEL32.dll,RaiseException,0x422114
KERNEL32.dll,RtlUnwind,0x422118
KERNEL32.dll,GetTimeZoneInformation,0x42211c
KERNEL32.dll,GetCPInfo,0x422120
KERNEL32.dll,InterlockedIncrement,0x422124
KERNEL32.dll,InterlockedDecrement,0x422128
KERNEL32.dll,GetACP,0x42212c
KERNEL32.dll,GetOEMCP,0x422130
KERNEL32.dll,IsValidCodePage,0x422134
KERNEL32.dll,GetModuleHandleW,0x422138
KERNEL32.dll,TlsGetValue,0x42213c
KERNEL32.dll,TlsAlloc,0x422140
KERNEL32.dll,TlsSetValue,0x422144
KERNEL32.dll,TlsFree,0x422148
KERNEL32.dll,SetLastError,0x42214c
KERNEL32.dll,HeapSize,0x422150
KERNEL32.dll,ExitProcess,0x422154
KERNEL32.dll,GetConsoleCP,0x422158
KERNEL32.dll,GetConsoleMode,0x42215c
KERNEL32.dll,SetHandleCount,0x422160
KERNEL32.dll,GetStdHandle,0x422164
KERNEL32.dll,GetFileType,0x422168
KERNEL32.dll,SetFilePointer,0x42216c
KERNEL32.dll,SetStdHandle,0x422170
KERNEL32.dll,HeapCreate,0x422174
KERNEL32.dll,VirtualFree,0x422178
