dll,name,address
KERNEL32.DLL,LoadLibraryA,0x446638
KERNEL32.DLL,GetProcAddress,0x44663c
KERNEL32.DLL,GetCommandLineA,0x446640
KERNEL32.DLL,GetStartupInfoA,0x446644
KERNEL32.DLL,GetProcessHeap,0x446648
KERNEL32.DLL,GetLastError,0x44664c
KERNEL32.DLL,GetModuleHandleA,0x446650
KERNEL32.DLL,TlsGetValue,0x446654
KERNEL32.DLL,InterlockedIncrement,0x446658
KERNEL32.DLL,HeapAlloc,0x44665c
KERNEL32.DLL,ExitProcess,0x446660
ADVAPI32.dll,FreeSid,0x446668
CRYPT32.dll,CertOpenStore,0x446670
ole32.dll,CoInitialize,0x446678
RPCRT4.dll,UuidCreate,0x446680
Secur32.dll,GetComputerObjectNameW,0x446688
SHELL32.dll,SHGetFolderPathW,0x446690
USER32.dll,wsprintfA,0x446698
WS2_32.dll,ioctlsocket,0x4466a0
WTSAPI32.dll,WTSFreeMemory,0x4466a8
