dll,name,address
KERNEL32.dll,CreateProcessW,0x407000
KERNEL32.dll,GetModuleFileNameW,0x407004
KERNEL32.dll,GetLastError,0x407008
KERNEL32.dll,ExpandEnvironmentStringsW,0x40700c
KERNEL32.dll,CreateDirectoryW,0x407010
KERNEL32.dll,WriteFile,0x407014
KERNEL32.dll,CreateFileW,0x407018
KERNEL32.dll,CloseHandle,0x40701c
KERNEL32.dll,InterlockedExchange,0x407020
KERNEL32.dll,GetCommandLineA,0x407024
KERNEL32.dll,HeapSetInformation,0x407028
KERNEL32.dll,GetStartupInfoW,0x40702c
KERNEL32.dll,TerminateProcess,0x407030
KERNEL32.dll,GetCurrentProcess,0x407034
KERNEL32.dll,UnhandledExceptionFilter,0x407038
KERNEL32.dll,SetUnhandledExceptionFilter,0x40703c
KERNEL32.dll,IsDebuggerPresent,0x407040
KERNEL32.dll,HeapFree,0x407044
KERNEL32.dll,EncodePointer,0x407048
KERNEL32.dll,DecodePointer,0x40704c
KERNEL32.dll,HeapAlloc,0x407050
KERNEL32.dll,RaiseException,0x407054
KERNEL32.dll,GetProcAddress,0x407058
KERNEL32.dll,GetModuleHandleW,0x40705c
KERNEL32.dll,ExitProcess,0x407060
KERNEL32.dll,GetStdHandle,0x407064
KERNEL32.dll,GetModuleFileNameA,0x407068
KERNEL32.dll,FreeEnvironmentStringsW,0x40706c
KERNEL32.dll,WideCharToMultiByte,0x407070
KERNEL32.dll,GetEnvironmentStringsW,0x407074
KERNEL32.dll,SetHandleCount,0x407078
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x40707c
KERNEL32.dll,GetFileType,0x407080
KERNEL32.dll,DeleteCriticalSection,0x407084
KERNEL32.dll,TlsAlloc,0x407088
KERNEL32.dll,TlsGetValue,0x40708c
KERNEL32.dll,TlsSetValue,0x407090
KERNEL32.dll,TlsFree,0x407094
KERNEL32.dll,InterlockedIncrement,0x407098
KERNEL32.dll,SetLastError,0x40709c
KERNEL32.dll,GetCurrentThreadId,0x4070a0
KERNEL32.dll,InterlockedDecrement,0x4070a4
KERNEL32.dll,HeapCreate,0x4070a8
KERNEL32.dll,QueryPerformanceCounter,0x4070ac
KERNEL32.dll,GetTickCount,0x4070b0
KERNEL32.dll,GetCurrentProcessId,0x4070b4
KERNEL32.dll,GetSystemTimeAsFileTime,0x4070b8
KERNEL32.dll,Sleep,0x4070bc
KERNEL32.dll,HeapSize,0x4070c0
KERNEL32.dll,LeaveCriticalSection,0x4070c4
KERNEL32.dll,EnterCriticalSection,0x4070c8
KERNEL32.dll,LoadLibraryW,0x4070cc
KERNEL32.dll,GetCPInfo,0x4070d0
KERNEL32.dll,GetACP,0x4070d4
KERNEL32.dll,GetOEMCP,0x4070d8
KERNEL32.dll,IsValidCodePage,0x4070dc
KERNEL32.dll,RtlUnwind,0x4070e0
KERNEL32.dll,HeapReAlloc,0x4070e4
KERNEL32.dll,LCMapStringW,0x4070e8
KERNEL32.dll,MultiByteToWideChar,0x4070ec
KERNEL32.dll,GetStringTypeW,0x4070f0
KERNEL32.dll,IsProcessorFeaturePresent,0x4070f4
SHELL32.dll,ShellExecuteExW,0x4070fc
SHELL32.dll,SHGetSpecialFolderPathW,0x407100
