dll,name,address
KERNEL32.dll,FreeEnvironmentStringsW,0x456c54
KERNEL32.dll,GetEnvironmentStrings,0x456c58
KERNEL32.dll,GetEnvironmentStringsW,0x456c5c
KERNEL32.dll,SetHandleCount,0x456c60
KERNEL32.dll,GetStdHandle,0x456c64
KERNEL32.dll,GetFileType,0x456c68
KERNEL32.dll,HeapDestroy,0x456c6c
KERNEL32.dll,HeapCreate,0x456c70
KERNEL32.dll,VirtualFree,0x456c74
KERNEL32.dll,FatalAppExitA,0x456c78
KERNEL32.dll,SetUnhandledExceptionFilter,0x456c7c
KERNEL32.dll,LCMapStringA,0x456c80
KERNEL32.dll,LCMapStringW,0x456c84
KERNEL32.dll,VirtualAlloc,0x456c88
KERNEL32.dll,IsBadWritePtr,0x456c8c
KERNEL32.dll,GetStringTypeA,0x456c90
KERNEL32.dll,FreeEnvironmentStringsA,0x456c94
KERNEL32.dll,Sleep,0x456c98
KERNEL32.dll,IsBadReadPtr,0x456c9c
KERNEL32.dll,IsBadCodePtr,0x456ca0
KERNEL32.dll,IsValidLocale,0x456ca4
KERNEL32.dll,IsValidCodePage,0x456ca8
KERNEL32.dll,GetLocaleInfoA,0x456cac
KERNEL32.dll,EnumSystemLocalesA,0x456cb0
KERNEL32.dll,GetUserDefaultLCID,0x456cb4
KERNEL32.dll,GetVersionExA,0x456cb8
KERNEL32.dll,SetConsoleCtrlHandler,0x456cbc
KERNEL32.dll,CompareStringA,0x456cc0
KERNEL32.dll,CompareStringW,0x456cc4
KERNEL32.dll,SetEnvironmentVariableA,0x456cc8
KERNEL32.dll,GetLocaleInfoW,0x456ccc
KERNEL32.dll,UnhandledExceptionFilter,0x456cd0
KERNEL32.dll,GetProfileStringA,0x456cd4
KERNEL32.dll,GetLocalTime,0x456cd8
KERNEL32.dll,GetSystemTime,0x456cdc
KERNEL32.dll,GetTimeZoneInformation,0x456ce0
KERNEL32.dll,GetACP,0x456ce4
KERNEL32.dll,HeapReAlloc,0x456ce8
KERNEL32.dll,HeapSize,0x456cec
KERNEL32.dll,ExitThread,0x456cf0
KERNEL32.dll,CreateThread,0x456cf4
KERNEL32.dll,TerminateProcess,0x456cf8
KERNEL32.dll,HeapFree,0x456cfc
KERNEL32.dll,HeapAlloc,0x456d00
KERNEL32.dll,RaiseException,0x456d04
KERNEL32.dll,ExitProcess,0x456d08
KERNEL32.dll,GetCommandLineA,0x456d0c
KERNEL32.dll,GetStartupInfoA,0x456d10
KERNEL32.dll,RtlUnwind,0x456d14
KERNEL32.dll,FileTimeToLocalFileTime,0x456d18
KERNEL32.dll,FileTimeToSystemTime,0x456d1c
KERNEL32.dll,SetFileAttributesA,0x456d20
KERNEL32.dll,SetFileTime,0x456d24
KERNEL32.dll,SystemTimeToFileTime,0x456d28
KERNEL32.dll,LocalFileTimeToFileTime,0x456d2c
KERNEL32.dll,GetFileTime,0x456d30
KERNEL32.dll,GetFileSize,0x456d34
KERNEL32.dll,GetFileAttributesA,0x456d38
KERNEL32.dll,GetShortPathNameA,0x456d3c
KERNEL32.dll,GetThreadLocale,0x456d40
KERNEL32.dll,GetStringTypeExA,0x456d44
KERNEL32.dll,GetFullPathNameA,0x456d48
KERNEL32.dll,GetVolumeInformationA,0x456d4c
KERNEL32.dll,FindFirstFileA,0x456d50
KERNEL32.dll,FindClose,0x456d54
KERNEL32.dll,DeleteFileA,0x456d58
KERNEL32.dll,MoveFileA,0x456d5c
KERNEL32.dll,SetEndOfFile,0x456d60
KERNEL32.dll,UnlockFile,0x456d64
KERNEL32.dll,LockFile,0x456d68
KERNEL32.dll,FlushFileBuffers,0x456d6c
KERNEL32.dll,SetFilePointer,0x456d70
KERNEL32.dll,WriteFile,0x456d74
KERNEL32.dll,ReadFile,0x456d78
KERNEL32.dll,CreateFileA,0x456d7c
KERNEL32.dll,GetCurrentProcess,0x456d80
KERNEL32.dll,DuplicateHandle,0x456d84
KERNEL32.dll,SetErrorMode,0x456d88
KERNEL32.dll,GetCurrentDirectoryA,0x456d8c
KERNEL32.dll,WritePrivateProfileStringA,0x456d90
KERNEL32.dll,GetPrivateProfileStringA,0x456d94
KERNEL32.dll,GetPrivateProfileIntA,0x456d98
KERNEL32.dll,SizeofResource,0x456d9c
KERNEL32.dll,GetOEMCP,0x456da0
KERNEL32.dll,GetCPInfo,0x456da4
KERNEL32.dll,GetProcessVersion,0x456da8
KERNEL32.dll,GlobalFlags,0x456dac
KERNEL32.dll,TlsGetValue,0x456db0
KERNEL32.dll,LocalReAlloc,0x456db4
KERNEL32.dll,TlsSetValue,0x456db8
KERNEL32.dll,EnterCriticalSection,0x456dbc
