dll,name,address
ADVAPI32.DLL,RegCloseKey,0x20621c
ADVAPI32.DLL,RegCreateKeyExA,0x206220
ADVAPI32.DLL,RegSetValueExA,0x206224
ADVAPI32.DLL,RegCreateKeyA,0x206228
COMCTL32.DLL,ImageList_Destroy,0x206230
COMCTL32.DLL,InitCommonControlsEx,0x206234
GDI32.DLL,CreateFontIndirectW,0x20623c
GDI32.DLL,CreateSolidBrush,0x206240
GDI32.DLL,DeleteDC,0x206244
GDI32.DLL,DeleteObject,0x206248
GDI32.DLL,GetDeviceCaps,0x20624c
GDI32.DLL,GetTextMetricsW,0x206250
GDI32.DLL,SelectObject,0x206254
GDI32.DLL,SetTextAlign,0x206258
KERNEL32.DLL,CloseHandle,0x206260
KERNEL32.DLL,CreateDirectoryW,0x206264
KERNEL32.DLL,CreateFileA,0x206268
KERNEL32.DLL,CreateProcessW,0x20626c
KERNEL32.DLL,DeleteFileW,0x206270
KERNEL32.DLL,ExitProcess,0x206274
KERNEL32.DLL,FindClose,0x206278
KERNEL32.DLL,FindFirstFileW,0x20627c
KERNEL32.DLL,FindNextFileW,0x206280
KERNEL32.DLL,FindResourceA,0x206284
KERNEL32.DLL,FreeEnvironmentStringsW,0x206288
KERNEL32.DLL,GetCommandLineW,0x20628c
KERNEL32.DLL,GetCurrentDirectoryW,0x206290
KERNEL32.DLL,GetCurrentProcess,0x206294
KERNEL32.DLL,GetEnvironmentStringsW,0x206298
KERNEL32.DLL,GetEnvironmentVariableW,0x20629c
KERNEL32.DLL,GetExitCodeProcess,0x2062a0
KERNEL32.DLL,GetFileAttributesW,0x2062a4
KERNEL32.DLL,GetLastError,0x2062a8
KERNEL32.DLL,GetModuleFileNameW,0x2062ac
KERNEL32.DLL,GetModuleHandleA,0x2062b0
KERNEL32.DLL,GetModuleHandleW,0x2062b4
KERNEL32.DLL,GetProcAddress,0x2062b8
KERNEL32.DLL,GetStartupInfoA,0x2062bc
KERNEL32.DLL,GetVersionExA,0x2062c0
KERNEL32.DLL,GetVolumeInformationW,0x2062c4
KERNEL32.DLL,GlobalAlloc,0x2062c8
KERNEL32.DLL,GlobalFree,0x2062cc
KERNEL32.DLL,LoadLibraryA,0x2062d0
KERNEL32.DLL,LoadResource,0x2062d4
KERNEL32.DLL,LockResource,0x2062d8
KERNEL32.DLL,MultiByteToWideChar,0x2062dc
KERNEL32.DLL,RemoveDirectoryW,0x2062e0
KERNEL32.DLL,SetCurrentDirectoryW,0x2062e4
KERNEL32.DLL,SetEndOfFile,0x2062e8
KERNEL32.DLL,SetEnvironmentVariableW,0x2062ec
KERNEL32.DLL,SetErrorMode,0x2062f0
KERNEL32.DLL,SetLastError,0x2062f4
KERNEL32.DLL,SizeofResource,0x2062f8
KERNEL32.DLL,Sleep,0x2062fc
KERNEL32.DLL,TlsAlloc,0x206300
KERNEL32.DLL,TlsFree,0x206304
KERNEL32.DLL,TlsGetValue,0x206308
KERNEL32.DLL,TlsSetValue,0x20630c
KERNEL32.DLL,WaitForSingleObject,0x206310
KERNEL32.DLL,WideCharToMultiByte,0x206314
KERNEL32.DLL,WriteFile,0x206318
KERNEL32.DLL,GetFileInformationByHandle,0x20631c
KERNEL32.DLL,SetFileTime,0x206320
KERNEL32.DLL,IsWow64Process,0x206324
OLE32.DLL,CoInitialize,0x20632c
OLE32.DLL,CoUninitialize,0x206330
OLEAUT32.DLL,SysAllocStringByteLen,0x206338
OLEAUT32.DLL,SysAllocStringLen,0x20633c
OLEAUT32.DLL,SysFreeString,0x206340
OLEAUT32.DLL,VariantClear,0x206344
USER32.DLL,AdjustWindowRectEx,0x20634c
USER32.DLL,DestroyIcon,0x206350
USER32.DLL,DestroyWindow,0x206354
USER32.DLL,DispatchMessageW,0x206358
USER32.DLL,GetClientRect,0x20635c
USER32.DLL,GetSysColor,0x206360
USER32.DLL,GetSystemMetrics,0x206364
USER32.DLL,GetWindowLongW,0x206368
USER32.DLL,GetWindowRect,0x20636c
USER32.DLL,IsDialogMessageW,0x206370
USER32.DLL,IsWindow,0x206374
USER32.DLL,MapDialogRect,0x206378
USER32.DLL,MessageBoxA,0x20637c
USER32.DLL,PeekMessageW,0x206380
USER32.DLL,ScreenToClient,0x206384
USER32.DLL,SendMessageA,0x206388
USER32.DLL,TranslateAcceleratorW,0x20638c
USER32.DLL,TranslateMessage,0x206390
