dll,name,address
KERNEL32.dll,GetCurrentProcess,0x410010
KERNEL32.dll,OpenProcess,0x410014
KERNEL32.dll,Sleep,0x410018
KERNEL32.dll,TerminateProcess,0x41001c
KERNEL32.dll,MultiByteToWideChar,0x410020
KERNEL32.dll,SetProcessPriorityBoost,0x410024
KERNEL32.dll,SetThreadPriority,0x410028
KERNEL32.dll,GetCurrentThread,0x41002c
KERNEL32.dll,SetPriorityClass,0x410030
KERNEL32.dll,lstrcatA,0x410034
KERNEL32.dll,lstrcpyA,0x410038
KERNEL32.dll,GetEnvironmentVariableA,0x41003c
KERNEL32.dll,GetShortPathNameA,0x410040
KERNEL32.dll,GetModuleFileNameA,0x410044
KERNEL32.dll,CreateProcessA,0x410048
KERNEL32.dll,CopyFileA,0x41004c
KERNEL32.dll,lstrcmpiA,0x410050
KERNEL32.dll,ReleaseMutex,0x410054
KERNEL32.dll,WaitForSingleObject,0x410058
KERNEL32.dll,CreateThread,0x41005c
KERNEL32.dll,CreateRemoteThread,0x410060
KERNEL32.dll,WriteProcessMemory,0x410064
KERNEL32.dll,VirtualAllocEx,0x410068
KERNEL32.dll,GetTempPathA,0x41006c
KERNEL32.dll,SetFileAttributesA,0x410070
KERNEL32.dll,CreateMutexA,0x410074
KERNEL32.dll,SetLastError,0x410078
KERNEL32.dll,GetLongPathNameA,0x41007c
KERNEL32.dll,HeapFree,0x410080
KERNEL32.dll,HeapReAlloc,0x410084
KERNEL32.dll,HeapAlloc,0x410088
KERNEL32.dll,GetCommandLineA,0x41008c
KERNEL32.dll,GetStartupInfoA,0x410090
KERNEL32.dll,UnhandledExceptionFilter,0x410094
KERNEL32.dll,SetUnhandledExceptionFilter,0x410098
KERNEL32.dll,IsDebuggerPresent,0x41009c
KERNEL32.dll,EnterCriticalSection,0x4100a0
KERNEL32.dll,LeaveCriticalSection,0x4100a4
KERNEL32.dll,WriteFile,0x4100a8
KERNEL32.dll,WideCharToMultiByte,0x4100ac
KERNEL32.dll,GetConsoleCP,0x4100b0
KERNEL32.dll,GetConsoleMode,0x4100b4
KERNEL32.dll,SetStdHandle,0x4100b8
KERNEL32.dll,GetFileType,0x4100bc
KERNEL32.dll,SetFilePointer,0x4100c0
KERNEL32.dll,SetHandleCount,0x4100c4
KERNEL32.dll,GetStdHandle,0x4100c8
KERNEL32.dll,DeleteCriticalSection,0x4100cc
KERNEL32.dll,RtlUnwind,0x4100d0
KERNEL32.dll,ReadFile,0x4100d4
KERNEL32.dll,HeapCreate,0x4100d8
KERNEL32.dll,CloseHandle,0x4100dc
KERNEL32.dll,VirtualAlloc,0x4100e0
KERNEL32.dll,GetModuleHandleW,0x4100e4
KERNEL32.dll,ExitProcess,0x4100e8
KERNEL32.dll,RaiseException,0x4100ec
KERNEL32.dll,TlsGetValue,0x4100f0
KERNEL32.dll,TlsAlloc,0x4100f4
KERNEL32.dll,TlsSetValue,0x4100f8
KERNEL32.dll,TlsFree,0x4100fc
KERNEL32.dll,InterlockedIncrement,0x410100
KERNEL32.dll,GetCurrentThreadId,0x410104
KERNEL32.dll,InterlockedDecrement,0x410108
KERNEL32.dll,HeapSize,0x41010c
KERNEL32.dll,FreeEnvironmentStringsA,0x410110
KERNEL32.dll,GetEnvironmentStrings,0x410114
KERNEL32.dll,FreeEnvironmentStringsW,0x410118
KERNEL32.dll,GetEnvironmentStringsW,0x41011c
KERNEL32.dll,QueryPerformanceCounter,0x410120
KERNEL32.dll,GetTickCount,0x410124
KERNEL32.dll,GetCurrentProcessId,0x410128
KERNEL32.dll,GetSystemTimeAsFileTime,0x41012c
KERNEL32.dll,FlushFileBuffers,0x410130
KERNEL32.dll,WriteConsoleA,0x410134
KERNEL32.dll,GetConsoleOutputCP,0x410138
KERNEL32.dll,WriteConsoleW,0x41013c
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x410140
KERNEL32.dll,GetCPInfo,0x410144
KERNEL32.dll,GetACP,0x410148
KERNEL32.dll,GetOEMCP,0x41014c
KERNEL32.dll,IsValidCodePage,0x410150
KERNEL32.dll,CreateFileA,0x410154
KERNEL32.dll,LCMapStringA,0x410158
KERNEL32.dll,LCMapStringW,0x41015c
KERNEL32.dll,GetStringTypeA,0x410160
KERNEL32.dll,GetStringTypeW,0x410164
KERNEL32.dll,GetLocaleInfoA,0x410168
KERNEL32.dll,SetEndOfFile,0x41016c
KERNEL32.dll,GetProcessHeap,0x410170
KERNEL32.dll,GetModuleHandleA,0x410174
KERNEL32.dll,LoadLibraryA,0x410178
KERNEL32.dll,GetProcAddress,0x41017c
KERNEL32.dll,GetLastError,0x410180
KERNEL32.dll,VirtualFree,0x410184
KERNEL32.dll,OutputDebugStringA,0x410188
ADVAPI32.dll,OpenProcessToken,0x410000
ADVAPI32.dll,LookupPrivilegeValueA,0x410004
ADVAPI32.dll,AdjustTokenPrivileges,0x410008
SHELL32.dll,ShellExecuteExA,0x410190
