dll,name,address
KERNEL32.dll,AttachConsole,0x10005038
KERNEL32.dll,CreateProcessA,0x1000503c
KERNEL32.dll,GetConsoleDisplayMode,0x10005040
KERNEL32.dll,ReadFile,0x10005044
KERNEL32.dll,PeekNamedPipe,0x10005048
KERNEL32.dll,GetExitCodeProcess,0x1000504c
KERNEL32.dll,GetFileAttributesA,0x10005050
KERNEL32.dll,GetSystemDirectoryA,0x10005054
KERNEL32.dll,ExpandEnvironmentStringsA,0x10005058
KERNEL32.dll,SetStdHandle,0x1000505c
KERNEL32.dll,GetVolumeInformationA,0x10005060
KERNEL32.dll,CreateFileA,0x10005064
KERNEL32.dll,lstrcatA,0x10005068
KERNEL32.dll,GetLogicalDrives,0x1000506c
KERNEL32.dll,Process32Next,0x10005070
KERNEL32.dll,Process32First,0x10005074
KERNEL32.dll,CreateToolhelp32Snapshot,0x10005078
KERNEL32.dll,OpenProcess,0x1000507c
KERNEL32.dll,WriteFile,0x10005080
KERNEL32.dll,GetFileSize,0x10005084
KERNEL32.dll,GetModuleFileNameA,0x10005088
KERNEL32.dll,TerminateThread,0x1000508c
KERNEL32.dll,WriteConsoleInputA,0x10005090
KERNEL32.dll,GetComputerNameA,0x10005094
KERNEL32.dll,Sleep,0x10005098
KERNEL32.dll,GetLastError,0x1000509c
KERNEL32.dll,CreatePipe,0x100050a0
KERNEL32.dll,GetWindowsDirectoryA,0x100050a4
KERNEL32.dll,SetCurrentDirectoryA,0x100050a8
KERNEL32.dll,GenerateConsoleCtrlEvent,0x100050ac
KERNEL32.dll,CreateThread,0x100050b0
KERNEL32.dll,WaitForSingleObject,0x100050b4
KERNEL32.dll,CloseHandle,0x100050b8
KERNEL32.dll,GetLocalTime,0x100050bc
KERNEL32.dll,TerminateProcess,0x100050c0
KERNEL32.dll,GetDriveTypeA,0x100050c4
MSVCRT.dll,_adjust_fdiv,0x100050cc
MSVCRT.dll,??3@YAXPAX@Z,0x100050d0
MSVCRT.dll,??2@YAPAXI@Z,0x100050d4
MSVCRT.dll,sprintf,0x100050d8
MSVCRT.dll,_strcmpi,0x100050dc
MSVCRT.dll,__CxxFrameHandler,0x100050e0
MSVCRT.dll,atoi,0x100050e4
MSVCRT.dll,strrchr,0x100050e8
MSVCRT.dll,wcstombs,0x100050ec
MSVCRT.dll,rand,0x100050f0
MSVCRT.dll,_ftol,0x100050f4
MSVCRT.dll,sscanf,0x100050f8
MSVCRT.dll,malloc,0x100050fc
MSVCRT.dll,_initterm,0x10005100
MSVCRT.dll,free,0x10005104
WININET.dll,HttpQueryInfoA,0x1000510c
WININET.dll,InternetCloseHandle,0x10005110
WININET.dll,InternetReadFile,0x10005114
WININET.dll,HttpSendRequestA,0x10005118
WININET.dll,InternetQueryOptionA,0x1000511c
WININET.dll,InternetOpenA,0x10005120
WININET.dll,InternetSetOptionA,0x10005124
WININET.dll,InternetConnectA,0x10005128
WININET.dll,HttpOpenRequestA,0x1000512c
WININET.dll,HttpAddRequestHeadersA,0x10005130
ADVAPI32.dll,EnumServicesStatusExA,0x10005000
ADVAPI32.dll,OpenSCManagerA,0x10005004
ADVAPI32.dll,ControlService,0x10005008
ADVAPI32.dll,OpenServiceA,0x1000500c
ADVAPI32.dll,StartServiceA,0x10005010
ADVAPI32.dll,RegCloseKey,0x10005014
ADVAPI32.dll,RegSetValueExA,0x10005018
ADVAPI32.dll,RegQueryValueExA,0x1000501c
ADVAPI32.dll,RegOpenKeyExA,0x10005020
ADVAPI32.dll,RegDeleteValueA,0x10005024
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x10005028
ADVAPI32.dll,SetServiceStatus,0x1000502c
ADVAPI32.dll,CloseServiceHandle,0x10005030
