dll,name,address
kernel32.dll,DeleteCriticalSection,0x48b12c
kernel32.dll,LeaveCriticalSection,0x48b130
kernel32.dll,EnterCriticalSection,0x48b134
kernel32.dll,InitializeCriticalSection,0x48b138
kernel32.dll,VirtualFree,0x48b13c
kernel32.dll,VirtualAlloc,0x48b140
kernel32.dll,LocalFree,0x48b144
kernel32.dll,LocalAlloc,0x48b148
kernel32.dll,GetVersion,0x48b14c
kernel32.dll,GetCurrentThreadId,0x48b150
kernel32.dll,InterlockedDecrement,0x48b154
kernel32.dll,InterlockedIncrement,0x48b158
kernel32.dll,VirtualQuery,0x48b15c
kernel32.dll,WideCharToMultiByte,0x48b160
kernel32.dll,MultiByteToWideChar,0x48b164
kernel32.dll,lstrlenA,0x48b168
kernel32.dll,lstrcpynA,0x48b16c
kernel32.dll,LoadLibraryExA,0x48b170
kernel32.dll,GetThreadLocale,0x48b174
kernel32.dll,GetStartupInfoA,0x48b178
kernel32.dll,GetProcAddress,0x48b17c
kernel32.dll,GetModuleHandleA,0x48b180
kernel32.dll,GetModuleFileNameA,0x48b184
kernel32.dll,GetLocaleInfoA,0x48b188
kernel32.dll,GetCommandLineA,0x48b18c
kernel32.dll,FreeLibrary,0x48b190
kernel32.dll,FindFirstFileA,0x48b194
kernel32.dll,FindClose,0x48b198
kernel32.dll,ExitProcess,0x48b19c
kernel32.dll,ExitThread,0x48b1a0
kernel32.dll,CreateThread,0x48b1a4
kernel32.dll,WriteFile,0x48b1a8
kernel32.dll,UnhandledExceptionFilter,0x48b1ac
kernel32.dll,RtlUnwind,0x48b1b0
kernel32.dll,RaiseException,0x48b1b4
kernel32.dll,GetStdHandle,0x48b1b8
user32.dll,GetKeyboardType,0x48b1c0
user32.dll,LoadStringA,0x48b1c4
user32.dll,MessageBoxA,0x48b1c8
user32.dll,CharNextA,0x48b1cc
advapi32.dll,RegQueryValueExA,0x48b1d4
advapi32.dll,RegOpenKeyExA,0x48b1d8
advapi32.dll,RegCloseKey,0x48b1dc
oleaut32.dll,SysFreeString,0x48b1e4
oleaut32.dll,SysReAllocStringLen,0x48b1e8
oleaut32.dll,SysAllocStringLen,0x48b1ec
kernel32.dll,TlsSetValue,0x48b1f4
kernel32.dll,TlsGetValue,0x48b1f8
kernel32.dll,LocalAlloc,0x48b1fc
kernel32.dll,GetModuleHandleA,0x48b200
advapi32.dll,RegQueryValueExA,0x48b208
advapi32.dll,RegOpenKeyExA,0x48b20c
advapi32.dll,RegCloseKey,0x48b210
kernel32.dll,lstrcpyA,0x48b218
kernel32.dll,lstrcmpA,0x48b21c
kernel32.dll,WriteFile,0x48b220
kernel32.dll,WaitForSingleObject,0x48b224
kernel32.dll,VirtualQuery,0x48b228
kernel32.dll,VirtualAlloc,0x48b22c
kernel32.dll,SuspendThread,0x48b230
kernel32.dll,Sleep,0x48b234
kernel32.dll,SizeofResource,0x48b238
kernel32.dll,SetThreadPriority,0x48b23c
kernel32.dll,SetThreadLocale,0x48b240
kernel32.dll,SetFilePointer,0x48b244
kernel32.dll,SetEvent,0x48b248
kernel32.dll,SetErrorMode,0x48b24c
kernel32.dll,SetEndOfFile,0x48b250
kernel32.dll,ResumeThread,0x48b254
kernel32.dll,ResetEvent,0x48b258
kernel32.dll,ReadFile,0x48b25c
kernel32.dll,MulDiv,0x48b260
kernel32.dll,LockResource,0x48b264
kernel32.dll,LoadResource,0x48b268
kernel32.dll,LoadLibraryA,0x48b26c
kernel32.dll,LeaveCriticalSection,0x48b270
kernel32.dll,InitializeCriticalSection,0x48b274
kernel32.dll,GlobalUnlock,0x48b278
kernel32.dll,GlobalReAlloc,0x48b27c
kernel32.dll,GlobalHandle,0x48b280
kernel32.dll,GlobalLock,0x48b284
kernel32.dll,GlobalFree,0x48b288
kernel32.dll,GlobalFindAtomA,0x48b28c
kernel32.dll,GlobalDeleteAtom,0x48b290
kernel32.dll,GlobalAlloc,0x48b294
kernel32.dll,GlobalAddAtomA,0x48b298
kernel32.dll,GetVersionExA,0x48b29c
kernel32.dll,GetVersion,0x48b2a0
kernel32.dll,GetTickCount,0x48b2a4
kernel32.dll,GetThreadLocale,0x48b2a8
kernel32.dll,GetTempPathA,0x48b2ac
kernel32.dll,GetSystemInfo,0x48b2b0
kernel32.dll,GetStringTypeExA,0x48b2b4
kernel32.dll,GetStdHandle,0x48b2b8
kernel32.dll,GetProcAddress,0x48b2bc
kernel32.dll,GetModuleHandleA,0x48b2c0
kernel32.dll,GetModuleFileNameA,0x48b2c4
kernel32.dll,GetLocaleInfoA,0x48b2c8
kernel32.dll,GetLocalTime,0x48b2cc
kernel32.dll,GetLastError,0x48b2d0
kernel32.dll,GetFullPathNameA,0x48b2d4
kernel32.dll,GetFileSize,0x48b2d8
kernel32.dll,GetExitCodeThread,0x48b2dc
kernel32.dll,GetDiskFreeSpaceA,0x48b2e0
kernel32.dll,GetDateFormatA,0x48b2e4
kernel32.dll,GetCurrentThreadId,0x48b2e8
kernel32.dll,GetCurrentThread,0x48b2ec
kernel32.dll,GetCurrentProcessId,0x48b2f0
kernel32.dll,GetCPInfo,0x48b2f4
kernel32.dll,GetACP,0x48b2f8
kernel32.dll,FreeResource,0x48b2fc
kernel32.dll,InterlockedIncrement,0x48b300
kernel32.dll,InterlockedExchange,0x48b304
kernel32.dll,InterlockedDecrement,0x48b308
kernel32.dll,FreeLibrary,0x48b30c
kernel32.dll,FormatMessageA,0x48b310
kernel32.dll,FindResourceA,0x48b314
kernel32.dll,FindFirstFileA,0x48b318
kernel32.dll,FindClose,0x48b31c
kernel32.dll,FileTimeToLocalFileTime,0x48b320
kernel32.dll,FileTimeToDosDateTime,0x48b324
kernel32.dll,EnumCalendarInfoA,0x48b328
