dll,name,address
KERNEL32.dll,Process32Next,0x40c020
KERNEL32.dll,lstrcmpiA,0x40c024
KERNEL32.dll,OpenProcess,0x40c028
KERNEL32.dll,Process32First,0x40c02c
KERNEL32.dll,CreateToolhelp32Snapshot,0x40c030
KERNEL32.dll,GetProcAddress,0x40c034
KERNEL32.dll,GetModuleHandleA,0x40c038
KERNEL32.dll,DeleteFileA,0x40c03c
KERNEL32.dll,FreeLibrary,0x40c040
KERNEL32.dll,WaitForSingleObject,0x40c044
KERNEL32.dll,SetFileAttributesA,0x40c048
KERNEL32.dll,GetCurrentProcess,0x40c04c
KERNEL32.dll,GetModuleFileNameA,0x40c050
KERNEL32.dll,CreateMutexA,0x40c054
KERNEL32.dll,GetCurrentThreadId,0x40c058
KERNEL32.dll,CreateDirectoryA,0x40c05c
KERNEL32.dll,CreateThread,0x40c060
KERNEL32.dll,LoadLibraryA,0x40c064
KERNEL32.dll,TerminateThread,0x40c068
KERNEL32.dll,InterlockedExchange,0x40c06c
KERNEL32.dll,GetLastError,0x40c070
KERNEL32.dll,CreateFileA,0x40c074
KERNEL32.dll,GetFileSize,0x40c078
KERNEL32.dll,ReadFile,0x40c07c
KERNEL32.dll,SetFilePointer,0x40c080
KERNEL32.dll,WriteFile,0x40c084
KERNEL32.dll,Sleep,0x40c088
KERNEL32.dll,CloseHandle,0x40c08c
KERNEL32.dll,FlushFileBuffers,0x40c090
KERNEL32.dll,SetStdHandle,0x40c094
KERNEL32.dll,GetOEMCP,0x40c098
KERNEL32.dll,GetACP,0x40c09c
KERNEL32.dll,GetStringTypeW,0x40c0a0
KERNEL32.dll,GetStringTypeA,0x40c0a4
KERNEL32.dll,GetCPInfo,0x40c0a8
KERNEL32.dll,RtlUnwind,0x40c0ac
KERNEL32.dll,InterlockedDecrement,0x40c0b0
KERNEL32.dll,InterlockedIncrement,0x40c0b4
KERNEL32.dll,TlsSetValue,0x40c0b8
KERNEL32.dll,TlsGetValue,0x40c0bc
KERNEL32.dll,ExitThread,0x40c0c0
KERNEL32.dll,GetStartupInfoA,0x40c0c4
KERNEL32.dll,GetCommandLineA,0x40c0c8
KERNEL32.dll,GetVersion,0x40c0cc
KERNEL32.dll,ExitProcess,0x40c0d0
KERNEL32.dll,HeapFree,0x40c0d4
KERNEL32.dll,TlsAlloc,0x40c0d8
KERNEL32.dll,SetLastError,0x40c0dc
KERNEL32.dll,HeapAlloc,0x40c0e0
KERNEL32.dll,TerminateProcess,0x40c0e4
KERNEL32.dll,HeapReAlloc,0x40c0e8
KERNEL32.dll,HeapSize,0x40c0ec
KERNEL32.dll,InitializeCriticalSection,0x40c0f0
KERNEL32.dll,DeleteCriticalSection,0x40c0f4
KERNEL32.dll,EnterCriticalSection,0x40c0f8
KERNEL32.dll,LeaveCriticalSection,0x40c0fc
KERNEL32.dll,WideCharToMultiByte,0x40c100
KERNEL32.dll,MultiByteToWideChar,0x40c104
KERNEL32.dll,LCMapStringA,0x40c108
KERNEL32.dll,LCMapStringW,0x40c10c
KERNEL32.dll,UnhandledExceptionFilter,0x40c110
KERNEL32.dll,FreeEnvironmentStringsA,0x40c114
KERNEL32.dll,FreeEnvironmentStringsW,0x40c118
KERNEL32.dll,GetEnvironmentStrings,0x40c11c
KERNEL32.dll,GetEnvironmentStringsW,0x40c120
KERNEL32.dll,SetHandleCount,0x40c124
KERNEL32.dll,GetStdHandle,0x40c128
KERNEL32.dll,GetFileType,0x40c12c
KERNEL32.dll,GetEnvironmentVariableA,0x40c130
KERNEL32.dll,GetVersionExA,0x40c134
KERNEL32.dll,HeapDestroy,0x40c138
KERNEL32.dll,HeapCreate,0x40c13c
KERNEL32.dll,VirtualFree,0x40c140
KERNEL32.dll,VirtualAlloc,0x40c144
KERNEL32.dll,IsBadWritePtr,0x40c148
KERNEL32.dll,SetUnhandledExceptionFilter,0x40c14c
KERNEL32.dll,IsBadReadPtr,0x40c150
KERNEL32.dll,IsBadCodePtr,0x40c154
KERNEL32.dll,RaiseException,0x40c158
USER32.dll,GetMessageA,0x40c16c
USER32.dll,GetInputState,0x40c170
USER32.dll,PostThreadMessageA,0x40c174
ADVAPI32.dll,RegSetValueExA,0x40c000
ADVAPI32.dll,RegOpenKeyExA,0x40c004
ADVAPI32.dll,RegCloseKey,0x40c008
ADVAPI32.dll,OpenProcessToken,0x40c00c
ADVAPI32.dll,LookupPrivilegeValueA,0x40c010
ADVAPI32.dll,AdjustTokenPrivileges,0x40c014
ADVAPI32.dll,RegDeleteValueA,0x40c018
WS2_32.dll,gethostbyname,0x40c17c
WS2_32.dll,WSAStartup,0x40c180
WS2_32.dll,send,0x40c184
WS2_32.dll,setsockopt,0x40c188
WS2_32.dll,WSAIoctl,0x40c18c
WS2_32.dll,connect,0x40c190
WS2_32.dll,recv,0x40c194
WS2_32.dll,closesocket,0x40c198
WS2_32.dll,htons,0x40c19c
WS2_32.dll,shutdown,0x40c1a0
WS2_32.dll,WSASocketA,0x40c1a4
PSAPI.DLL,EnumProcessModules,0x40c160
PSAPI.DLL,GetModuleBaseNameA,0x40c164
