dll,name,address
COMCTL32.dll,,0x413000
KERNEL32.dll,GetFileAttributesW,0x413038
KERNEL32.dll,CreateDirectoryW,0x41303c
KERNEL32.dll,WriteFile,0x413040
KERNEL32.dll,GetStdHandle,0x413044
KERNEL32.dll,VirtualFree,0x413048
KERNEL32.dll,GetModuleHandleW,0x41304c
KERNEL32.dll,GetProcAddress,0x413050
KERNEL32.dll,LoadLibraryA,0x413054
KERNEL32.dll,LockResource,0x413058
KERNEL32.dll,LoadResource,0x41305c
KERNEL32.dll,SizeofResource,0x413060
KERNEL32.dll,FindResourceExA,0x413064
KERNEL32.dll,MulDiv,0x413068
KERNEL32.dll,GlobalFree,0x41306c
KERNEL32.dll,GlobalAlloc,0x413070
KERNEL32.dll,lstrcmpiA,0x413074
KERNEL32.dll,GetSystemDefaultLCID,0x413078
KERNEL32.dll,GetSystemDefaultUILanguage,0x41307c
KERNEL32.dll,GetUserDefaultUILanguage,0x413080
KERNEL32.dll,lstrlenW,0x413084
KERNEL32.dll,lstrcmpiW,0x413088
KERNEL32.dll,GetEnvironmentVariableW,0x41308c
KERNEL32.dll,lstrcmpW,0x413090
KERNEL32.dll,GlobalMemoryStatusEx,0x413094
KERNEL32.dll,VirtualAlloc,0x413098
KERNEL32.dll,MultiByteToWideChar,0x41309c
KERNEL32.dll,WideCharToMultiByte,0x4130a0
KERNEL32.dll,ExpandEnvironmentStringsW,0x4130a4
KERNEL32.dll,lstrlenA,0x4130a8
KERNEL32.dll,RemoveDirectoryW,0x4130ac
KERNEL32.dll,FindClose,0x4130b0
KERNEL32.dll,FindNextFileW,0x4130b4
KERNEL32.dll,DeleteFileW,0x4130b8
KERNEL32.dll,FindFirstFileW,0x4130bc
KERNEL32.dll,SetThreadLocale,0x4130c0
KERNEL32.dll,GetLocalTime,0x4130c4
KERNEL32.dll,GetSystemTimeAsFileTime,0x4130c8
KERNEL32.dll,GetTempPathW,0x4130cc
KERNEL32.dll,SetEnvironmentVariableW,0x4130d0
KERNEL32.dll,CloseHandle,0x4130d4
KERNEL32.dll,CreateFileW,0x4130d8
KERNEL32.dll,GetDriveTypeW,0x4130dc
KERNEL32.dll,SetCurrentDirectoryW,0x4130e0
KERNEL32.dll,GetModuleFileNameW,0x4130e4
KERNEL32.dll,GetCommandLineW,0x4130e8
KERNEL32.dll,GetVersionExW,0x4130ec
KERNEL32.dll,CreateEventW,0x4130f0
KERNEL32.dll,SetEvent,0x4130f4
KERNEL32.dll,ResetEvent,0x4130f8
KERNEL32.dll,InitializeCriticalSection,0x4130fc
KERNEL32.dll,TerminateThread,0x413100
KERNEL32.dll,ResumeThread,0x413104
KERNEL32.dll,SuspendThread,0x413108
KERNEL32.dll,IsBadReadPtr,0x41310c
KERNEL32.dll,LocalFree,0x413110
KERNEL32.dll,lstrcpyW,0x413114
KERNEL32.dll,FormatMessageW,0x413118
KERNEL32.dll,GetSystemDirectoryW,0x41311c
KERNEL32.dll,DeleteCriticalSection,0x413120
KERNEL32.dll,GetFileSize,0x413124
KERNEL32.dll,SetFilePointer,0x413128
KERNEL32.dll,ReadFile,0x41312c
KERNEL32.dll,SetFileTime,0x413130
KERNEL32.dll,SetEndOfFile,0x413134
KERNEL32.dll,EnterCriticalSection,0x413138
KERNEL32.dll,LeaveCriticalSection,0x41313c
KERNEL32.dll,WaitForMultipleObjects,0x413140
KERNEL32.dll,GetModuleHandleA,0x413144
KERNEL32.dll,SystemTimeToFileTime,0x413148
KERNEL32.dll,GetLastError,0x41314c
KERNEL32.dll,CreateThread,0x413150
KERNEL32.dll,WaitForSingleObject,0x413154
KERNEL32.dll,GetExitCodeThread,0x413158
KERNEL32.dll,Sleep,0x41315c
KERNEL32.dll,SetLastError,0x413160
KERNEL32.dll,SetFileAttributesW,0x413164
KERNEL32.dll,GetDiskFreeSpaceExW,0x413168
KERNEL32.dll,lstrcatW,0x41316c
KERNEL32.dll,ExitProcess,0x413170
KERNEL32.dll,CompareFileTime,0x413174
KERNEL32.dll,GetStartupInfoA,0x413178
USER32.dll,SendMessageW,0x413234
USER32.dll,CharUpperW,0x413238
USER32.dll,DestroyWindow,0x41323c
USER32.dll,ReleaseDC,0x413240
USER32.dll,KillTimer,0x413244
USER32.dll,DispatchMessageW,0x413248
USER32.dll,GetMessageW,0x41324c
USER32.dll,SetTimer,0x413250
USER32.dll,CreateWindowExW,0x413254
USER32.dll,wsprintfW,0x413258
USER32.dll,ScreenToClient,0x41325c
USER32.dll,GetWindowRect,0x413260
USER32.dll,GetParent,0x413264
USER32.dll,GetSystemMenu,0x413268
USER32.dll,EnableMenuItem,0x41326c
USER32.dll,EnableWindow,0x413270
USER32.dll,MessageBeep,0x413274
USER32.dll,LoadIconW,0x413278
USER32.dll,LoadImageW,0x41327c
USER32.dll,wvsprintfW,0x413280
USER32.dll,IsWindow,0x413284
USER32.dll,DefWindowProcW,0x413288
USER32.dll,CallWindowProcW,0x41328c
USER32.dll,DrawIconEx,0x413290
USER32.dll,DialogBoxIndirectParamW,0x413294
USER32.dll,GetWindow,0x413298
USER32.dll,ClientToScreen,0x41329c
USER32.dll,GetDC,0x4132a0
USER32.dll,DrawTextW,0x4132a4
USER32.dll,ShowWindow,0x4132a8
USER32.dll,SystemParametersInfoW,0x4132ac
USER32.dll,SetFocus,0x4132b0
USER32.dll,SetWindowLongW,0x4132b4
USER32.dll,GetSystemMetrics,0x4132b8
USER32.dll,GetClientRect,0x4132bc
USER32.dll,GetDlgItem,0x4132c0
USER32.dll,GetKeyState,0x4132c4
USER32.dll,wsprintfA,0x4132c8
USER32.dll,MessageBoxA,0x4132cc
USER32.dll,SetWindowTextW,0x4132d0
USER32.dll,GetSysColor,0x4132d4
USER32.dll,GetWindowTextLengthW,0x4132d8
USER32.dll,GetWindowTextW,0x4132dc
USER32.dll,GetClassNameA,0x4132e0
USER32.dll,GetWindowLongW,0x4132e4
USER32.dll,CopyImage,0x4132e8
USER32.dll,SetWindowPos,0x4132ec
USER32.dll,GetWindowDC,0x4132f0
USER32.dll,EndDialog,0x4132f4
USER32.dll,GetMenu,0x4132f8
GDI32.dll,GetCurrentObject,0x413008
GDI32.dll,StretchBlt,0x41300c
GDI32.dll,SetStretchBltMode,0x413010
GDI32.dll,CreateCompatibleBitmap,0x413014
GDI32.dll,SelectObject,0x413018
GDI32.dll,CreateCompatibleDC,0x41301c
GDI32.dll,GetObjectW,0x413020
GDI32.dll,GetDeviceCaps,0x413024
GDI32.dll,DeleteObject,0x413028
GDI32.dll,CreateFontIndirectW,0x41302c
GDI32.dll,DeleteDC,0x413030
SHELL32.dll,SHGetFileInfoW,0x413214
SHELL32.dll,SHBrowseForFolderW,0x413218
SHELL32.dll,SHGetPathFromIDListW,0x41321c
SHELL32.dll,SHGetMalloc,0x413220
SHELL32.dll,ShellExecuteW,0x413224
SHELL32.dll,SHGetSpecialFolderPathW,0x413228
SHELL32.dll,ShellExecuteExW,0x41322c
ole32.dll,CoInitialize,0x413300
ole32.dll,CreateStreamOnHGlobal,0x413304
ole32.dll,CoCreateInstance,0x413308
OLEAUT32.dll,VariantClear,0x413204
OLEAUT32.dll,OleLoadPicture,0x413208
OLEAUT32.dll,SysAllocString,0x41320c
MSVCRT.dll,__set_app_type,0x413180
MSVCRT.dll,__p__fmode,0x413184
MSVCRT.dll,__p__commode,0x413188
MSVCRT.dll,_adjust_fdiv,0x41318c
MSVCRT.dll,__setusermatherr,0x413190
MSVCRT.dll,_initterm,0x413194
MSVCRT.dll,__getmainargs,0x413198
MSVCRT.dll,_acmdln,0x41319c
MSVCRT.dll,exit,0x4131a0
MSVCRT.dll,_XcptFilter,0x4131a4
MSVCRT.dll,_exit,0x4131a8
MSVCRT.dll,??1type_info@@UAE@XZ,0x4131ac
MSVCRT.dll,_onexit,0x4131b0
MSVCRT.dll,__dllonexit,0x4131b4
MSVCRT.dll,_CxxThrowException,0x4131b8
MSVCRT.dll,_beginthreadex,0x4131bc
MSVCRT.dll,?_set_new_handler@@YAP6AHI@ZP6AHI@Z@Z,0x4131c0
MSVCRT.dll,memset,0x4131c4
MSVCRT.dll,_wcsnicmp,0x4131c8
MSVCRT.dll,_wtol,0x4131cc
MSVCRT.dll,strncmp,0x4131d0
MSVCRT.dll,malloc,0x4131d4
MSVCRT.dll,memmove,0x4131d8
MSVCRT.dll,wcscpy,0x4131dc
MSVCRT.dll,memcpy,0x4131e0
MSVCRT.dll,free,0x4131e4
MSVCRT.dll,memcmp,0x4131e8
MSVCRT.dll,_purecall,0x4131ec
MSVCRT.dll,??2@YAPAXI@Z,0x4131f0
MSVCRT.dll,??3@YAXPAX@Z,0x4131f4
MSVCRT.dll,_except_handler3,0x4131f8
MSVCRT.dll,_controlfp,0x4131fc
