dll,name,address
PSAPI.DLL,EnumProcesses,0x10045318
KERNEL32.dll,TlsSetValue,0x10045000
KERNEL32.dll,GetCurrentThreadId,0x10045004
KERNEL32.dll,QueryPerformanceCounter,0x10045008
KERNEL32.dll,DisableThreadLibraryCalls,0x1004500c
KERNEL32.dll,CloseHandle,0x10045010
KERNEL32.dll,HeapAlloc,0x10045014
KERNEL32.dll,GetProcessHeap,0x10045018
KERNEL32.dll,HeapFree,0x1004501c
KERNEL32.dll,WaitForSingleObject,0x10045020
KERNEL32.dll,ReleaseMutex,0x10045024
KERNEL32.dll,CreateMutexA,0x10045028
KERNEL32.dll,GetCurrentProcessId,0x1004502c
KERNEL32.dll,GetLastError,0x10045030
KERNEL32.dll,MultiByteToWideChar,0x10045034
KERNEL32.dll,WideCharToMultiByte,0x10045038
KERNEL32.dll,FreeLibrary,0x1004503c
KERNEL32.dll,GetProcAddress,0x10045040
KERNEL32.dll,LoadLibraryW,0x10045044
KERNEL32.dll,GetVersionExW,0x10045048
KERNEL32.dll,GetTempFileNameW,0x1004504c
KERNEL32.dll,FindNextFileW,0x10045050
KERNEL32.dll,DeleteFileW,0x10045054
KERNEL32.dll,RemoveDirectoryW,0x10045058
KERNEL32.dll,FindClose,0x1004505c
KERNEL32.dll,FindFirstFileW,0x10045060
KERNEL32.dll,GetTempPathW,0x10045064
KERNEL32.dll,SetEvent,0x10045068
KERNEL32.dll,CreateMutexW,0x1004506c
KERNEL32.dll,CreateThread,0x10045070
KERNEL32.dll,CreateMailslotW,0x10045074
KERNEL32.dll,ReadFile,0x10045078
KERNEL32.dll,WriteFile,0x1004507c
KERNEL32.dll,CreateFileW,0x10045080
KERNEL32.dll,SetLastError,0x10045084
KERNEL32.dll,ReleaseActCtx,0x10045088
KERNEL32.dll,CreateActCtxW,0x1004508c
KERNEL32.dll,DeactivateActCtx,0x10045090
KERNEL32.dll,ActivateActCtx,0x10045094
KERNEL32.dll,CreateEventA,0x10045098
KERNEL32.dll,GetSystemTimeAsFileTime,0x1004509c
KERNEL32.dll,IsDebuggerPresent,0x100450a0
KERNEL32.dll,SetUnhandledExceptionFilter,0x100450a4
KERNEL32.dll,UnhandledExceptionFilter,0x100450a8
KERNEL32.dll,GetCurrentProcess,0x100450ac
KERNEL32.dll,TerminateProcess,0x100450b0
KERNEL32.dll,InterlockedCompareExchange,0x100450b4
KERNEL32.dll,DecodePointer,0x100450b8
KERNEL32.dll,EncodePointer,0x100450bc
KERNEL32.dll,GetTickCount,0x100450c0
KERNEL32.dll,LocalAlloc,0x100450c4
KERNEL32.dll,InterlockedExchange,0x100450c8
KERNEL32.dll,LoadLibraryA,0x100450cc
KERNEL32.dll,RaiseException,0x100450d0
KERNEL32.dll,InterlockedIncrement,0x100450d4
KERNEL32.dll,InterlockedDecrement,0x100450d8
KERNEL32.dll,TlsAlloc,0x100450dc
KERNEL32.dll,TlsFree,0x100450e0
KERNEL32.dll,TlsGetValue,0x100450e4
KERNEL32.dll,Sleep,0x100450e8
USER32.dll,wsprintfW,0x10045330
SHELL32.dll,SHGetSpecialFolderLocation,0x10045320
SHELL32.dll,SHGetPathFromIDListW,0x10045324
SHELL32.dll,SHGetMalloc,0x10045328
ole32.dll,CLSIDFromString,0x10045338
ole32.dll,CoUninitialize,0x1004533c
ole32.dll,CoInitialize,0x10045340
ole32.dll,CoCreateInstance,0x10045344
ole32.dll,CoTaskMemFree,0x10045348
OLEAUT32.dll,SysFreeString,0x10045308
OLEAUT32.dll,SysAllocString,0x1004530c
OLEAUT32.dll,SysStringLen,0x10045310
