dll,name,address
KERNEL32.dll,GetProcAddress,0x405020
KERNEL32.dll,LoadLibraryA,0x405024
KERNEL32.dll,GetTickCount,0x405028
KERNEL32.dll,CreateDirectoryA,0x40502c
KERNEL32.dll,ExpandEnvironmentStringsA,0x405030
KERNEL32.dll,WaitForSingleObject,0x405034
KERNEL32.dll,GetStartupInfoA,0x405038
KERNEL32.dll,SetCurrentDirectoryA,0x40503c
KERNEL32.dll,CreateProcessA,0x405040
KERNEL32.dll,FreeResource,0x405044
KERNEL32.dll,CreateFileA,0x405048
KERNEL32.dll,SizeofResource,0x40504c
KERNEL32.dll,LoadResource,0x405050
KERNEL32.dll,FindResourceA,0x405054
KERNEL32.dll,GetModuleHandleA,0x405058
KERNEL32.dll,IsDebuggerPresent,0x40505c
KERNEL32.dll,ExitProcess,0x405060
KERNEL32.dll,GetModuleFileNameA,0x405064
KERNEL32.dll,WinExec,0x405068
KERNEL32.dll,DeleteFileA,0x40506c
KERNEL32.dll,Sleep,0x405070
KERNEL32.dll,CloseHandle,0x405074
KERNEL32.dll,WriteFile,0x405078
KERNEL32.dll,GetLastError,0x40507c
ADVAPI32.dll,CryptAcquireContextA,0x405000
ADVAPI32.dll,CryptCreateHash,0x405004
ADVAPI32.dll,CryptHashData,0x405008
ADVAPI32.dll,CryptDeriveKey,0x40500c
ADVAPI32.dll,CryptDestroyHash,0x405010
ADVAPI32.dll,CryptDecrypt,0x405014
ADVAPI32.dll,CryptEncrypt,0x405018
SHELL32.dll,ShellExecuteA,0x405118
LZ32.dll,LZOpenFileA,0x405084
LZ32.dll,LZClose,0x405088
LZ32.dll,LZCopy,0x40508c
MSVCRT.dll,printf,0x405094
MSVCRT.dll,free,0x405098
MSVCRT.dll,fclose,0x40509c
MSVCRT.dll,fwrite,0x4050a0
MSVCRT.dll,fread,0x4050a4
MSVCRT.dll,malloc,0x4050a8
MSVCRT.dll,fopen,0x4050ac
MSVCRT.dll,memcpy,0x4050b0
MSVCRT.dll,strlen,0x4050b4
MSVCRT.dll,_beginthreadex,0x4050b8
MSVCRT.dll,strcpy,0x4050bc
MSVCRT.dll,strstr,0x4050c0
MSVCRT.dll,memset,0x4050c4
MSVCRT.dll,ftell,0x4050c8
MSVCRT.dll,fseek,0x4050cc
MSVCRT.dll,strcat,0x4050d0
MSVCRT.dll,sprintf,0x4050d4
MSVCRT.dll,strncmp,0x4050d8
MSVCRT.dll,memmove,0x4050dc
MSVCRT.dll,_exit,0x4050e0
MSVCRT.dll,_XcptFilter,0x4050e4
MSVCRT.dll,exit,0x4050e8
MSVCRT.dll,_acmdln,0x4050ec
MSVCRT.dll,__getmainargs,0x4050f0
MSVCRT.dll,_initterm,0x4050f4
MSVCRT.dll,__setusermatherr,0x4050f8
MSVCRT.dll,_adjust_fdiv,0x4050fc
MSVCRT.dll,__p__commode,0x405100
MSVCRT.dll,__p__fmode,0x405104
MSVCRT.dll,__set_app_type,0x405108
MSVCRT.dll,_except_handler3,0x40510c
MSVCRT.dll,_controlfp,0x405110
