dll,name,address
COMCTL32.dll,,0x41202c
KERNEL32.dll,GetFileAttributesA,0x41204c
KERNEL32.dll,GetFileAttributesW,0x412050
KERNEL32.dll,SetFileAttributesA,0x412054
KERNEL32.dll,SetFileAttributesW,0x412058
KERNEL32.dll,GetFullPathNameA,0x41205c
KERNEL32.dll,DeleteFileA,0x412060
KERNEL32.dll,DeleteFileW,0x412064
KERNEL32.dll,CreateDirectoryA,0x412068
KERNEL32.dll,CreateDirectoryW,0x41206c
KERNEL32.dll,FindClose,0x412070
KERNEL32.dll,FindNextFileA,0x412074
KERNEL32.dll,FindFirstFileA,0x412078
KERNEL32.dll,FindNextFileW,0x41207c
KERNEL32.dll,FindFirstFileW,0x412080
KERNEL32.dll,GetTickCount,0x412084
KERNEL32.dll,WideCharToMultiByte,0x412088
KERNEL32.dll,MultiByteToWideChar,0x41208c
KERNEL32.dll,GetVersionExA,0x412090
KERNEL32.dll,GlobalAlloc,0x412094
KERNEL32.dll,lstrlenA,0x412098
KERNEL32.dll,GetModuleFileNameA,0x41209c
KERNEL32.dll,FindResourceA,0x4120a0
KERNEL32.dll,GetModuleHandleA,0x4120a4
KERNEL32.dll,HeapAlloc,0x4120a8
KERNEL32.dll,GetProcessHeap,0x4120ac
KERNEL32.dll,HeapFree,0x4120b0
KERNEL32.dll,HeapReAlloc,0x4120b4
KERNEL32.dll,CompareStringA,0x4120b8
KERNEL32.dll,ExitProcess,0x4120bc
KERNEL32.dll,GetLocaleInfoA,0x4120c0
KERNEL32.dll,GetNumberFormatA,0x4120c4
KERNEL32.dll,WriteFile,0x4120c8
KERNEL32.dll,GetProcAddress,0x4120cc
KERNEL32.dll,DosDateTimeToFileTime,0x4120d0
KERNEL32.dll,GetDateFormatA,0x4120d4
KERNEL32.dll,GetTimeFormatA,0x4120d8
KERNEL32.dll,FileTimeToSystemTime,0x4120dc
KERNEL32.dll,FileTimeToLocalFileTime,0x4120e0
KERNEL32.dll,ExpandEnvironmentStringsA,0x4120e4
KERNEL32.dll,WaitForSingleObject,0x4120e8
KERNEL32.dll,SetCurrentDirectoryA,0x4120ec
KERNEL32.dll,Sleep,0x4120f0
KERNEL32.dll,GetTempPathA,0x4120f4
KERNEL32.dll,MoveFileExA,0x4120f8
KERNEL32.dll,GetModuleFileNameW,0x4120fc
KERNEL32.dll,SetEnvironmentVariableA,0x412100
KERNEL32.dll,GetCommandLineA,0x412104
KERNEL32.dll,LocalFileTimeToFileTime,0x412108
KERNEL32.dll,SystemTimeToFileTime,0x41210c
KERNEL32.dll,GetSystemTime,0x412110
KERNEL32.dll,IsDBCSLeadByte,0x412114
KERNEL32.dll,GetCPInfo,0x412118
KERNEL32.dll,FreeLibrary,0x41211c
KERNEL32.dll,LoadLibraryA,0x412120
KERNEL32.dll,GetCurrentDirectoryA,0x412124
KERNEL32.dll,SetLastError,0x412128
KERNEL32.dll,GetLastError,0x41212c
KERNEL32.dll,CloseHandle,0x412130
KERNEL32.dll,GetCurrentProcess,0x412134
KERNEL32.dll,SetFileTime,0x412138
KERNEL32.dll,MoveFileA,0x41213c
KERNEL32.dll,SetFilePointer,0x412140
KERNEL32.dll,GetStdHandle,0x412144
KERNEL32.dll,ReadFile,0x412148
KERNEL32.dll,CreateFileW,0x41214c
KERNEL32.dll,CreateFileA,0x412150
KERNEL32.dll,GetFileType,0x412154
KERNEL32.dll,SetEndOfFile,0x412158
KERNEL32.dll,lstrcmpiA,0x41215c
USER32.dll,GetSystemMetrics,0x412188
USER32.dll,GetWindowTextA,0x41218c
USER32.dll,SetWindowPos,0x412190
USER32.dll,LoadStringA,0x412194
USER32.dll,CharToOemBuffA,0x412198
USER32.dll,wvsprintfA,0x41219c
USER32.dll,FindWindowExA,0x4121a0
USER32.dll,GetClassNameA,0x4121a4
USER32.dll,SendMessageA,0x4121a8
USER32.dll,wsprintfA,0x4121ac
USER32.dll,SetDlgItemTextA,0x4121b0
USER32.dll,EndDialog,0x4121b4
USER32.dll,DestroyIcon,0x4121b8
USER32.dll,SendDlgItemMessageA,0x4121bc
USER32.dll,GetDlgItemTextA,0x4121c0
USER32.dll,DialogBoxParamA,0x4121c4
USER32.dll,IsWindowVisible,0x4121c8
USER32.dll,WaitForInputIdle,0x4121cc
