dll,name,address
KERNEL32.dll,lstrcatA,0x40d000
KERNEL32.dll,lstrlenA,0x40d004
KERNEL32.dll,Sleep,0x40d008
KERNEL32.dll,EnterCriticalSection,0x40d00c
KERNEL32.dll,LeaveCriticalSection,0x40d010
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x40d014
KERNEL32.dll,DeleteCriticalSection,0x40d018
KERNEL32.dll,CloseHandle,0x40d01c
KERNEL32.dll,CreateThread,0x40d020
KERNEL32.dll,GetCurrentThreadId,0x40d024
KERNEL32.dll,GetTickCount,0x40d028
KERNEL32.dll,CreateFileW,0x40d02c
KERNEL32.dll,ReadFile,0x40d030
KERNEL32.dll,IsProcessorFeaturePresent,0x40d034
KERNEL32.dll,GetStringTypeW,0x40d038
KERNEL32.dll,LCMapStringW,0x40d03c
KERNEL32.dll,WriteConsoleW,0x40d040
KERNEL32.dll,SetStdHandle,0x40d044
KERNEL32.dll,MultiByteToWideChar,0x40d048
KERNEL32.dll,IsValidCodePage,0x40d04c
KERNEL32.dll,GetOEMCP,0x40d050
KERNEL32.dll,GetACP,0x40d054
KERNEL32.dll,GetCPInfo,0x40d058
KERNEL32.dll,GetConsoleMode,0x40d05c
KERNEL32.dll,GetConsoleCP,0x40d060
KERNEL32.dll,SetFilePointer,0x40d064
KERNEL32.dll,RtlUnwind,0x40d068
KERNEL32.dll,LoadLibraryW,0x40d06c
KERNEL32.dll,EncodePointer,0x40d070
KERNEL32.dll,DecodePointer,0x40d074
KERNEL32.dll,GetCommandLineA,0x40d078
KERNEL32.dll,HeapSetInformation,0x40d07c
KERNEL32.dll,GetStartupInfoW,0x40d080
KERNEL32.dll,TerminateProcess,0x40d084
KERNEL32.dll,GetCurrentProcess,0x40d088
KERNEL32.dll,UnhandledExceptionFilter,0x40d08c
KERNEL32.dll,SetUnhandledExceptionFilter,0x40d090
KERNEL32.dll,IsDebuggerPresent,0x40d094
KERNEL32.dll,HeapSize,0x40d098
KERNEL32.dll,GetProcAddress,0x40d09c
KERNEL32.dll,GetModuleHandleW,0x40d0a0
KERNEL32.dll,ExitProcess,0x40d0a4
KERNEL32.dll,GetLastError,0x40d0a8
KERNEL32.dll,HeapFree,0x40d0ac
KERNEL32.dll,TlsAlloc,0x40d0b0
KERNEL32.dll,TlsGetValue,0x40d0b4
KERNEL32.dll,TlsSetValue,0x40d0b8
KERNEL32.dll,TlsFree,0x40d0bc
KERNEL32.dll,InterlockedIncrement,0x40d0c0
KERNEL32.dll,SetLastError,0x40d0c4
KERNEL32.dll,InterlockedDecrement,0x40d0c8
KERNEL32.dll,WriteFile,0x40d0cc
KERNEL32.dll,GetStdHandle,0x40d0d0
KERNEL32.dll,GetModuleFileNameW,0x40d0d4
KERNEL32.dll,GetModuleFileNameA,0x40d0d8
KERNEL32.dll,FreeEnvironmentStringsW,0x40d0dc
KERNEL32.dll,WideCharToMultiByte,0x40d0e0
KERNEL32.dll,GetEnvironmentStringsW,0x40d0e4
KERNEL32.dll,SetHandleCount,0x40d0e8
KERNEL32.dll,GetFileType,0x40d0ec
KERNEL32.dll,HeapCreate,0x40d0f0
KERNEL32.dll,QueryPerformanceCounter,0x40d0f4
KERNEL32.dll,GetCurrentProcessId,0x40d0f8
KERNEL32.dll,GetSystemTimeAsFileTime,0x40d0fc
KERNEL32.dll,HeapAlloc,0x40d100
KERNEL32.dll,RaiseException,0x40d104
KERNEL32.dll,HeapReAlloc,0x40d108
KERNEL32.dll,FlushFileBuffers,0x40d10c
WS2_32.dll,WSAStartup,0x40d138
WS2_32.dll,ntohl,0x40d13c
WS2_32.dll,send,0x40d140
WS2_32.dll,recv,0x40d144
WS2_32.dll,connect,0x40d148
WS2_32.dll,setsockopt,0x40d14c
WS2_32.dll,socket,0x40d150
WS2_32.dll,htons,0x40d154
WS2_32.dll,gethostbyname,0x40d158
WS2_32.dll,inet_addr,0x40d15c
WS2_32.dll,closesocket,0x40d160
WININET.dll,InternetReadFile,0x40d114
WININET.dll,HttpQueryInfoA,0x40d118
WININET.dll,HttpSendRequestA,0x40d11c
WININET.dll,HttpOpenRequestA,0x40d120
WININET.dll,InternetConnectA,0x40d124
WININET.dll,InternetSetOptionA,0x40d128
WININET.dll,InternetOpenA,0x40d12c
WININET.dll,InternetCloseHandle,0x40d130
