dll,name,address
KERNEL32.DLL,LoadLibraryA,0x448660
KERNEL32.DLL,GetProcAddress,0x448664
KERNEL32.DLL,GetCommandLineA,0x448668
KERNEL32.DLL,GetStartupInfoA,0x44866c
KERNEL32.DLL,GetProcessHeap,0x448670
KERNEL32.DLL,GetLastError,0x448674
KERNEL32.DLL,GetModuleHandleA,0x448678
KERNEL32.DLL,TlsGetValue,0x44867c
KERNEL32.DLL,InterlockedIncrement,0x448680
KERNEL32.DLL,HeapAlloc,0x448684
KERNEL32.DLL,ExitProcess,0x448688
ADVAPI32.dll,FreeSid,0x448690
CRYPT32.dll,CertOpenStore,0x448698
GDI32.dll,BitBlt,0x4486a0
ole32.dll,CoInitialize,0x4486a8
RPCRT4.dll,UuidCreate,0x4486b0
Secur32.dll,GetComputerObjectNameW,0x4486b8
SHELL32.dll,SHGetFolderPathW,0x4486c0
USER32.dll,GetDC,0x4486c8
WININET.dll,InternetGetLastResponseInfoW,0x4486d0
WS2_32.dll,WSACleanup,0x4486d8
WTSAPI32.dll,WTSFreeMemory,0x4486e0
