dll,name,address
KERNEL32.dll,ReadFile,0x402000
KERNEL32.dll,PeekNamedPipe,0x402004
KERNEL32.dll,WriteFile,0x402008
KERNEL32.dll,CreateProcessA,0x40200c
KERNEL32.dll,GetStartupInfoA,0x402010
KERNEL32.dll,CreatePipe,0x402014
KERNEL32.dll,GetSystemDirectoryA,0x402018
KERNEL32.dll,SetProcessPriorityBoost,0x40201c
KERNEL32.dll,SetThreadPriority,0x402020
KERNEL32.dll,GetCurrentThread,0x402024
KERNEL32.dll,SetPriorityClass,0x402028
KERNEL32.dll,GetCurrentProcess,0x40202c
KERNEL32.dll,lstrcatA,0x402030
KERNEL32.dll,lstrcpyA,0x402034
KERNEL32.dll,GetEnvironmentVariableA,0x402038
KERNEL32.dll,GetShortPathNameA,0x40203c
KERNEL32.dll,GetModuleFileNameA,0x402040
SHELL32.dll,ShellExecuteExA,0x4020c4
SHELL32.dll,SHChangeNotify,0x4020c8
MSVCRT.dll,_controlfp,0x402048
MSVCRT.dll,??3@YAXPAX@Z,0x40204c
MSVCRT.dll,??2@YAPAXI@Z,0x402050
MSVCRT.dll,strchr,0x402054
MSVCRT.dll,strstr,0x402058
MSVCRT.dll,free,0x40205c
MSVCRT.dll,malloc,0x402060
MSVCRT.dll,_except_handler3,0x402064
MSVCRT.dll,_exit,0x402068
MSVCRT.dll,_XcptFilter,0x40206c
MSVCRT.dll,exit,0x402070
MSVCRT.dll,__p___initenv,0x402074
MSVCRT.dll,__getmainargs,0x402078
MSVCRT.dll,_initterm,0x40207c
MSVCRT.dll,__setusermatherr,0x402080
MSVCRT.dll,_adjust_fdiv,0x402084
MSVCRT.dll,__p__commode,0x402088
MSVCRT.dll,__p__fmode,0x40208c
MSVCRT.dll,__set_app_type,0x402090
RPCRT4.dll,NdrNonConformantStringMarshall,0x402098
RPCRT4.dll,NdrServerInitializeNew,0x40209c
RPCRT4.dll,NdrConvert,0x4020a0
RPCRT4.dll,RpcServerListen,0x4020a4
RPCRT4.dll,RpcServerRegisterIf,0x4020a8
RPCRT4.dll,RpcServerUseProtseqEpA,0x4020ac
RPCRT4.dll,RpcMgmtStopServerListening,0x4020b0
RPCRT4.dll,I_RpcGetBuffer,0x4020b4
RPCRT4.dll,RpcRaiseException,0x4020b8
RPCRT4.dll,NdrNonConformantStringUnmarshall,0x4020bc
