dll,name,address
KERNEL32.dll,GetComputerNameA,0x4690e4
KERNEL32.dll,GetLocalTime,0x4690e8
KERNEL32.dll,GlobalMemoryStatus,0x4690ec
KERNEL32.dll,GetVolumeInformationA,0x4690f0
KERNEL32.dll,Thread32First,0x4690f4
KERNEL32.dll,Thread32Next,0x4690f8
KERNEL32.dll,CreateToolhelp32Snapshot,0x4690fc
KERNEL32.dll,GetWindowsDirectoryA,0x469100
KERNEL32.dll,FreeLibrary,0x469104
KERNEL32.dll,FlushConsoleInputBuffer,0x469108
KERNEL32.dll,GetCurrentProcessId,0x46910c
KERNEL32.dll,GetStdHandle,0x469110
KERNEL32.dll,GetFileType,0x469114
KERNEL32.dll,GetVersion,0x469118
KERNEL32.dll,GetModuleHandleA,0x46911c
KERNEL32.dll,SetLastError,0x469120
KERNEL32.dll,OpenProcess,0x469124
KERNEL32.dll,Toolhelp32ReadProcessMemory,0x469128
KERNEL32.dll,GetCurrentThreadId,0x46912c
KERNEL32.dll,lstrcpyA,0x469130
KERNEL32.dll,GetSystemTime,0x469134
KERNEL32.dll,SystemTimeToFileTime,0x469138
KERNEL32.dll,CloseHandle,0x46913c
KERNEL32.dll,GetVersionExA,0x469140
KERNEL32.dll,GetCurrentProcess,0x469144
KERNEL32.dll,GetTickCount,0x469148
KERNEL32.dll,LocalAlloc,0x46914c
KERNEL32.dll,LocalFree,0x469150
KERNEL32.dll,Heap32ListFirst,0x469154
KERNEL32.dll,Heap32ListNext,0x469158
KERNEL32.dll,Process32Next,0x46915c
KERNEL32.dll,Process32First,0x469160
KERNEL32.dll,VirtualAllocEx,0x469164
KERNEL32.dll,VirtualFreeEx,0x469168
KERNEL32.dll,TerminateProcess,0x46916c
KERNEL32.dll,Module32First,0x469170
KERNEL32.dll,CompareFileTime,0x469174
KERNEL32.dll,ExpandEnvironmentStringsA,0x469178
KERNEL32.dll,LoadLibraryA,0x46917c
KERNEL32.dll,GetProcAddress,0x469180
KERNEL32.dll,ResetEvent,0x469184
KERNEL32.dll,RemoveDirectoryA,0x469188
KERNEL32.dll,GetLastError,0x46918c
KERNEL32.dll,FindClose,0x469190
KERNEL32.dll,GetFileAttributesExA,0x469194
KERNEL32.dll,SetErrorMode,0x469198
KERNEL32.dll,GetDriveTypeA,0x46919c
KERNEL32.dll,GetDiskFreeSpaceExA,0x4691a0
KERNEL32.dll,CreateDirectoryA,0x4691a4
KERNEL32.dll,CreateFileA,0x4691a8
KERNEL32.dll,FindFirstFileA,0x4691ac
KERNEL32.dll,FindNextFileA,0x4691b0
KERNEL32.dll,SetFileAttributesA,0x4691b4
KERNEL32.dll,MoveFileA,0x4691b8
KERNEL32.dll,GetFileAttributesA,0x4691bc
KERNEL32.dll,QueryPerformanceFrequency,0x4691c0
KERNEL32.dll,QueryPerformanceCounter,0x4691c4
KERNEL32.dll,PeekNamedPipe,0x4691c8
KERNEL32.dll,ReadFile,0x4691cc
KERNEL32.dll,WriteFile,0x4691d0
KERNEL32.dll,SetEvent,0x4691d4
KERNEL32.dll,CreateEventA,0x4691d8
KERNEL32.dll,WaitForSingleObject,0x4691dc
KERNEL32.dll,DeleteFileA,0x4691e0
KERNEL32.dll,Sleep,0x4691e4
KERNEL32.dll,CopyFileA,0x4691e8
KERNEL32.dll,CreatePipe,0x4691ec
KERNEL32.dll,GetSystemDirectoryA,0x4691f0
KERNEL32.dll,GetStartupInfoA,0x4691f4
KERNEL32.dll,CreateProcessA,0x4691f8
KERNEL32.dll,Module32Next,0x4691fc
USER32.dll,ReleaseDC,0x469354
USER32.dll,CloseWindowStation,0x469358
USER32.dll,GetProcessWindowStation,0x46935c
USER32.dll,GetThreadDesktop,0x469360
USER32.dll,OpenWindowStationA,0x469364
USER32.dll,SetProcessWindowStation,0x469368
USER32.dll,GetUserObjectInformationW,0x46936c
USER32.dll,GetDesktopWindow,0x469370
USER32.dll,MessageBoxA,0x469374
USER32.dll,OpenInputDesktop,0x469378
USER32.dll,GetUserObjectInformationA,0x46937c
USER32.dll,OpenDesktopA,0x469380
USER32.dll,SetThreadDesktop,0x469384
USER32.dll,CloseDesktop,0x469388
USER32.dll,SetCursorPos,0x46938c
USER32.dll,mouse_event,0x469390
USER32.dll,keybd_event,0x469394
USER32.dll,PostMessageA,0x469398
USER32.dll,wsprintfA,0x46939c
USER32.dll,ExitWindowsEx,0x4693a0
USER32.dll,GetDC,0x4693a4
GDI32.dll,GetStockObject,0x4690b0
GDI32.dll,SelectPalette,0x4690b4
GDI32.dll,RealizePalette,0x4690b8
GDI32.dll,GetDIBits,0x4690bc
GDI32.dll,DeleteObject,0x4690c0
GDI32.dll,CreateCompatibleDC,0x4690c4
GDI32.dll,CreateCompatibleBitmap,0x4690c8
GDI32.dll,SelectObject,0x4690cc
GDI32.dll,BitBlt,0x4690d0
GDI32.dll,CreateDCA,0x4690d4
GDI32.dll,GetDeviceCaps,0x4690d8
GDI32.dll,DeleteDC,0x4690dc
ADVAPI32.dll,DeleteService,0x469000
ADVAPI32.dll,QueryServiceStatus,0x469004
ADVAPI32.dll,ControlService,0x469008
ADVAPI32.dll,ChangeServiceConfig2A,0x46900c
ADVAPI32.dll,LockServiceDatabase,0x469010
ADVAPI32.dll,UnlockServiceDatabase,0x469014
ADVAPI32.dll,ChangeServiceConfigA,0x469018
ADVAPI32.dll,EnumServicesStatusExA,0x46901c
ADVAPI32.dll,OpenServiceA,0x469020
ADVAPI32.dll,QueryServiceConfigA,0x469024
ADVAPI32.dll,QueryServiceConfig2A,0x469028
ADVAPI32.dll,CloseServiceHandle,0x46902c
ADVAPI32.dll,OpenSCManagerA,0x469030
