dll,name,address
KERNEL32.dll,lstrcatA,0x40c000
KERNEL32.dll,lstrlenA,0x40c004
KERNEL32.dll,Sleep,0x40c008
KERNEL32.dll,EnterCriticalSection,0x40c00c
KERNEL32.dll,LeaveCriticalSection,0x40c010
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x40c014
KERNEL32.dll,DeleteCriticalSection,0x40c018
KERNEL32.dll,CloseHandle,0x40c01c
KERNEL32.dll,CreateThread,0x40c020
KERNEL32.dll,GetCurrentThreadId,0x40c024
KERNEL32.dll,GetTickCount,0x40c028
KERNEL32.dll,CreateFileW,0x40c02c
KERNEL32.dll,ReadFile,0x40c030
KERNEL32.dll,IsProcessorFeaturePresent,0x40c034
KERNEL32.dll,GetStringTypeW,0x40c038
KERNEL32.dll,LCMapStringW,0x40c03c
KERNEL32.dll,WriteConsoleW,0x40c040
KERNEL32.dll,SetStdHandle,0x40c044
KERNEL32.dll,MultiByteToWideChar,0x40c048
KERNEL32.dll,IsValidCodePage,0x40c04c
KERNEL32.dll,GetOEMCP,0x40c050
KERNEL32.dll,GetACP,0x40c054
KERNEL32.dll,GetCPInfo,0x40c058
KERNEL32.dll,GetConsoleMode,0x40c05c
KERNEL32.dll,GetConsoleCP,0x40c060
KERNEL32.dll,SetFilePointer,0x40c064
KERNEL32.dll,RtlUnwind,0x40c068
KERNEL32.dll,LoadLibraryW,0x40c06c
KERNEL32.dll,EncodePointer,0x40c070
KERNEL32.dll,DecodePointer,0x40c074
KERNEL32.dll,GetCommandLineA,0x40c078
KERNEL32.dll,HeapSetInformation,0x40c07c
KERNEL32.dll,GetStartupInfoW,0x40c080
KERNEL32.dll,TerminateProcess,0x40c084
KERNEL32.dll,GetCurrentProcess,0x40c088
KERNEL32.dll,UnhandledExceptionFilter,0x40c08c
KERNEL32.dll,SetUnhandledExceptionFilter,0x40c090
KERNEL32.dll,IsDebuggerPresent,0x40c094
KERNEL32.dll,HeapSize,0x40c098
KERNEL32.dll,GetProcAddress,0x40c09c
KERNEL32.dll,GetModuleHandleW,0x40c0a0
KERNEL32.dll,ExitProcess,0x40c0a4
KERNEL32.dll,GetLastError,0x40c0a8
KERNEL32.dll,HeapFree,0x40c0ac
KERNEL32.dll,TlsAlloc,0x40c0b0
KERNEL32.dll,TlsGetValue,0x40c0b4
KERNEL32.dll,TlsSetValue,0x40c0b8
KERNEL32.dll,TlsFree,0x40c0bc
KERNEL32.dll,InterlockedIncrement,0x40c0c0
KERNEL32.dll,SetLastError,0x40c0c4
KERNEL32.dll,InterlockedDecrement,0x40c0c8
KERNEL32.dll,WriteFile,0x40c0cc
KERNEL32.dll,GetStdHandle,0x40c0d0
KERNEL32.dll,GetModuleFileNameW,0x40c0d4
KERNEL32.dll,GetModuleFileNameA,0x40c0d8
KERNEL32.dll,FreeEnvironmentStringsW,0x40c0dc
KERNEL32.dll,WideCharToMultiByte,0x40c0e0
KERNEL32.dll,GetEnvironmentStringsW,0x40c0e4
KERNEL32.dll,SetHandleCount,0x40c0e8
KERNEL32.dll,GetFileType,0x40c0ec
KERNEL32.dll,HeapCreate,0x40c0f0
KERNEL32.dll,QueryPerformanceCounter,0x40c0f4
KERNEL32.dll,GetCurrentProcessId,0x40c0f8
KERNEL32.dll,GetSystemTimeAsFileTime,0x40c0fc
KERNEL32.dll,HeapAlloc,0x40c100
KERNEL32.dll,RaiseException,0x40c104
KERNEL32.dll,HeapReAlloc,0x40c108
KERNEL32.dll,FlushFileBuffers,0x40c10c
WS2_32.dll,WSAStartup,0x40c134
WS2_32.dll,ntohl,0x40c138
WS2_32.dll,gethostbyname,0x40c13c
WS2_32.dll,inet_addr,0x40c140
WS2_32.dll,connect,0x40c144
WS2_32.dll,setsockopt,0x40c148
WS2_32.dll,socket,0x40c14c
WS2_32.dll,htons,0x40c150
WS2_32.dll,recv,0x40c154
WS2_32.dll,closesocket,0x40c158
WS2_32.dll,send,0x40c15c
WININET.dll,HttpQueryInfoA,0x40c114
WININET.dll,HttpSendRequestA,0x40c118
WININET.dll,HttpOpenRequestA,0x40c11c
WININET.dll,InternetConnectA,0x40c120
WININET.dll,InternetSetOptionA,0x40c124
WININET.dll,InternetOpenA,0x40c128
WININET.dll,InternetCloseHandle,0x40c12c
