dll,name,address
KERNEL32.dll,GetVersionExA,0x101ee000
KERNEL32.dll,InterlockedDecrement,0x101ee004
USER32.dll,GetDesktopWindow,0x101ee00c
GDI32.dll,GetSystemPaletteEntries,0x101ee014
ADVAPI32.dll,LookupAccountSidA,0x101ee01c
SHELL32.dll,SHFileOperationA,0x101ee024
ole32.dll,CoInitialize,0x101ee02c
WS2_32.dll,WSAStartup,0x101ee034
SHLWAPI.dll,PathMatchSpecA,0x101ee03c
DNSAPI.dll,DnsQuery_A,0x101ee044
Secur32.dll,LsaEnumerateLogonSessions,0x101ee04c
PSAPI.DLL,GetModuleFileNameExA,0x101ee054
NETAPI32.dll,NetUserEnum,0x101ee05c
AVICAP32.dll,capCreateCaptureWindowA,0x101ee064
WTSAPI32.dll,WTSFreeMemory,0x101ee06c
USERENV.dll,DestroyEnvironmentBlock,0x101ee074
VERSION.dll,GetFileVersionInfoA,0x101ee07c
KERNEL32.dll,GetModuleFileNameW,0x101ee084
KERNEL32.dll,GetModuleHandleA,0x101ee08c
KERNEL32.dll,LoadLibraryA,0x101ee090
KERNEL32.dll,LocalAlloc,0x101ee094
KERNEL32.dll,LocalFree,0x101ee098
KERNEL32.dll,GetModuleFileNameA,0x101ee09c
KERNEL32.dll,ExitProcess,0x101ee0a0
