dll,name,address
KERNEL32.dll,CloseHandle,0x4b7000
USER32.dll,GetDlgItem,0x4b7008
ADVAPI32.dll,RegCloseKey,0x4b7010
SHELL32.dll,SHFileOperationA,0x4b7018
imagehlp.dll,MakeSureDirectoryPathExists,0x4b7020
VERSION.dll,GetFileVersionInfoSizeA,0x4b7028
SHLWAPI.dll,PathFileExistsA,0x4b7030
KERNEL32.dll,GetModuleFileNameW,0x4b7038
KERNEL32.dll,GetModuleHandleA,0x4b7040
KERNEL32.dll,LoadLibraryA,0x4b7044
KERNEL32.dll,LocalAlloc,0x4b7048
KERNEL32.dll,LocalFree,0x4b704c
KERNEL32.dll,GetModuleFileNameA,0x4b7050
KERNEL32.dll,ExitProcess,0x4b7054
