dll,name,address
KERNEL32.dll,LoadLibraryA,0x412000
KERNEL32.dll,ExpandEnvironmentStringsA,0x412004
KERNEL32.dll,CloseHandle,0x412008
KERNEL32.dll,DeviceIoControl,0x41200c
KERNEL32.dll,CreateFileA,0x412010
KERNEL32.dll,GetLastError,0x412014
KERNEL32.dll,SetPriorityClass,0x412018
KERNEL32.dll,GetCurrentProcess,0x41201c
KERNEL32.dll,GetVersionExA,0x412020
KERNEL32.dll,GetDiskFreeSpaceW,0x412024
KERNEL32.dll,GetDiskFreeSpaceExW,0x412028
KERNEL32.dll,GetDriveTypeW,0x41202c
KERNEL32.dll,SetErrorMode,0x412030
KERNEL32.dll,FindNextFileW,0x412034
KERNEL32.dll,FindFirstFileW,0x412038
KERNEL32.dll,CreateProcessW,0x41203c
KERNEL32.dll,GetProcAddress,0x412040
KERNEL32.dll,VirtualAlloc,0x412044
KERNEL32.dll,GetComputerNameW,0x412048
KERNEL32.dll,ExitProcess,0x41204c
KERNEL32.dll,GetStartupInfoA,0x412050
KERNEL32.dll,DeleteCriticalSection,0x412054
KERNEL32.dll,HeapFree,0x412058
KERNEL32.dll,HeapAlloc,0x41205c
KERNEL32.dll,GetProcessHeap,0x412060
KERNEL32.dll,GetFileSize,0x412064
KERNEL32.dll,ReadFile,0x412068
KERNEL32.dll,WriteFile,0x41206c
KERNEL32.dll,GetOEMCP,0x412070
KERNEL32.dll,GetACP,0x412074
KERNEL32.dll,GetCPInfo,0x412078
KERNEL32.dll,CreateFileW,0x41207c
KERNEL32.dll,RtlUnwind,0x412080
KERNEL32.dll,RaiseException,0x412084
KERNEL32.dll,GetModuleHandleA,0x412088
KERNEL32.dll,GetCommandLineA,0x41208c
KERNEL32.dll,GetVersion,0x412090
KERNEL32.dll,HeapDestroy,0x412094
KERNEL32.dll,HeapCreate,0x412098
KERNEL32.dll,VirtualFree,0x41209c
KERNEL32.dll,HeapReAlloc,0x4120a0
KERNEL32.dll,IsBadWritePtr,0x4120a4
KERNEL32.dll,TerminateProcess,0x4120a8
KERNEL32.dll,HeapSize,0x4120ac
KERNEL32.dll,WideCharToMultiByte,0x4120b0
KERNEL32.dll,MultiByteToWideChar,0x4120b4
KERNEL32.dll,LCMapStringA,0x4120b8
KERNEL32.dll,LCMapStringW,0x4120bc
KERNEL32.dll,SetFilePointer,0x4120c0
KERNEL32.dll,SetHandleCount,0x4120c4
KERNEL32.dll,GetStdHandle,0x4120c8
KERNEL32.dll,GetFileType,0x4120cc
KERNEL32.dll,SetUnhandledExceptionFilter,0x4120d0
KERNEL32.dll,UnhandledExceptionFilter,0x4120d4
KERNEL32.dll,GetModuleFileNameA,0x4120d8
KERNEL32.dll,FreeEnvironmentStringsA,0x4120dc
KERNEL32.dll,FreeEnvironmentStringsW,0x4120e0
KERNEL32.dll,GetEnvironmentStrings,0x4120e4
KERNEL32.dll,GetEnvironmentStringsW,0x4120e8
KERNEL32.dll,IsBadReadPtr,0x4120ec
KERNEL32.dll,IsBadCodePtr,0x4120f0
KERNEL32.dll,GetStringTypeA,0x4120f4
KERNEL32.dll,GetStringTypeW,0x4120f8
KERNEL32.dll,SetStdHandle,0x4120fc
KERNEL32.dll,FlushFileBuffers,0x412100
KERNEL32.dll,SetEndOfFile,0x412104
USER32.dll,wsprintfW,0x41210c
USER32.dll,MessageBoxA,0x412110
iphlpapi.dll,GetAdaptersInfo,0x412118
