dll,name,address
KERNEL32.DLL,LoadLibraryA,0x44a6a4
KERNEL32.DLL,GetProcAddress,0x44a6a8
KERNEL32.DLL,GetCommandLineA,0x44a6ac
KERNEL32.DLL,GetStartupInfoA,0x44a6b0
KERNEL32.DLL,GetProcessHeap,0x44a6b4
KERNEL32.DLL,GetLastError,0x44a6b8
KERNEL32.DLL,GetModuleHandleA,0x44a6bc
KERNEL32.DLL,TlsGetValue,0x44a6c0
KERNEL32.DLL,InterlockedIncrement,0x44a6c4
KERNEL32.DLL,HeapAlloc,0x44a6c8
KERNEL32.DLL,ExitProcess,0x44a6cc
ADVAPI32.dll,FreeSid,0x44a6d4
CRYPT32.dll,CertOpenStore,0x44a6dc
GDI32.dll,BitBlt,0x44a6e4
ole32.dll,CoInitialize,0x44a6ec
RPCRT4.dll,UuidCreate,0x44a6f4
Secur32.dll,GetComputerObjectNameW,0x44a6fc
SHELL32.dll,SHGetFolderPathW,0x44a704
USER32.dll,GetDC,0x44a70c
WININET.dll,InternetGetLastResponseInfoW,0x44a714
WS2_32.dll,WSACleanup,0x44a71c
WTSAPI32.dll,WTSFreeMemory,0x44a724
