dll,name,address
imagehlp.dll,CheckSumMappedFile,0x40c164
KERNEL32.dll,WriteConsoleW,0x40c000
KERNEL32.dll,GetCommandLineW,0x40c004
KERNEL32.dll,WideCharToMultiByte,0x40c008
KERNEL32.dll,GetModuleFileNameW,0x40c00c
KERNEL32.dll,LocalFree,0x40c010
KERNEL32.dll,MapViewOfFile,0x40c014
KERNEL32.dll,UnmapViewOfFile,0x40c018
KERNEL32.dll,GetFileAttributesW,0x40c01c
KERNEL32.dll,CreateFileW,0x40c020
KERNEL32.dll,GetFileSizeEx,0x40c024
KERNEL32.dll,CreateFileMappingW,0x40c028
KERNEL32.dll,CloseHandle,0x40c02c
KERNEL32.dll,GetModuleHandleW,0x40c030
KERNEL32.dll,GetProcAddress,0x40c034
KERNEL32.dll,GetModuleHandleA,0x40c038
KERNEL32.dll,GetTempFileNameW,0x40c03c
KERNEL32.dll,FreeLibrary,0x40c040
KERNEL32.dll,CreateProcessW,0x40c044
KERNEL32.dll,SetUnhandledExceptionFilter,0x40c048
KERNEL32.dll,MoveFileExW,0x40c04c
KERNEL32.dll,VirtualFree,0x40c050
KERNEL32.dll,LoadLibraryW,0x40c054
KERNEL32.dll,Sleep,0x40c058
KERNEL32.dll,GetTempPathW,0x40c05c
KERNEL32.dll,VirtualAlloc,0x40c060
KERNEL32.dll,WaitForMultipleObjects,0x40c064
KERNEL32.dll,ResumeThread,0x40c068
KERNEL32.dll,CreateThread,0x40c06c
KERNEL32.dll,FindResourceA,0x40c070
KERNEL32.dll,HeapAlloc,0x40c074
KERNEL32.dll,GetProcessHeap,0x40c078
KERNEL32.dll,ActivateActCtx,0x40c07c
KERNEL32.dll,CreateActCtxA,0x40c080
KERNEL32.dll,LoadLibraryA,0x40c084
KERNEL32.dll,VirtualProtect,0x40c088
KERNEL32.dll,SetStdHandle,0x40c08c
KERNEL32.dll,GetCommandLineA,0x40c090
KERNEL32.dll,GetLastError,0x40c094
KERNEL32.dll,HeapFree,0x40c098
KERNEL32.dll,GetSystemTimeAsFileTime,0x40c09c
KERNEL32.dll,SetLastError,0x40c0a0
KERNEL32.dll,InterlockedIncrement,0x40c0a4
KERNEL32.dll,InterlockedDecrement,0x40c0a8
KERNEL32.dll,GetCurrentThreadId,0x40c0ac
KERNEL32.dll,EncodePointer,0x40c0b0
KERNEL32.dll,DecodePointer,0x40c0b4
KERNEL32.dll,ExitProcess,0x40c0b8
KERNEL32.dll,GetModuleHandleExW,0x40c0bc
KERNEL32.dll,FlushFileBuffers,0x40c0c0
KERNEL32.dll,MultiByteToWideChar,0x40c0c4
KERNEL32.dll,GetStdHandle,0x40c0c8
KERNEL32.dll,WriteFile,0x40c0cc
KERNEL32.dll,GetFileType,0x40c0d0
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x40c0d4
KERNEL32.dll,DeleteCriticalSection,0x40c0d8
KERNEL32.dll,GetStartupInfoW,0x40c0dc
KERNEL32.dll,GetModuleFileNameA,0x40c0e0
KERNEL32.dll,QueryPerformanceCounter,0x40c0e4
KERNEL32.dll,GetCurrentProcessId,0x40c0e8
KERNEL32.dll,GetEnvironmentStringsW,0x40c0ec
KERNEL32.dll,FreeEnvironmentStringsW,0x40c0f0
KERNEL32.dll,IsDebuggerPresent,0x40c0f4
KERNEL32.dll,IsProcessorFeaturePresent,0x40c0f8
KERNEL32.dll,UnhandledExceptionFilter,0x40c0fc
KERNEL32.dll,GetCurrentProcess,0x40c100
KERNEL32.dll,TerminateProcess,0x40c104
KERNEL32.dll,TlsAlloc,0x40c108
KERNEL32.dll,TlsGetValue,0x40c10c
KERNEL32.dll,TlsSetValue,0x40c110
KERNEL32.dll,TlsFree,0x40c114
KERNEL32.dll,EnterCriticalSection,0x40c118
KERNEL32.dll,LeaveCriticalSection,0x40c11c
KERNEL32.dll,IsValidCodePage,0x40c120
KERNEL32.dll,GetACP,0x40c124
KERNEL32.dll,GetOEMCP,0x40c128
KERNEL32.dll,GetCPInfo,0x40c12c
KERNEL32.dll,LoadLibraryExW,0x40c130
KERNEL32.dll,OutputDebugStringW,0x40c134
KERNEL32.dll,RtlUnwind,0x40c138
KERNEL32.dll,GetConsoleCP,0x40c13c
KERNEL32.dll,GetConsoleMode,0x40c140
KERNEL32.dll,SetFilePointerEx,0x40c144
KERNEL32.dll,GetStringTypeW,0x40c148
KERNEL32.dll,HeapReAlloc,0x40c14c
KERNEL32.dll,HeapSize,0x40c150
KERNEL32.dll,LCMapStringW,0x40c154
SHELL32.dll,CommandLineToArgvW,0x40c15c
