dll,name,address
kernel32.dll,DeleteCriticalSection,0x47c154
kernel32.dll,LeaveCriticalSection,0x47c158
kernel32.dll,EnterCriticalSection,0x47c15c
kernel32.dll,InitializeCriticalSection,0x47c160
kernel32.dll,VirtualFree,0x47c164
kernel32.dll,VirtualAlloc,0x47c168
kernel32.dll,LocalFree,0x47c16c
kernel32.dll,LocalAlloc,0x47c170
kernel32.dll,GetVersion,0x47c174
kernel32.dll,GetCurrentThreadId,0x47c178
kernel32.dll,InterlockedDecrement,0x47c17c
kernel32.dll,InterlockedIncrement,0x47c180
kernel32.dll,VirtualQuery,0x47c184
kernel32.dll,WideCharToMultiByte,0x47c188
kernel32.dll,MultiByteToWideChar,0x47c18c
kernel32.dll,lstrlenA,0x47c190
kernel32.dll,lstrcpynA,0x47c194
kernel32.dll,LoadLibraryExA,0x47c198
kernel32.dll,GetThreadLocale,0x47c19c
kernel32.dll,GetStartupInfoA,0x47c1a0
kernel32.dll,GetProcAddress,0x47c1a4
kernel32.dll,GetModuleHandleA,0x47c1a8
kernel32.dll,GetModuleFileNameA,0x47c1ac
kernel32.dll,GetLocaleInfoA,0x47c1b0
kernel32.dll,GetCommandLineA,0x47c1b4
kernel32.dll,FreeLibrary,0x47c1b8
kernel32.dll,FindFirstFileA,0x47c1bc
kernel32.dll,FindClose,0x47c1c0
kernel32.dll,ExitProcess,0x47c1c4
kernel32.dll,ExitThread,0x47c1c8
kernel32.dll,CreateThread,0x47c1cc
kernel32.dll,WriteFile,0x47c1d0
kernel32.dll,UnhandledExceptionFilter,0x47c1d4
kernel32.dll,RtlUnwind,0x47c1d8
kernel32.dll,RaiseException,0x47c1dc
kernel32.dll,GetStdHandle,0x47c1e0
user32.dll,GetKeyboardType,0x47c1e8
user32.dll,LoadStringA,0x47c1ec
user32.dll,MessageBoxA,0x47c1f0
user32.dll,CharNextA,0x47c1f4
advapi32.dll,RegQueryValueExA,0x47c1fc
advapi32.dll,RegOpenKeyExA,0x47c200
advapi32.dll,RegCloseKey,0x47c204
oleaut32.dll,SysFreeString,0x47c20c
oleaut32.dll,SysReAllocStringLen,0x47c210
oleaut32.dll,SysAllocStringLen,0x47c214
kernel32.dll,TlsSetValue,0x47c21c
kernel32.dll,TlsGetValue,0x47c220
kernel32.dll,LocalAlloc,0x47c224
kernel32.dll,GetModuleHandleA,0x47c228
advapi32.dll,RegQueryValueExA,0x47c230
advapi32.dll,RegOpenKeyExA,0x47c234
advapi32.dll,RegCloseKey,0x47c238
kernel32.dll,lstrcpyA,0x47c240
kernel32.dll,WriteFile,0x47c244
kernel32.dll,WaitForSingleObject,0x47c248
kernel32.dll,VirtualQuery,0x47c24c
kernel32.dll,VirtualProtect,0x47c250
kernel32.dll,VirtualFree,0x47c254
kernel32.dll,VirtualAlloc,0x47c258
kernel32.dll,SuspendThread,0x47c25c
kernel32.dll,Sleep,0x47c260
kernel32.dll,SizeofResource,0x47c264
kernel32.dll,SetThreadPriority,0x47c268
kernel32.dll,SetThreadLocale,0x47c26c
kernel32.dll,SetFilePointer,0x47c270
kernel32.dll,SetEvent,0x47c274
kernel32.dll,SetErrorMode,0x47c278
kernel32.dll,SetEndOfFile,0x47c27c
kernel32.dll,ResumeThread,0x47c280
kernel32.dll,ResetEvent,0x47c284
kernel32.dll,ReadFile,0x47c288
kernel32.dll,MulDiv,0x47c28c
kernel32.dll,LockResource,0x47c290
kernel32.dll,LoadResource,0x47c294
kernel32.dll,LoadLibraryA,0x47c298
kernel32.dll,LeaveCriticalSection,0x47c29c
kernel32.dll,InitializeCriticalSection,0x47c2a0
kernel32.dll,GlobalUnlock,0x47c2a4
kernel32.dll,GlobalSize,0x47c2a8
kernel32.dll,GlobalReAlloc,0x47c2ac
kernel32.dll,GlobalHandle,0x47c2b0
kernel32.dll,GlobalLock,0x47c2b4
kernel32.dll,GlobalFree,0x47c2b8
kernel32.dll,GlobalFindAtomA,0x47c2bc
kernel32.dll,GlobalDeleteAtom,0x47c2c0
kernel32.dll,GlobalAlloc,0x47c2c4
kernel32.dll,GlobalAddAtomA,0x47c2c8
kernel32.dll,GetVersionExA,0x47c2cc
kernel32.dll,GetVersion,0x47c2d0
kernel32.dll,GetTickCount,0x47c2d4
kernel32.dll,GetThreadLocale,0x47c2d8
kernel32.dll,GetTempPathA,0x47c2dc
kernel32.dll,GetSystemInfo,0x47c2e0
kernel32.dll,GetStringTypeExA,0x47c2e4
kernel32.dll,GetStdHandle,0x47c2e8
kernel32.dll,GetProfileStringA,0x47c2ec
kernel32.dll,GetProcAddress,0x47c2f0
kernel32.dll,GetModuleHandleA,0x47c2f4
kernel32.dll,GetModuleFileNameA,0x47c2f8
kernel32.dll,GetLocaleInfoA,0x47c2fc
kernel32.dll,GetLocalTime,0x47c300
kernel32.dll,GetLastError,0x47c304
kernel32.dll,GetFullPathNameA,0x47c308
kernel32.dll,GetFileSize,0x47c30c
kernel32.dll,GetExitCodeThread,0x47c310
kernel32.dll,GetDiskFreeSpaceA,0x47c314
kernel32.dll,GetDateFormatA,0x47c318
kernel32.dll,GetCurrentThreadId,0x47c31c
kernel32.dll,GetCurrentProcessId,0x47c320
kernel32.dll,GetCPInfo,0x47c324
kernel32.dll,GetACP,0x47c328
kernel32.dll,FreeResource,0x47c32c
kernel32.dll,InterlockedIncrement,0x47c330
kernel32.dll,InterlockedExchange,0x47c334
kernel32.dll,InterlockedDecrement,0x47c338
kernel32.dll,FreeLibrary,0x47c33c
kernel32.dll,FormatMessageA,0x47c340
kernel32.dll,FindResourceA,0x47c344
kernel32.dll,FindFirstFileA,0x47c348
kernel32.dll,FindClose,0x47c34c
kernel32.dll,FileTimeToLocalFileTime,0x47c350
kernel32.dll,FileTimeToDosDateTime,0x47c354
kernel32.dll,EnumCalendarInfoA,0x47c358
kernel32.dll,EnterCriticalSection,0x47c35c
kernel32.dll,DeleteFileA,0x47c360
kernel32.dll,DeleteCriticalSection,0x47c364
kernel32.dll,CreateThread,0x47c368
kernel32.dll,CreateFileA,0x47c36c
kernel32.dll,CreateEventA,0x47c370
kernel32.dll,CompareStringA,0x47c374
kernel32.dll,CloseHandle,0x47c378
version.dll,VerQueryValueA,0x47c380
version.dll,GetFileVersionInfoSizeA,0x47c384
version.dll,GetFileVersionInfoA,0x47c388
gdi32.dll,UnrealizeObject,0x47c390
gdi32.dll,StretchBlt,0x47c394
gdi32.dll,SetWindowOrgEx,0x47c398
gdi32.dll,SetViewportOrgEx,0x47c39c
gdi32.dll,SetTextColor,0x47c3a0
gdi32.dll,SetStretchBltMode,0x47c3a4
gdi32.dll,SetROP2,0x47c3a8
gdi32.dll,SetPixel,0x47c3ac
gdi32.dll,SetDIBColorTable,0x47c3b0
gdi32.dll,SetBrushOrgEx,0x47c3b4
gdi32.dll,SetBkMode,0x47c3b8
gdi32.dll,SetBkColor,0x47c3bc
gdi32.dll,SelectPalette,0x47c3c0
gdi32.dll,SelectObject,0x47c3c4
gdi32.dll,SelectClipRgn,0x47c3c8
gdi32.dll,SaveDC,0x47c3cc
gdi32.dll,RestoreDC,0x47c3d0
gdi32.dll,RectVisible,0x47c3d4
gdi32.dll,RealizePalette,0x47c3d8
gdi32.dll,PatBlt,0x47c3dc
gdi32.dll,MoveToEx,0x47c3e0
gdi32.dll,MaskBlt,0x47c3e4
gdi32.dll,LineTo,0x47c3e8
gdi32.dll,IntersectClipRect,0x47c3ec
gdi32.dll,GetWindowOrgEx,0x47c3f0
gdi32.dll,GetTextMetricsA,0x47c3f4
gdi32.dll,GetTextExtentPoint32A,0x47c3f8
gdi32.dll,GetSystemPaletteEntries,0x47c3fc
gdi32.dll,GetStockObject,0x47c400
gdi32.dll,GetPixel,0x47c404
gdi32.dll,GetPaletteEntries,0x47c408
gdi32.dll,GetObjectA,0x47c40c
gdi32.dll,GetDeviceCaps,0x47c410
gdi32.dll,GetDIBits,0x47c414
gdi32.dll,GetDIBColorTable,0x47c418
gdi32.dll,GetDCOrgEx,0x47c41c
