dll,name,address
KERNEL32.dll,CreateFileA,0x40903c
KERNEL32.dll,GetLastError,0x409040
KERNEL32.dll,SetFilePointer,0x409044
KERNEL32.dll,GetCurrentProcess,0x409048
KERNEL32.dll,GetDiskFreeSpaceA,0x40904c
KERNEL32.dll,GetDriveTypeA,0x409050
KERNEL32.dll,GlobalMemoryStatus,0x409054
KERNEL32.dll,GetTickCount,0x409058
KERNEL32.dll,GetFileSize,0x40905c
KERNEL32.dll,GetSystemInfo,0x409060
KERNEL32.dll,GetComputerNameA,0x409064
KERNEL32.dll,WideCharToMultiByte,0x409068
KERNEL32.dll,GetProcAddress,0x40906c
KERNEL32.dll,GetModuleHandleA,0x409070
KERNEL32.dll,OpenProcess,0x409074
KERNEL32.dll,TerminateProcess,0x409078
KERNEL32.dll,MultiByteToWideChar,0x40907c
KERNEL32.dll,WriteFile,0x409080
KERNEL32.dll,PeekNamedPipe,0x409084
KERNEL32.dll,ReadFile,0x409088
KERNEL32.dll,ExitThread,0x40908c
KERNEL32.dll,GetVersionExA,0x409090
KERNEL32.dll,Sleep,0x409094
KERNEL32.dll,CloseHandle,0x409098
KERNEL32.dll,CreatePipe,0x40909c
KERNEL32.dll,GetStartupInfoA,0x4090a0
KERNEL32.dll,CreateProcessA,0x4090a4
KERNEL32.dll,CreateThread,0x4090a8
KERNEL32.dll,TerminateThread,0x4090ac
KERNEL32.dll,GetModuleFileNameA,0x4090b0
KERNEL32.dll,GetSystemPowerStatus,0x4090b4
KERNEL32.dll,lstrlenA,0x4090b8
USER32.dll,wsprintfA,0x409190
ADVAPI32.dll,OpenProcessToken,0x409000
ADVAPI32.dll,RegSetValueExA,0x409004
ADVAPI32.dll,GetTokenInformation,0x409008
ADVAPI32.dll,LookupAccountSidA,0x40900c
ADVAPI32.dll,GetUserNameA,0x409010
ADVAPI32.dll,RegCloseKey,0x409014
ADVAPI32.dll,LookupPrivilegeValueA,0x409018
ADVAPI32.dll,AdjustTokenPrivileges,0x40901c
ADVAPI32.dll,RegOpenKeyA,0x409020
NETAPI32.dll,NetServerEnum,0x409184
NETAPI32.dll,NetApiBufferFree,0x409188
WININET.dll,HttpSendRequestExA,0x409198
WININET.dll,InternetWriteFile,0x40919c
WININET.dll,HttpEndRequestA,0x4091a0
WININET.dll,InternetReadFile,0x4091a4
WININET.dll,InternetCloseHandle,0x4091a8
WININET.dll,InternetQueryOptionA,0x4091ac
WININET.dll,InternetSetOptionA,0x4091b0
WININET.dll,InternetOpenA,0x4091b4
WININET.dll,InternetConnectA,0x4091b8
WININET.dll,HttpOpenRequestA,0x4091bc
WININET.dll,InternetGetConnectedState,0x4091c0
WS2_32.dll,gethostname,0x4091c8
WS2_32.dll,WSACleanup,0x4091cc
WS2_32.dll,WSAStartup,0x4091d0
WS2_32.dll,gethostbyname,0x4091d4
WS2_32.dll,inet_ntoa,0x4091d8
MSVCRT.dll,_EH_prolog,0x4090c0
MSVCRT.dll,strlen,0x4090c4
MSVCRT.dll,??0exception@@QAE@ABV0@@Z,0x4090c8
MSVCRT.dll,??1exception@@UAE@XZ,0x4090cc
MSVCRT.dll,??0exception@@QAE@ABQBD@Z,0x4090d0
MSVCRT.dll,_wcsnicmp,0x4090d4
MSVCRT.dll,_CxxThrowException,0x4090d8
MSVCRT.dll,_controlfp,0x4090dc
MSVCRT.dll,__set_app_type,0x4090e0
MSVCRT.dll,__p__fmode,0x4090e4
MSVCRT.dll,??1type_info@@UAE@XZ,0x4090e8
MSVCRT.dll,__p__commode,0x4090ec
MSVCRT.dll,_adjust_fdiv,0x4090f0
MSVCRT.dll,__setusermatherr,0x4090f4
MSVCRT.dll,_initterm,0x4090f8
MSVCRT.dll,__getmainargs,0x4090fc
MSVCRT.dll,atoi,0x409100
MSVCRT.dll,memchr,0x409104
MSVCRT.dll,free,0x409108
MSVCRT.dll,??3@YAXPAX@Z,0x40910c
MSVCRT.dll,malloc,0x409110
MSVCRT.dll,atof,0x409114
MSVCRT.dll,sprintf,0x409118
MSVCRT.dll,strncpy,0x40911c
MSVCRT.dll,rand,0x409120
MSVCRT.dll,srand,0x409124
MSVCRT.dll,time,0x409128
MSVCRT.dll,_ftol,0x40912c
MSVCRT.dll,islower,0x409130
MSVCRT.dll,__CxxFrameHandler,0x409134
MSVCRT.dll,_atoi64,0x409138
MSVCRT.dll,fclose,0x40913c
MSVCRT.dll,strchr,0x409140
MSVCRT.dll,fread,0x409144
MSVCRT.dll,fseek,0x409148
MSVCRT.dll,fopen,0x40914c
MSVCRT.dll,fwprintf,0x409150
MSVCRT.dll,fprintf,0x409154
MSVCRT.dll,memmove,0x409158
MSVCRT.dll,??2@YAPAXI@Z,0x40915c
MSVCRT.dll,realloc,0x409160
MSVCRT.dll,_except_handler3,0x409164
MSVCRT.dll,__dllonexit,0x409168
MSVCRT.dll,_onexit,0x40916c
MSVCRT.dll,_exit,0x409170
MSVCRT.dll,_XcptFilter,0x409174
MSVCRT.dll,exit,0x409178
MSVCRT.dll,_acmdln,0x40917c
CRYPT32.dll,CertFreeCertificateContext,0x409028
CRYPT32.dll,CertFindCertificateInStore,0x40902c
CRYPT32.dll,CertOpenSystemStoreA,0x409030
CRYPT32.dll,CertCloseStore,0x409034
