dll,name,address
MFC42.DLL,,0x40a038
MFC42.DLL,,0x40a03c
MSVCRT.dll,strncpy,0x40a044
MSVCRT.dll,_snprintf,0x40a048
MSVCRT.dll,strstr,0x40a04c
MSVCRT.dll,_stricmp,0x40a050
KERNEL32.dll,GetProcAddress,0x40a000
KERNEL32.dll,CloseHandle,0x40a004
KERNEL32.dll,ReadFile,0x40a008
KERNEL32.dll,GetFileSize,0x40a00c
KERNEL32.dll,CreateFileA,0x40a010
KERNEL32.dll,WriteFile,0x40a014
KERNEL32.dll,SetFilePointer,0x40a018
KERNEL32.dll,GetModuleFileNameA,0x40a01c
KERNEL32.dll,LoadLibraryA,0x40a020
KERNEL32.dll,OutputDebugStringA,0x40a024
KERNEL32.dll,GetSystemDirectoryA,0x40a028
KERNEL32.dll,IsBadReadPtr,0x40a02c
KERNEL32.dll,GetModuleHandleA,0x40a030
