dll,name,address
kernel32.dll,DeleteCriticalSection,0x470154
kernel32.dll,LeaveCriticalSection,0x470158
kernel32.dll,EnterCriticalSection,0x47015c
kernel32.dll,InitializeCriticalSection,0x470160
kernel32.dll,VirtualFree,0x470164
kernel32.dll,VirtualAlloc,0x470168
kernel32.dll,LocalFree,0x47016c
kernel32.dll,LocalAlloc,0x470170
kernel32.dll,GetVersion,0x470174
kernel32.dll,GetCurrentThreadId,0x470178
kernel32.dll,InterlockedDecrement,0x47017c
kernel32.dll,InterlockedIncrement,0x470180
kernel32.dll,VirtualQuery,0x470184
kernel32.dll,WideCharToMultiByte,0x470188
kernel32.dll,MultiByteToWideChar,0x47018c
kernel32.dll,lstrlenA,0x470190
kernel32.dll,lstrcpynA,0x470194
kernel32.dll,LoadLibraryExA,0x470198
kernel32.dll,GetThreadLocale,0x47019c
kernel32.dll,GetStartupInfoA,0x4701a0
kernel32.dll,GetProcAddress,0x4701a4
kernel32.dll,GetModuleHandleA,0x4701a8
kernel32.dll,GetModuleFileNameA,0x4701ac
kernel32.dll,GetLocaleInfoA,0x4701b0
kernel32.dll,GetCommandLineA,0x4701b4
kernel32.dll,FreeLibrary,0x4701b8
kernel32.dll,FindFirstFileA,0x4701bc
kernel32.dll,FindClose,0x4701c0
kernel32.dll,ExitProcess,0x4701c4
kernel32.dll,WriteFile,0x4701c8
kernel32.dll,UnhandledExceptionFilter,0x4701cc
kernel32.dll,RtlUnwind,0x4701d0
kernel32.dll,RaiseException,0x4701d4
kernel32.dll,GetStdHandle,0x4701d8
user32.dll,GetKeyboardType,0x4701e0
user32.dll,LoadStringA,0x4701e4
user32.dll,MessageBoxA,0x4701e8
user32.dll,CharNextA,0x4701ec
advapi32.dll,RegQueryValueExA,0x4701f4
advapi32.dll,RegOpenKeyExA,0x4701f8
advapi32.dll,RegCloseKey,0x4701fc
oleaut32.dll,SysFreeString,0x470204
oleaut32.dll,SysReAllocStringLen,0x470208
oleaut32.dll,SysAllocStringLen,0x47020c
kernel32.dll,TlsSetValue,0x470214
kernel32.dll,TlsGetValue,0x470218
kernel32.dll,LocalAlloc,0x47021c
kernel32.dll,GetModuleHandleA,0x470220
advapi32.dll,RegQueryValueExA,0x470228
advapi32.dll,RegOpenKeyExA,0x47022c
advapi32.dll,RegCloseKey,0x470230
kernel32.dll,lstrcpyA,0x470238
kernel32.dll,WriteFile,0x47023c
kernel32.dll,WinExec,0x470240
kernel32.dll,WaitForSingleObject,0x470244
kernel32.dll,VirtualQuery,0x470248
kernel32.dll,VirtualAlloc,0x47024c
kernel32.dll,Sleep,0x470250
kernel32.dll,SizeofResource,0x470254
kernel32.dll,SetThreadLocale,0x470258
kernel32.dll,SetFilePointer,0x47025c
kernel32.dll,SetEvent,0x470260
kernel32.dll,SetErrorMode,0x470264
kernel32.dll,SetEndOfFile,0x470268
kernel32.dll,ResetEvent,0x47026c
kernel32.dll,ReadFile,0x470270
kernel32.dll,MulDiv,0x470274
kernel32.dll,LockResource,0x470278
kernel32.dll,LoadResource,0x47027c
kernel32.dll,LoadLibraryA,0x470280
kernel32.dll,LeaveCriticalSection,0x470284
kernel32.dll,InitializeCriticalSection,0x470288
kernel32.dll,GlobalUnlock,0x47028c
kernel32.dll,GlobalSize,0x470290
kernel32.dll,GlobalReAlloc,0x470294
kernel32.dll,GlobalHandle,0x470298
kernel32.dll,GlobalLock,0x47029c
kernel32.dll,GlobalFree,0x4702a0
kernel32.dll,GlobalFindAtomA,0x4702a4
kernel32.dll,GlobalDeleteAtom,0x4702a8
kernel32.dll,GlobalAlloc,0x4702ac
kernel32.dll,GlobalAddAtomA,0x4702b0
kernel32.dll,GetVersionExA,0x4702b4
kernel32.dll,GetVersion,0x4702b8
kernel32.dll,GetTickCount,0x4702bc
kernel32.dll,GetThreadLocale,0x4702c0
kernel32.dll,GetSystemInfo,0x4702c4
kernel32.dll,GetStringTypeExA,0x4702c8
kernel32.dll,GetStdHandle,0x4702cc
kernel32.dll,GetProfileStringA,0x4702d0
kernel32.dll,GetProcAddress,0x4702d4
kernel32.dll,GetModuleHandleA,0x4702d8
kernel32.dll,GetModuleFileNameA,0x4702dc
kernel32.dll,GetLocaleInfoA,0x4702e0
kernel32.dll,GetLocalTime,0x4702e4
kernel32.dll,GetLastError,0x4702e8
kernel32.dll,GetFullPathNameA,0x4702ec
kernel32.dll,GetDiskFreeSpaceA,0x4702f0
kernel32.dll,GetDateFormatA,0x4702f4
kernel32.dll,GetCurrentThreadId,0x4702f8
kernel32.dll,GetCurrentProcessId,0x4702fc
kernel32.dll,GetCPInfo,0x470300
kernel32.dll,GetACP,0x470304
kernel32.dll,FreeResource,0x470308
kernel32.dll,InterlockedExchange,0x47030c
kernel32.dll,FreeLibrary,0x470310
kernel32.dll,FormatMessageA,0x470314
kernel32.dll,FindResourceA,0x470318
kernel32.dll,EnumCalendarInfoA,0x47031c
kernel32.dll,EnterCriticalSection,0x470320
kernel32.dll,DeleteCriticalSection,0x470324
kernel32.dll,CreateThread,0x470328
kernel32.dll,CreateFileA,0x47032c
kernel32.dll,CreateEventA,0x470330
kernel32.dll,CompareStringA,0x470334
kernel32.dll,CloseHandle,0x470338
version.dll,VerQueryValueA,0x470340
version.dll,GetFileVersionInfoSizeA,0x470344
version.dll,GetFileVersionInfoA,0x470348
gdi32.dll,UnrealizeObject,0x470350
gdi32.dll,StretchBlt,0x470354
gdi32.dll,SetWindowOrgEx,0x470358
gdi32.dll,SetWinMetaFileBits,0x47035c
gdi32.dll,SetViewportOrgEx,0x470360
gdi32.dll,SetTextColor,0x470364
gdi32.dll,SetStretchBltMode,0x470368
gdi32.dll,SetROP2,0x47036c
gdi32.dll,SetPixel,0x470370
gdi32.dll,SetGraphicsMode,0x470374
gdi32.dll,SetEnhMetaFileBits,0x470378
gdi32.dll,SetDIBColorTable,0x47037c
gdi32.dll,SetBrushOrgEx,0x470380
gdi32.dll,SetBkMode,0x470384
gdi32.dll,SetBkColor,0x470388
gdi32.dll,SelectPalette,0x47038c
gdi32.dll,SelectObject,0x470390
gdi32.dll,SelectClipRgn,0x470394
gdi32.dll,ScaleWindowExtEx,0x470398
gdi32.dll,SaveDC,0x47039c
gdi32.dll,RestoreDC,0x4703a0
gdi32.dll,Rectangle,0x4703a4
gdi32.dll,RectVisible,0x4703a8
gdi32.dll,RealizePalette,0x4703ac
gdi32.dll,Polyline,0x4703b0
gdi32.dll,PlayEnhMetaFile,0x4703b4
gdi32.dll,PatBlt,0x4703b8
gdi32.dll,MoveToEx,0x4703bc
gdi32.dll,MaskBlt,0x4703c0
gdi32.dll,LineTo,0x4703c4
gdi32.dll,IntersectClipRect,0x4703c8
gdi32.dll,GetWindowOrgEx,0x4703cc
gdi32.dll,GetWinMetaFileBits,0x4703d0
gdi32.dll,GetTextMetricsA,0x4703d4
gdi32.dll,GetTextExtentPoint32A,0x4703d8
gdi32.dll,GetSystemPaletteEntries,0x4703dc
gdi32.dll,GetStockObject,0x4703e0
gdi32.dll,GetPixel,0x4703e4
gdi32.dll,GetPaletteEntries,0x4703e8
gdi32.dll,GetObjectA,0x4703ec
gdi32.dll,GetEnhMetaFilePaletteEntries,0x4703f0
gdi32.dll,GetEnhMetaFileHeader,0x4703f4
gdi32.dll,GetEnhMetaFileBits,0x4703f8
gdi32.dll,GetDeviceCaps,0x4703fc
gdi32.dll,GetDIBits,0x470400
gdi32.dll,GetDIBColorTable,0x470404
gdi32.dll,GetDCOrgEx,0x470408
gdi32.dll,GetCurrentPositionEx,0x47040c
gdi32.dll,GetClipRgn,0x470410
gdi32.dll,GetClipBox,0x470414
gdi32.dll,GetBrushOrgEx,0x470418
gdi32.dll,GetBitmapBits,0x47041c
gdi32.dll,ExcludeClipRect,0x470420
gdi32.dll,EndPage,0x470424
gdi32.dll,EndDoc,0x470428
gdi32.dll,DeleteObject,0x47042c
gdi32.dll,DeleteEnhMetaFile,0x470430
gdi32.dll,DeleteDC,0x470434
gdi32.dll,CreateSolidBrush,0x470438
gdi32.dll,CreateRectRgn,0x47043c
gdi32.dll,CreatePenIndirect,0x470440
gdi32.dll,CreatePalette,0x470444
gdi32.dll,CreateICA,0x470448
gdi32.dll,CreateHalftonePalette,0x47044c
gdi32.dll,CreateFontIndirectA,0x470450
