dll,name,address
KERNEL32.dll,CloseHandle,0x402040
KERNEL32.dll,CreateToolhelp32Snapshot,0x402044
KERNEL32.dll,Process32NextW,0x402048
KERNEL32.dll,WaitForSingleObject,0x40204c
KERNEL32.dll,Process32FirstW,0x402050
KERNEL32.dll,SetLastError,0x402054
KERNEL32.dll,GetLastError,0x402058
KERNEL32.dll,SetThreadPriority,0x40205c
KERNEL32.dll,lstrcmpW,0x402060
KERNEL32.dll,GetModuleFileNameW,0x402064
KERNEL32.dll,Sleep,0x402068
KERNEL32.dll,OpenProcess,0x40206c
KERNEL32.dll,GetCurrentThread,0x402070
KERNEL32.dll,ExitProcess,0x402074
KERNEL32.dll,lstrcpyA,0x402078
KERNEL32.dll,HeapAlloc,0x40207c
KERNEL32.dll,GetProcessHeap,0x402080
KERNEL32.dll,lstrlenA,0x402084
KERNEL32.dll,GetCommandLineA,0x402088
KERNEL32.dll,IsProcessorFeaturePresent,0x40208c
ADVAPI32.dll,OpenServiceW,0x402000
ADVAPI32.dll,RegCloseKey,0x402004
ADVAPI32.dll,RegisterServiceCtrlHandlerW,0x402008
ADVAPI32.dll,SetServiceStatus,0x40200c
ADVAPI32.dll,ChangeServiceConfigW,0x402010
ADVAPI32.dll,DuplicateTokenEx,0x402014
ADVAPI32.dll,ChangeServiceConfig2W,0x402018
ADVAPI32.dll,RegOpenKeyW,0x40201c
ADVAPI32.dll,CreateProcessAsUserW,0x402020
ADVAPI32.dll,RegQueryValueExW,0x402024
ADVAPI32.dll,StartServiceCtrlDispatcherW,0x402028
ADVAPI32.dll,OpenSCManagerW,0x40202c
ADVAPI32.dll,OpenProcessToken,0x402030
ADVAPI32.dll,CloseServiceHandle,0x402034
ADVAPI32.dll,CreateServiceW,0x402038
