dll,name,address
KERNEL32.dll,GetShortPathNameA,0x402008
KERNEL32.dll,GetModuleFileNameA,0x40200c
KERNEL32.dll,GetEnvironmentVariableA,0x402010
KERNEL32.dll,CloseHandle,0x402014
KERNEL32.dll,WriteFile,0x402018
KERNEL32.dll,CreateFileA,0x40201c
KERNEL32.dll,SizeofResource,0x402020
KERNEL32.dll,lstrcpyA,0x402024
KERNEL32.dll,LoadResource,0x402028
KERNEL32.dll,FindResourceA,0x40202c
KERNEL32.dll,GetModuleHandleA,0x402030
KERNEL32.dll,WaitForSingleObject,0x402034
KERNEL32.dll,CreateProcessA,0x402038
KERNEL32.dll,Sleep,0x40203c
KERNEL32.dll,GetWindowsDirectoryA,0x402040
KERNEL32.dll,LockResource,0x402044
KERNEL32.dll,lstrcatA,0x402048
ADVAPI32.dll,GetUserNameA,0x402000
SHELL32.dll,ShellExecuteA,0x402088
MSVCRT.dll,_adjust_fdiv,0x402050
MSVCRT.dll,_exit,0x402054
MSVCRT.dll,_XcptFilter,0x402058
MSVCRT.dll,exit,0x40205c
MSVCRT.dll,__p___initenv,0x402060
MSVCRT.dll,__getmainargs,0x402064
MSVCRT.dll,_initterm,0x402068
MSVCRT.dll,__setusermatherr,0x40206c
MSVCRT.dll,__p__commode,0x402070
MSVCRT.dll,__p__fmode,0x402074
MSVCRT.dll,__set_app_type,0x402078
MSVCRT.dll,_except_handler3,0x40207c
MSVCRT.dll,_controlfp,0x402080
