dll,name,address
MSVCRT.dll,calloc,0x10006054
MSVCRT.dll,_strlwr,0x10006058
MSVCRT.dll,realloc,0x1000605c
MSVCRT.dll,_mbsnbicmp,0x10006060
MSVCRT.dll,??2@YAPAXI@Z,0x10006064
MSVCRT.dll,strrchr,0x10006068
MSVCRT.dll,free,0x1000606c
MSVCRT.dll,_adjust_fdiv,0x10006070
MSVCRT.dll,malloc,0x10006074
MSVCRT.dll,_initterm,0x10006078
MSVCRT.dll,??3@YAXPAX@Z,0x1000607c
KERNEL32.dll,GetCurrentProcessId,0x10006000
KERNEL32.dll,ProcessIdToSessionId,0x10006004
KERNEL32.dll,GetModuleFileNameA,0x10006008
KERNEL32.dll,GetSystemDirectoryA,0x1000600c
KERNEL32.dll,lstrcatA,0x10006010
KERNEL32.dll,LoadLibraryA,0x10006014
KERNEL32.dll,ExitProcess,0x10006018
KERNEL32.dll,GetProcAddress,0x1000601c
KERNEL32.dll,FreeLibrary,0x10006020
KERNEL32.dll,HeapFree,0x10006024
KERNEL32.dll,IsBadReadPtr,0x10006028
KERNEL32.dll,VirtualFree,0x1000602c
KERNEL32.dll,VirtualProtect,0x10006030
KERNEL32.dll,CloseHandle,0x10006034
KERNEL32.dll,Process32Next,0x10006038
KERNEL32.dll,Process32First,0x1000603c
KERNEL32.dll,CreateToolhelp32Snapshot,0x10006040
KERNEL32.dll,HeapAlloc,0x10006044
KERNEL32.dll,GetProcessHeap,0x10006048
KERNEL32.dll,VirtualAlloc,0x1000604c
USER32.dll,MessageBoxA,0x10006084
USER32.dll,wsprintfA,0x10006088
