dll,name,address
KERNEL32.dll,HeapSetInformation,0x442000
USER32.dll,PostThreadMessageA,0x442008
ADVAPI32.dll,FreeSid,0x442010
SHELL32.dll,ShellExecuteExA,0x442018
imagehlp.dll,MakeSureDirectoryPathExists,0x442020
VERSION.dll,GetFileVersionInfoSizeA,0x442028
KERNEL32.dll,GetModuleFileNameW,0x442030
KERNEL32.dll,GetModuleHandleA,0x442038
KERNEL32.dll,LoadLibraryA,0x44203c
KERNEL32.dll,LocalAlloc,0x442040
KERNEL32.dll,LocalFree,0x442044
KERNEL32.dll,GetModuleFileNameA,0x442048
KERNEL32.dll,ExitProcess,0x44204c
