dll,name,address
KERNEL32.dll,HeapFree,0x41c0c8
KERNEL32.dll,HeapCreate,0x41c0cc
KERNEL32.dll,SetLastError,0x41c0d0
KERNEL32.dll,InitializeCriticalSection,0x41c0d4
KERNEL32.dll,LeaveCriticalSection,0x41c0d8
KERNEL32.dll,EnterCriticalSection,0x41c0dc
KERNEL32.dll,DeleteCriticalSection,0x41c0e0
KERNEL32.dll,FindVolumeClose,0x41c0e4
KERNEL32.dll,GetVersionExW,0x41c0e8
KERNEL32.dll,FindNextVolumeW,0x41c0ec
KERNEL32.dll,GetDiskFreeSpaceExW,0x41c0f0
KERNEL32.dll,FindFirstVolumeW,0x41c0f4
KERNEL32.dll,IsBadReadPtr,0x41c0f8
KERNEL32.dll,LocalAlloc,0x41c0fc
KERNEL32.dll,LocalFree,0x41c100
KERNEL32.dll,CreateNamedPipeW,0x41c104
KERNEL32.dll,GetCommandLineW,0x41c108
KERNEL32.dll,GetCurrentThreadId,0x41c10c
KERNEL32.dll,SetCurrentDirectoryW,0x41c110
KERNEL32.dll,CreateMutexW,0x41c114
KERNEL32.dll,ReadDirectoryChangesW,0x41c118
KERNEL32.dll,CreateFileMappingW,0x41c11c
KERNEL32.dll,CreateEventW,0x41c120
KERNEL32.dll,WaitForMultipleObjects,0x41c124
KERNEL32.dll,ReleaseMutex,0x41c128
KERNEL32.dll,GetFileSize,0x41c12c
KERNEL32.dll,MapViewOfFile,0x41c130
KERNEL32.dll,UnmapViewOfFile,0x41c134
KERNEL32.dll,GlobalLock,0x41c138
KERNEL32.dll,GlobalUnlock,0x41c13c
KERNEL32.dll,GetDriveTypeW,0x41c140
KERNEL32.dll,GetVolumePathNamesForVolumeNameW,0x41c144
KERNEL32.dll,FileTimeToSystemTime,0x41c148
KERNEL32.dll,FindNextVolumeMountPointW,0x41c14c
KERNEL32.dll,GetCurrentDirectoryW,0x41c150
KERNEL32.dll,FindVolumeMountPointClose,0x41c154
KERNEL32.dll,FindFirstVolumeMountPointW,0x41c158
KERNEL32.dll,GetOEMCP,0x41c15c
KERNEL32.dll,FileTimeToLocalFileTime,0x41c160
KERNEL32.dll,GetVolumeNameForVolumeMountPointW,0x41c164
KERNEL32.dll,ExpandEnvironmentStringsW,0x41c168
KERNEL32.dll,HeapAlloc,0x41c16c
KERNEL32.dll,RtlUnwind,0x41c170
KERNEL32.dll,TerminateProcess,0x41c174
KERNEL32.dll,IsDebuggerPresent,0x41c178
KERNEL32.dll,UnhandledExceptionFilter,0x41c17c
KERNEL32.dll,GetSystemTimeAsFileTime,0x41c180
KERNEL32.dll,GetCurrentProcessId,0x41c184
KERNEL32.dll,QueryPerformanceCounter,0x41c188
KERNEL32.dll,GetFileType,0x41c18c
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x41c190
KERNEL32.dll,SetHandleCount,0x41c194
KERNEL32.dll,GetEnvironmentStringsW,0x41c198
KERNEL32.dll,WideCharToMultiByte,0x41c19c
KERNEL32.dll,FreeEnvironmentStringsW,0x41c1a0
KERNEL32.dll,GetModuleFileNameA,0x41c1a4
