dll,name,address
KERNEL32.dll,CloseHandle,0x10005000
KERNEL32.dll,CreateProcessA,0x10005004
KERNEL32.dll,WaitForSingleObject,0x10005008
KERNEL32.dll,CreateEventA,0x1000500c
KERNEL32.dll,DeleteFileA,0x10005010
KERNEL32.dll,GetTempFileNameA,0x10005014
KERNEL32.dll,GetSystemDirectoryA,0x10005018
KERNEL32.dll,Sleep,0x1000501c
KERNEL32.dll,TerminateProcess,0x10005020
KERNEL32.dll,CreateThread,0x10005024
KERNEL32.dll,GetCurrentProcess,0x10005028
KERNEL32.dll,ExitThread,0x1000502c
KERNEL32.dll,WriteFile,0x10005030
KERNEL32.dll,LoadLibraryA,0x10005034
KERNEL32.dll,GetProcAddress,0x10005038
KERNEL32.dll,GetOEMCP,0x1000503c
KERNEL32.dll,GetACP,0x10005040
KERNEL32.dll,LCMapStringW,0x10005044
KERNEL32.dll,LCMapStringA,0x10005048
KERNEL32.dll,GetLastError,0x1000504c
KERNEL32.dll,ResumeThread,0x10005050
KERNEL32.dll,TlsSetValue,0x10005054
KERNEL32.dll,HeapFree,0x10005058
KERNEL32.dll,HeapAlloc,0x1000505c
KERNEL32.dll,GetCommandLineA,0x10005060
KERNEL32.dll,GetVersion,0x10005064
KERNEL32.dll,GetCurrentThreadId,0x10005068
KERNEL32.dll,TlsAlloc,0x1000506c
KERNEL32.dll,TlsFree,0x10005070
KERNEL32.dll,SetLastError,0x10005074
KERNEL32.dll,TlsGetValue,0x10005078
KERNEL32.dll,ExitProcess,0x1000507c
KERNEL32.dll,UnhandledExceptionFilter,0x10005080
KERNEL32.dll,RtlUnwind,0x10005084
KERNEL32.dll,HeapDestroy,0x10005088
KERNEL32.dll,HeapCreate,0x1000508c
KERNEL32.dll,VirtualFree,0x10005090
KERNEL32.dll,InitializeCriticalSection,0x10005094
KERNEL32.dll,DeleteCriticalSection,0x10005098
KERNEL32.dll,EnterCriticalSection,0x1000509c
KERNEL32.dll,LeaveCriticalSection,0x100050a0
KERNEL32.dll,VirtualAlloc,0x100050a4
KERNEL32.dll,HeapReAlloc,0x100050a8
KERNEL32.dll,SetHandleCount,0x100050ac
KERNEL32.dll,GetStdHandle,0x100050b0
KERNEL32.dll,GetFileType,0x100050b4
KERNEL32.dll,GetStartupInfoA,0x100050b8
KERNEL32.dll,GetModuleFileNameA,0x100050bc
KERNEL32.dll,FreeEnvironmentStringsA,0x100050c0
KERNEL32.dll,FreeEnvironmentStringsW,0x100050c4
KERNEL32.dll,WideCharToMultiByte,0x100050c8
KERNEL32.dll,GetEnvironmentStrings,0x100050cc
KERNEL32.dll,GetEnvironmentStringsW,0x100050d0
KERNEL32.dll,MultiByteToWideChar,0x100050d4
KERNEL32.dll,GetStringTypeA,0x100050d8
KERNEL32.dll,GetStringTypeW,0x100050dc
KERNEL32.dll,GetCPInfo,0x100050e0
WININET.dll,InternetReadFile,0x100050e8
WININET.dll,InternetCloseHandle,0x100050ec
WININET.dll,InternetOpenUrlA,0x100050f0
WININET.dll,InternetOpenA,0x100050f4
WININET.dll,InternetGetConnectedState,0x100050f8
urlmon.dll,URLDownloadToFileA,0x10005108
WS2_32.dll,WSAStartup,0x10005100
