dll,name,address
KERNEL32.DLL,LoadLibraryA,0x436458
KERNEL32.DLL,GetProcAddress,0x43645c
KERNEL32.DLL,VirtualProtect,0x436460
KERNEL32.DLL,VirtualAlloc,0x436464
KERNEL32.DLL,VirtualFree,0x436468
KERNEL32.DLL,ExitProcess,0x43646c
ADVAPI32.dll,FreeSid,0x436474
CRYPT32.dll,CertOpenStore,0x43647c
ole32.dll,CoInitialize,0x436484
OLEAUT32.dll,SafeArrayPutElement,0x43648c
RPCRT4.dll,UuidCreate,0x436494
Secur32.dll,GetComputerObjectNameW,0x43649c
SHELL32.dll,SHGetFolderPathW,0x4364a4
USER32.dll,wsprintfW,0x4364ac
WININET.dll,InternetSetOptionW,0x4364b4
WS2_32.dll,ioctlsocket,0x4364bc
WTSAPI32.dll,WTSFreeMemory,0x4364c4
