dll,name,address
KERNEL32.dll,WaitForDebugEvent,0x403010
KERNEL32.dll,DebugActiveProcess,0x403014
KERNEL32.dll,OpenProcess,0x403018
KERNEL32.dll,GetProcAddress,0x40301c
KERNEL32.dll,GetLastError,0x403020
KERNEL32.dll,LoadLibraryA,0x403024
KERNEL32.dll,CreateMutexA,0x403028
KERNEL32.dll,LocalFree,0x40302c
KERNEL32.dll,FormatMessageA,0x403030
KERNEL32.dll,GetCurrentProcess,0x403034
KERNEL32.dll,DebugSetProcessKillOnExit,0x403038
KERNEL32.dll,Process32First,0x40303c
KERNEL32.dll,CreateToolhelp32Snapshot,0x403040
KERNEL32.dll,ReadProcessMemory,0x403044
KERNEL32.dll,VirtualProtectEx,0x403048
KERNEL32.dll,VirtualQueryEx,0x40304c
KERNEL32.dll,WriteProcessMemory,0x403050
KERNEL32.dll,SetThreadContext,0x403054
KERNEL32.dll,GetThreadContext,0x403058
KERNEL32.dll,OpenThread,0x40305c
KERNEL32.dll,GetModuleHandleA,0x403060
KERNEL32.dll,ContinueDebugEvent,0x403064
KERNEL32.dll,FreeLibrary,0x403068
KERNEL32.dll,Process32Next,0x40306c
KERNEL32.dll,CloseHandle,0x403070
KERNEL32.dll,GetStartupInfoA,0x403074
MSVCRT.dll,sprintf,0x40307c
MSVCRT.dll,vsprintf,0x403080
MSVCRT.dll,sscanf,0x403084
MSVCRT.dll,memcmp,0x403088
MSVCRT.dll,_strcmpi,0x40308c
MSVCRT.dll,_exit,0x403090
MSVCRT.dll,_XcptFilter,0x403094
MSVCRT.dll,exit,0x403098
MSVCRT.dll,_acmdln,0x40309c
MSVCRT.dll,__getmainargs,0x4030a0
MSVCRT.dll,_initterm,0x4030a4
MSVCRT.dll,__setusermatherr,0x4030a8
MSVCRT.dll,_adjust_fdiv,0x4030ac
MSVCRT.dll,__p__commode,0x4030b0
MSVCRT.dll,__p__fmode,0x4030b4
MSVCRT.dll,__set_app_type,0x4030b8
MSVCRT.dll,_except_handler3,0x4030bc
MSVCRT.dll,_controlfp,0x4030c0
MSVCRT.dll,memcpy,0x4030c4
MSVCRT.dll,strlen,0x4030c8
MSVCRT.dll,strstr,0x4030cc
MSVCRT.dll,memset,0x4030d0
MSVCRT.dll,atoi,0x4030d4
MSVCRT.dll,strcat,0x4030d8
ADVAPI32.dll,AdjustTokenPrivileges,0x403000
ADVAPI32.dll,OpenProcessToken,0x403004
ADVAPI32.dll,LookupPrivilegeValueA,0x403008
