dll,name,address
WSOCK32.dll,WSACleanup,0x48f7c8
WSOCK32.dll,socket,0x48f7cc
WSOCK32.dll,inet_ntoa,0x48f7d0
WSOCK32.dll,setsockopt,0x48f7d4
WSOCK32.dll,ntohs,0x48f7d8
WSOCK32.dll,recvfrom,0x48f7dc
WSOCK32.dll,ioctlsocket,0x48f7e0
WSOCK32.dll,htons,0x48f7e4
WSOCK32.dll,WSAStartup,0x48f7e8
WSOCK32.dll,__WSAFDIsSet,0x48f7ec
WSOCK32.dll,select,0x48f7f0
WSOCK32.dll,accept,0x48f7f4
WSOCK32.dll,listen,0x48f7f8
WSOCK32.dll,bind,0x48f7fc
WSOCK32.dll,closesocket,0x48f800
WSOCK32.dll,WSAGetLastError,0x48f804
WSOCK32.dll,recv,0x48f808
WSOCK32.dll,sendto,0x48f80c
WSOCK32.dll,send,0x48f810
WSOCK32.dll,inet_addr,0x48f814
WSOCK32.dll,gethostbyname,0x48f818
WSOCK32.dll,gethostname,0x48f81c
WSOCK32.dll,connect,0x48f820
VERSION.dll,GetFileVersionInfoW,0x48f76c
VERSION.dll,GetFileVersionInfoSizeW,0x48f770
VERSION.dll,VerQueryValueW,0x48f774
WINMM.dll,timeGetTime,0x48f7b8
WINMM.dll,waveOutSetVolume,0x48f7bc
WINMM.dll,mciSendStringW,0x48f7c0
COMCTL32.dll,ImageList_ReplaceIcon,0x48f088
COMCTL32.dll,ImageList_Destroy,0x48f08c
COMCTL32.dll,ImageList_Remove,0x48f090
COMCTL32.dll,ImageList_SetDragCursorImage,0x48f094
COMCTL32.dll,ImageList_BeginDrag,0x48f098
COMCTL32.dll,ImageList_DragEnter,0x48f09c
COMCTL32.dll,ImageList_DragLeave,0x48f0a0
COMCTL32.dll,ImageList_EndDrag,0x48f0a4
COMCTL32.dll,ImageList_DragMove,0x48f0a8
COMCTL32.dll,InitCommonControlsEx,0x48f0ac
COMCTL32.dll,ImageList_Create,0x48f0b0
MPR.dll,WNetUseConnectionW,0x48f3f8
MPR.dll,WNetCancelConnection2W,0x48f3fc
MPR.dll,WNetGetConnectionW,0x48f400
MPR.dll,WNetAddConnection2W,0x48f404
WININET.dll,InternetQueryDataAvailable,0x48f77c
WININET.dll,InternetCloseHandle,0x48f780
WININET.dll,InternetOpenW,0x48f784
WININET.dll,InternetSetOptionW,0x48f788
WININET.dll,InternetCrackUrlW,0x48f78c
WININET.dll,HttpQueryInfoW,0x48f790
WININET.dll,InternetQueryOptionW,0x48f794
WININET.dll,HttpOpenRequestW,0x48f798
WININET.dll,HttpSendRequestW,0x48f79c
WININET.dll,FtpOpenFileW,0x48f7a0
WININET.dll,FtpGetFileSize,0x48f7a4
WININET.dll,InternetOpenUrlW,0x48f7a8
WININET.dll,InternetReadFile,0x48f7ac
WININET.dll,InternetConnectW,0x48f7b0
PSAPI.DLL,GetProcessMemoryInfo,0x48f484
IPHLPAPI.DLL,IcmpCreateFile,0x48f154
IPHLPAPI.DLL,IcmpCloseHandle,0x48f158
IPHLPAPI.DLL,IcmpSendEcho,0x48f15c
USERENV.dll,DestroyEnvironmentBlock,0x48f750
USERENV.dll,UnloadUserProfile,0x48f754
USERENV.dll,CreateEnvironmentBlock,0x48f758
USERENV.dll,LoadUserProfileW,0x48f75c
UxTheme.dll,IsThemeActive,0x48f764
KERNEL32.dll,DuplicateHandle,0x48f164
KERNEL32.dll,CreateThread,0x48f168
KERNEL32.dll,WaitForSingleObject,0x48f16c
KERNEL32.dll,HeapAlloc,0x48f170
KERNEL32.dll,GetProcessHeap,0x48f174
KERNEL32.dll,HeapFree,0x48f178
KERNEL32.dll,Sleep,0x48f17c
KERNEL32.dll,GetCurrentThreadId,0x48f180
KERNEL32.dll,MultiByteToWideChar,0x48f184
KERNEL32.dll,MulDiv,0x48f188
KERNEL32.dll,GetVersionExW,0x48f18c
KERNEL32.dll,IsWow64Process,0x48f190
KERNEL32.dll,GetSystemInfo,0x48f194
KERNEL32.dll,FreeLibrary,0x48f198
KERNEL32.dll,LoadLibraryA,0x48f19c
KERNEL32.dll,GetProcAddress,0x48f1a0
KERNEL32.dll,SetErrorMode,0x48f1a4
KERNEL32.dll,GetModuleFileNameW,0x48f1a8
