dll,name,address
kernel32.dll,DeleteCriticalSection,0x46312c
kernel32.dll,LeaveCriticalSection,0x463130
kernel32.dll,EnterCriticalSection,0x463134
kernel32.dll,InitializeCriticalSection,0x463138
kernel32.dll,VirtualFree,0x46313c
kernel32.dll,VirtualAlloc,0x463140
kernel32.dll,LocalFree,0x463144
kernel32.dll,LocalAlloc,0x463148
kernel32.dll,GetVersion,0x46314c
kernel32.dll,GetCurrentThreadId,0x463150
kernel32.dll,InterlockedDecrement,0x463154
kernel32.dll,InterlockedIncrement,0x463158
kernel32.dll,VirtualQuery,0x46315c
kernel32.dll,WideCharToMultiByte,0x463160
kernel32.dll,MultiByteToWideChar,0x463164
kernel32.dll,lstrlenA,0x463168
kernel32.dll,lstrcpynA,0x46316c
kernel32.dll,LoadLibraryExA,0x463170
kernel32.dll,GetThreadLocale,0x463174
kernel32.dll,GetStartupInfoA,0x463178
kernel32.dll,GetProcAddress,0x46317c
kernel32.dll,GetModuleHandleA,0x463180
kernel32.dll,GetModuleFileNameA,0x463184
kernel32.dll,GetLocaleInfoA,0x463188
kernel32.dll,GetCommandLineA,0x46318c
kernel32.dll,FreeLibrary,0x463190
kernel32.dll,FindFirstFileA,0x463194
kernel32.dll,FindClose,0x463198
kernel32.dll,ExitProcess,0x46319c
kernel32.dll,WriteFile,0x4631a0
kernel32.dll,UnhandledExceptionFilter,0x4631a4
kernel32.dll,RtlUnwind,0x4631a8
kernel32.dll,RaiseException,0x4631ac
kernel32.dll,GetStdHandle,0x4631b0
user32.dll,GetKeyboardType,0x4631b8
user32.dll,LoadStringA,0x4631bc
user32.dll,MessageBoxA,0x4631c0
user32.dll,CharNextA,0x4631c4
advapi32.dll,RegQueryValueExA,0x4631cc
advapi32.dll,RegOpenKeyExA,0x4631d0
advapi32.dll,RegCloseKey,0x4631d4
oleaut32.dll,SysFreeString,0x4631dc
oleaut32.dll,SysReAllocStringLen,0x4631e0
oleaut32.dll,SysAllocStringLen,0x4631e4
kernel32.dll,TlsSetValue,0x4631ec
kernel32.dll,TlsGetValue,0x4631f0
kernel32.dll,LocalAlloc,0x4631f4
kernel32.dll,GetModuleHandleA,0x4631f8
advapi32.dll,RegQueryValueExA,0x463200
advapi32.dll,RegOpenKeyExA,0x463204
advapi32.dll,RegCloseKey,0x463208
kernel32.dll,lstrcpyA,0x463210
kernel32.dll,WriteFile,0x463214
kernel32.dll,WaitForSingleObject,0x463218
kernel32.dll,VirtualQuery,0x46321c
kernel32.dll,VirtualProtect,0x463220
kernel32.dll,VirtualAlloc,0x463224
kernel32.dll,SleepEx,0x463228
kernel32.dll,Sleep,0x46322c
kernel32.dll,SizeofResource,0x463230
kernel32.dll,SetThreadLocale,0x463234
kernel32.dll,SetFilePointer,0x463238
kernel32.dll,SetEvent,0x46323c
kernel32.dll,SetErrorMode,0x463240
kernel32.dll,SetEndOfFile,0x463244
kernel32.dll,ResetEvent,0x463248
kernel32.dll,ReadFile,0x46324c
kernel32.dll,MulDiv,0x463250
kernel32.dll,LockResource,0x463254
kernel32.dll,LoadResource,0x463258
kernel32.dll,LoadLibraryA,0x46325c
kernel32.dll,LeaveCriticalSection,0x463260
kernel32.dll,InitializeCriticalSection,0x463264
kernel32.dll,GlobalUnlock,0x463268
kernel32.dll,GlobalReAlloc,0x46326c
kernel32.dll,GlobalHandle,0x463270
kernel32.dll,GlobalLock,0x463274
kernel32.dll,GlobalFree,0x463278
kernel32.dll,GlobalFindAtomA,0x46327c
kernel32.dll,GlobalDeleteAtom,0x463280
kernel32.dll,GlobalAlloc,0x463284
kernel32.dll,GlobalAddAtomA,0x463288
kernel32.dll,GetVersionExA,0x46328c
kernel32.dll,GetVersion,0x463290
kernel32.dll,GetTickCount,0x463294
kernel32.dll,GetThreadLocale,0x463298
kernel32.dll,GetSystemInfo,0x46329c
kernel32.dll,GetStringTypeExA,0x4632a0
kernel32.dll,GetStdHandle,0x4632a4
kernel32.dll,GetProcAddress,0x4632a8
kernel32.dll,GetModuleHandleA,0x4632ac
kernel32.dll,GetModuleFileNameA,0x4632b0
kernel32.dll,GetLocaleInfoA,0x4632b4
kernel32.dll,GetLocalTime,0x4632b8
kernel32.dll,GetLastError,0x4632bc
kernel32.dll,GetFullPathNameA,0x4632c0
kernel32.dll,GetDiskFreeSpaceA,0x4632c4
kernel32.dll,GetDateFormatA,0x4632c8
kernel32.dll,GetCurrentThreadId,0x4632cc
kernel32.dll,GetCurrentProcessId,0x4632d0
kernel32.dll,GetCPInfo,0x4632d4
kernel32.dll,GetACP,0x4632d8
kernel32.dll,FreeResource,0x4632dc
kernel32.dll,InterlockedExchange,0x4632e0
kernel32.dll,FreeLibrary,0x4632e4
kernel32.dll,FormatMessageA,0x4632e8
kernel32.dll,FindResourceA,0x4632ec
kernel32.dll,EnumCalendarInfoA,0x4632f0
kernel32.dll,EnterCriticalSection,0x4632f4
kernel32.dll,DeleteCriticalSection,0x4632f8
kernel32.dll,CreateThread,0x4632fc
kernel32.dll,CreateFileA,0x463300
kernel32.dll,CreateEventA,0x463304
kernel32.dll,CompareStringA,0x463308
kernel32.dll,CloseHandle,0x46330c
version.dll,VerQueryValueA,0x463314
version.dll,GetFileVersionInfoSizeA,0x463318
version.dll,GetFileVersionInfoA,0x46331c
gdi32.dll,UnrealizeObject,0x463324
gdi32.dll,StretchBlt,0x463328
gdi32.dll,SetWindowOrgEx,0x46332c
gdi32.dll,SetWinMetaFileBits,0x463330
gdi32.dll,SetViewportOrgEx,0x463334
gdi32.dll,SetTextColor,0x463338
gdi32.dll,SetStretchBltMode,0x46333c
gdi32.dll,SetROP2,0x463340
gdi32.dll,SetPixel,0x463344
gdi32.dll,SetEnhMetaFileBits,0x463348
gdi32.dll,SetDIBColorTable,0x46334c
gdi32.dll,SetBrushOrgEx,0x463350
gdi32.dll,SetBkMode,0x463354
gdi32.dll,SetBkColor,0x463358
gdi32.dll,SelectPalette,0x46335c
gdi32.dll,SelectObject,0x463360
gdi32.dll,SelectClipRgn,0x463364
gdi32.dll,SaveDC,0x463368
gdi32.dll,RestoreDC,0x46336c
gdi32.dll,Rectangle,0x463370
gdi32.dll,RectVisible,0x463374
gdi32.dll,RealizePalette,0x463378
gdi32.dll,PlayEnhMetaFile,0x46337c
gdi32.dll,PatBlt,0x463380
gdi32.dll,MoveToEx,0x463384
gdi32.dll,MaskBlt,0x463388
gdi32.dll,LineTo,0x46338c
gdi32.dll,IntersectClipRect,0x463390
gdi32.dll,GetWindowOrgEx,0x463394
gdi32.dll,GetWinMetaFileBits,0x463398
gdi32.dll,GetTextMetricsA,0x46339c
gdi32.dll,GetTextExtentPoint32A,0x4633a0
gdi32.dll,GetSystemPaletteEntries,0x4633a4
gdi32.dll,GetStockObject,0x4633a8
gdi32.dll,GetPixel,0x4633ac
gdi32.dll,GetPaletteEntries,0x4633b0
gdi32.dll,GetObjectA,0x4633b4
gdi32.dll,GetEnhMetaFilePaletteEntries,0x4633b8
gdi32.dll,GetEnhMetaFileHeader,0x4633bc
gdi32.dll,GetEnhMetaFileBits,0x4633c0
gdi32.dll,GetDeviceCaps,0x4633c4
gdi32.dll,GetDIBits,0x4633c8
gdi32.dll,GetDIBColorTable,0x4633cc
gdi32.dll,GetDCOrgEx,0x4633d0
gdi32.dll,GetCurrentPositionEx,0x4633d4
gdi32.dll,GetClipBox,0x4633d8
gdi32.dll,GetBrushOrgEx,0x4633dc
gdi32.dll,GetBitmapBits,0x4633e0
gdi32.dll,ExcludeClipRect,0x4633e4
gdi32.dll,DeleteObject,0x4633e8
gdi32.dll,DeleteEnhMetaFile,0x4633ec
gdi32.dll,DeleteDC,0x4633f0
gdi32.dll,CreateSolidBrush,0x4633f4
gdi32.dll,CreatePenIndirect,0x4633f8
gdi32.dll,CreatePalette,0x4633fc
gdi32.dll,CreateHalftonePalette,0x463400
gdi32.dll,CreateFontIndirectA,0x463404
gdi32.dll,CreateDIBitmap,0x463408
gdi32.dll,CreateDIBSection,0x46340c
gdi32.dll,CreateCompatibleDC,0x463410
gdi32.dll,CreateCompatibleBitmap,0x463414
gdi32.dll,CreateBrushIndirect,0x463418
gdi32.dll,CreateBitmap,0x46341c
gdi32.dll,CopyEnhMetaFileA,0x463420
gdi32.dll,BitBlt,0x463424
user32.dll,CreateWindowExA,0x46342c
user32.dll,WindowFromPoint,0x463430
user32.dll,WinHelpA,0x463434
user32.dll,WaitMessage,0x463438
user32.dll,UpdateWindow,0x46343c
user32.dll,UnregisterClassA,0x463440
user32.dll,UnhookWindowsHookEx,0x463444
user32.dll,TranslateMessage,0x463448
user32.dll,TranslateMDISysAccel,0x46344c
user32.dll,TrackPopupMenu,0x463450
user32.dll,SystemParametersInfoA,0x463454
user32.dll,ShowWindow,0x463458
user32.dll,ShowScrollBar,0x46345c
user32.dll,ShowOwnedPopups,0x463460
user32.dll,ShowCursor,0x463464
user32.dll,SetWindowsHookExA,0x463468
user32.dll,SetWindowTextA,0x46346c
user32.dll,SetWindowPos,0x463470
user32.dll,SetWindowPlacement,0x463474
