dll,name,address
COMCTL32.DLL,ImageList_Destroy,0x391000
GDI32.DLL,SetTextAlign,0x391008
KERNEL32.DLL,GetVersionExA,0x391010
KERNEL32.DLL,DeleteFileA,0x391014
OLE32.DLL,CoUninitialize,0x39101c
OLEAUT32.DLL,SysFreeString,0x391024
USER32.DLL,TranslateAcceleratorW,0x39102c
WS2_32.DLL,WSACleanup,0x391034
KERNEL32.DLL,GetModuleFileNameW,0x39103c
KERNEL32.DLL,GetModuleHandleA,0x391044
KERNEL32.DLL,LoadLibraryA,0x391048
KERNEL32.DLL,LocalAlloc,0x39104c
KERNEL32.DLL,LocalFree,0x391050
KERNEL32.DLL,GetModuleFileNameA,0x391054
KERNEL32.DLL,ExitProcess,0x391058
