dll,name,address
PSAPI.DLL,GetModuleInformation,0x18002d2e0
Secur32.dll,LsaFreeReturnBuffer,0x18002d2f0
Secur32.dll,LsaEnumerateLogonSessions,0x18002d2f8
Secur32.dll,LsaGetLogonSessionData,0x18002d300
ADVAPI32.dll,LsaOpenPolicy,0x18002d000
ADVAPI32.dll,RegCloseKey,0x18002d008
ADVAPI32.dll,RegEnumKeyExW,0x18002d010
ADVAPI32.dll,RegOpenKeyExW,0x18002d018
ADVAPI32.dll,RegQueryInfoKeyW,0x18002d020
ADVAPI32.dll,LsaFreeMemory,0x18002d028
ADVAPI32.dll,LsaClose,0x18002d030
ADVAPI32.dll,LsaQueryInformationPolicy,0x18002d038
KERNEL32.dll,GetConsoleMode,0x18002d048
KERNEL32.dll,LoadLibraryW,0x18002d050
KERNEL32.dll,SetStdHandle,0x18002d058
KERNEL32.dll,WriteConsoleW,0x18002d060
KERNEL32.dll,FlsSetValue,0x18002d068
KERNEL32.dll,GetConsoleCP,0x18002d070
KERNEL32.dll,SetFilePointer,0x18002d078
KERNEL32.dll,HeapReAlloc,0x18002d080
KERNEL32.dll,IsValidLocale,0x18002d088
KERNEL32.dll,Sleep,0x18002d090
KERNEL32.dll,FreeLibraryAndExitThread,0x18002d098
KERNEL32.dll,GetProcAddress,0x18002d0a0
KERNEL32.dll,CloseHandle,0x18002d0a8
KERNEL32.dll,CreateThread,0x18002d0b0
KERNEL32.dll,WaitNamedPipeW,0x18002d0b8
KERNEL32.dll,WriteFile,0x18002d0c0
KERNEL32.dll,ReadFile,0x18002d0c8
KERNEL32.dll,CreateFileW,0x18002d0d0
KERNEL32.dll,DisconnectNamedPipe,0x18002d0d8
KERNEL32.dll,FlushFileBuffers,0x18002d0e0
KERNEL32.dll,GetLastError,0x18002d0e8
KERNEL32.dll,SetNamedPipeHandleState,0x18002d0f0
KERNEL32.dll,GetModuleHandleW,0x18002d0f8
KERNEL32.dll,GetVersionExW,0x18002d100
KERNEL32.dll,LocalFree,0x18002d108
KERNEL32.dll,FileTimeToSystemTime,0x18002d110
KERNEL32.dll,GetCurrentProcess,0x18002d118
KERNEL32.dll,WideCharToMultiByte,0x18002d120
KERNEL32.dll,MultiByteToWideChar,0x18002d128
KERNEL32.dll,GetStringTypeW,0x18002d130
KERNEL32.dll,EncodePointer,0x18002d138
KERNEL32.dll,DecodePointer,0x18002d140
KERNEL32.dll,InitializeCriticalSection,0x18002d148
KERNEL32.dll,DeleteCriticalSection,0x18002d150
KERNEL32.dll,EnterCriticalSection,0x18002d158
KERNEL32.dll,LeaveCriticalSection,0x18002d160
KERNEL32.dll,HeapFree,0x18002d168
KERNEL32.dll,GetCurrentThreadId,0x18002d170
KERNEL32.dll,GetCommandLineA,0x18002d178
KERNEL32.dll,RaiseException,0x18002d180
KERNEL32.dll,RtlPcToFileHeader,0x18002d188
KERNEL32.dll,GetCPInfo,0x18002d190
KERNEL32.dll,RtlLookupFunctionEntry,0x18002d198
KERNEL32.dll,RtlUnwindEx,0x18002d1a0
KERNEL32.dll,HeapAlloc,0x18002d1a8
KERNEL32.dll,LCMapStringW,0x18002d1b0
KERNEL32.dll,TerminateProcess,0x18002d1b8
KERNEL32.dll,UnhandledExceptionFilter,0x18002d1c0
KERNEL32.dll,SetUnhandledExceptionFilter,0x18002d1c8
KERNEL32.dll,IsDebuggerPresent,0x18002d1d0
KERNEL32.dll,RtlVirtualUnwind,0x18002d1d8
KERNEL32.dll,RtlCaptureContext,0x18002d1e0
KERNEL32.dll,HeapSetInformation,0x18002d1e8
KERNEL32.dll,GetVersion,0x18002d1f0
KERNEL32.dll,HeapCreate,0x18002d1f8
KERNEL32.dll,HeapDestroy,0x18002d200
KERNEL32.dll,FlsGetValue,0x18002d208
KERNEL32.dll,FlsFree,0x18002d210
KERNEL32.dll,SetLastError,0x18002d218
KERNEL32.dll,FlsAlloc,0x18002d220
KERNEL32.dll,GetACP,0x18002d228
KERNEL32.dll,GetOEMCP,0x18002d230
KERNEL32.dll,IsValidCodePage,0x18002d238
KERNEL32.dll,ExitProcess,0x18002d240
KERNEL32.dll,SetHandleCount,0x18002d248
KERNEL32.dll,GetStdHandle,0x18002d250
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x18002d258
KERNEL32.dll,GetFileType,0x18002d260
KERNEL32.dll,GetStartupInfoW,0x18002d268
KERNEL32.dll,GetModuleFileNameA,0x18002d270
KERNEL32.dll,FreeEnvironmentStringsW,0x18002d278
KERNEL32.dll,GetEnvironmentStringsW,0x18002d280
KERNEL32.dll,QueryPerformanceCounter,0x18002d288
KERNEL32.dll,GetTickCount,0x18002d290
KERNEL32.dll,GetCurrentProcessId,0x18002d298
KERNEL32.dll,GetSystemTimeAsFileTime,0x18002d2a0
KERNEL32.dll,GetLocaleInfoW,0x18002d2a8
KERNEL32.dll,GetModuleFileNameW,0x18002d2b0
KERNEL32.dll,HeapSize,0x18002d2b8
KERNEL32.dll,GetUserDefaultLCID,0x18002d2c0
KERNEL32.dll,GetLocaleInfoA,0x18002d2c8
KERNEL32.dll,EnumSystemLocalesA,0x18002d2d0
