dll,name,address
KERNEL32.dll,OutputDebugStringA,0x402010
KERNEL32.dll,GetModuleFileNameA,0x402014
KERNEL32.dll,GetTempPathA,0x402018
KERNEL32.dll,GetStartupInfoA,0x40201c
KERNEL32.dll,GetModuleHandleA,0x402020
KERNEL32.dll,Sleep,0x402024
KERNEL32.dll,LoadLibraryA,0x402028
KERNEL32.dll,GetComputerNameA,0x40202c
KERNEL32.dll,GetProcAddress,0x402030
USER32.dll,LoadStringA,0x40209c
ADVAPI32.dll,RegSetValueExA,0x402000
ADVAPI32.dll,RegCloseKey,0x402004
ADVAPI32.dll,RegOpenKeyExA,0x402008
MSVCRT.dll,strchr,0x402038
MSVCRT.dll,strrchr,0x40203c
MSVCRT.dll,sprintf,0x402040
MSVCRT.dll,fclose,0x402044
MSVCRT.dll,fwrite,0x402048
MSVCRT.dll,fflush,0x40204c
MSVCRT.dll,fopen,0x402050
MSVCRT.dll,atoi,0x402054
MSVCRT.dll,malloc,0x402058
MSVCRT.dll,strstr,0x40205c
MSVCRT.dll,_exit,0x402060
MSVCRT.dll,_XcptFilter,0x402064
MSVCRT.dll,exit,0x402068
MSVCRT.dll,_acmdln,0x40206c
MSVCRT.dll,__getmainargs,0x402070
MSVCRT.dll,_initterm,0x402074
MSVCRT.dll,__setusermatherr,0x402078
MSVCRT.dll,_adjust_fdiv,0x40207c
MSVCRT.dll,__p__commode,0x402080
MSVCRT.dll,__p__fmode,0x402084
MSVCRT.dll,__set_app_type,0x402088
MSVCRT.dll,_except_handler3,0x40208c
MSVCRT.dll,_controlfp,0x402090
MSVCRT.dll,_stricmp,0x402094
WININET.dll,InternetOpenUrlA,0x4020a4
WININET.dll,HttpQueryInfoA,0x4020a8
WININET.dll,InternetReadFile,0x4020ac
WININET.dll,InternetOpenA,0x4020b0
WININET.dll,InternetCloseHandle,0x4020b4
