dll,name,address
KERNEL32.dll,GetLastError,0x10003034
KERNEL32.dll,lstrlenA,0x10003038
KERNEL32.dll,GetLongPathNameA,0x1000303c
KERNEL32.dll,OutputDebugStringA,0x10003040
KERNEL32.dll,GetCurrentDirectoryA,0x10003044
KERNEL32.dll,CreatePipe,0x10003048
KERNEL32.dll,GetStartupInfoA,0x1000304c
KERNEL32.dll,CreateProcessA,0x10003050
KERNEL32.dll,CloseHandle,0x10003054
KERNEL32.dll,ReadFile,0x10003058
KERNEL32.dll,CreateThread,0x1000305c
KERNEL32.dll,GetSystemTime,0x10003060
KERNEL32.dll,WaitForSingleObject,0x10003064
KERNEL32.dll,TerminateThread,0x10003068
KERNEL32.dll,Sleep,0x1000306c
KERNEL32.dll,SetLastError,0x10003070
KERNEL32.dll,GetModuleFileNameA,0x10003074
ADVAPI32.dll,OpenServiceA,0x10003000
ADVAPI32.dll,DeleteService,0x10003004
ADVAPI32.dll,RegOpenKeyExA,0x10003008
ADVAPI32.dll,RegQueryValueExA,0x1000300c
ADVAPI32.dll,RegCloseKey,0x10003010
ADVAPI32.dll,OpenSCManagerA,0x10003014
ADVAPI32.dll,CreateServiceA,0x10003018
ADVAPI32.dll,CloseServiceHandle,0x1000301c
ADVAPI32.dll,RegCreateKeyA,0x10003020
ADVAPI32.dll,RegSetValueExA,0x10003024
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x10003028
ADVAPI32.dll,SetServiceStatus,0x1000302c
WS2_32.dll,inet_addr,0x10003118
WS2_32.dll,WSASocketA,0x1000311c
WS2_32.dll,closesocket,0x10003120
WS2_32.dll,connect,0x10003124
WS2_32.dll,ioctlsocket,0x10003128
WS2_32.dll,send,0x1000312c
WS2_32.dll,select,0x10003130
WS2_32.dll,__WSAFDIsSet,0x10003134
WS2_32.dll,recv,0x10003138
WS2_32.dll,shutdown,0x1000313c
WS2_32.dll,WSAStartup,0x10003140
WS2_32.dll,gethostname,0x10003144
WS2_32.dll,WSACleanup,0x10003148
WS2_32.dll,htons,0x1000314c
WININET.dll,InternetOpenA,0x100030f8
WININET.dll,InternetConnectA,0x100030fc
WININET.dll,InternetCloseHandle,0x10003100
WININET.dll,HttpOpenRequestA,0x10003104
WININET.dll,HttpSendRequestA,0x10003108
WININET.dll,HttpQueryInfoA,0x1000310c
WININET.dll,InternetReadFile,0x10003110
MSVCRT.dll,_chdir,0x1000307c
MSVCRT.dll,_strnicmp,0x10003080
MSVCRT.dll,_adjust_fdiv,0x10003084
MSVCRT.dll,malloc,0x10003088
MSVCRT.dll,_initterm,0x1000308c
MSVCRT.dll,free,0x10003090
MSVCRT.dll,??1type_info@@UAE@XZ,0x10003094
MSVCRT.dll,_except_handler3,0x10003098
MSVCRT.dll,_CxxThrowException,0x1000309c
MSVCRT.dll,_stricmp,0x100030a0
MSVCRT.dll,__CxxFrameHandler,0x100030a4
MSVCRT.dll,strchr,0x100030a8
MSVCRT.dll,atol,0x100030ac
MSVCRT.dll,fopen,0x100030b0
MSVCRT.dll,fwrite,0x100030b4
MSVCRT.dll,fflush,0x100030b8
MSVCRT.dll,fclose,0x100030bc
MSVCRT.dll,??3@YAXPAX@Z,0x100030c0
MSVCRT.dll,??2@YAPAXI@Z,0x100030c4
MSVCRT.dll,_itoa,0x100030c8
MSVCRT.dll,memset,0x100030cc
MSVCRT.dll,wcstombs,0x100030d0
MSVCRT.dll,strncpy,0x100030d4
MSVCRT.dll,strcat,0x100030d8
MSVCRT.dll,strcpy,0x100030dc
MSVCRT.dll,atoi,0x100030e0
MSVCRT.dll,strlen,0x100030e4
MSVCRT.dll,sscanf,0x100030e8
MSVCRT.dll,strncat,0x100030ec
MSVCRT.dll,strstr,0x100030f0
