dll,name,address
SHLWAPI.dll,PathStripPathW,0x1007a2f8
SHLWAPI.dll,StrToIntExA,0x1007a2fc
SHLWAPI.dll,StrStrIW,0x1007a300
SHLWAPI.dll,PathQuoteSpacesW,0x1007a304
SHLWAPI.dll,StrCmpW,0x1007a308
SHLWAPI.dll,PathFileExistsW,0x1007a30c
SHLWAPI.dll,StrStrW,0x1007a310
SHLWAPI.dll,PathRemoveFileSpecW,0x1007a314
SHLWAPI.dll,StrToIntW,0x1007a318
SHLWAPI.dll,StrToIntA,0x1007a31c
SHLWAPI.dll,PathAddBackslashW,0x1007a320
PSAPI.DLL,GetModuleFileNameExW,0x1007a2e0
KERNEL32.dll,SetFilePointer,0x1007a09c
KERNEL32.dll,GetModuleHandleW,0x1007a0a0
KERNEL32.dll,WriteFile,0x1007a0a4
KERNEL32.dll,CreateFileW,0x1007a0a8
KERNEL32.dll,FindFirstFileW,0x1007a0ac
KERNEL32.dll,VirtualFree,0x1007a0b0
KERNEL32.dll,TerminateThread,0x1007a0b4
KERNEL32.dll,GetExitCodeProcess,0x1007a0b8
KERNEL32.dll,VirtualAlloc,0x1007a0bc
KERNEL32.dll,FindClose,0x1007a0c0
KERNEL32.dll,OpenEventW,0x1007a0c4
KERNEL32.dll,DeleteFileW,0x1007a0c8
KERNEL32.dll,CreateThread,0x1007a0cc
KERNEL32.dll,LoadLibraryA,0x1007a0d0
KERNEL32.dll,HeapReAlloc,0x1007a0d4
KERNEL32.dll,DeleteFileA,0x1007a0d8
KERNEL32.dll,GetTempPathA,0x1007a0dc
KERNEL32.dll,CloseHandle,0x1007a0e0
KERNEL32.dll,GetCurrentThreadId,0x1007a0e4
KERNEL32.dll,GetCurrentDirectoryA,0x1007a0e8
KERNEL32.dll,GetTempFileNameA,0x1007a0ec
KERNEL32.dll,GetLastError,0x1007a0f0
KERNEL32.dll,ReadFile,0x1007a0f4
KERNEL32.dll,InterlockedIncrement,0x1007a0f8
KERNEL32.dll,GetFileSize,0x1007a0fc
KERNEL32.dll,CreateFileA,0x1007a100
KERNEL32.dll,FileTimeToDosDateTime,0x1007a104
KERNEL32.dll,ExpandEnvironmentStringsW,0x1007a108
KERNEL32.dll,lstrlenA,0x1007a10c
KERNEL32.dll,SetUnhandledExceptionFilter,0x1007a110
KERNEL32.dll,SetErrorMode,0x1007a114
KERNEL32.dll,CreateMutexW,0x1007a118
KERNEL32.dll,LocalFree,0x1007a11c
KERNEL32.dll,lstrlenW,0x1007a120
KERNEL32.dll,lstrcmpW,0x1007a124
KERNEL32.dll,ReleaseMutex,0x1007a128
KERNEL32.dll,SetCurrentDirectoryW,0x1007a12c
KERNEL32.dll,GetProcAddress,0x1007a130
KERNEL32.dll,GetCurrentDirectoryW,0x1007a134
KERNEL32.dll,MultiByteToWideChar,0x1007a138
KERNEL32.dll,GetModuleFileNameW,0x1007a13c
KERNEL32.dll,LoadLibraryW,0x1007a140
KERNEL32.dll,OpenProcess,0x1007a144
KERNEL32.dll,GetSystemTimeAsFileTime,0x1007a148
KERNEL32.dll,WaitForSingleObject,0x1007a14c
KERNEL32.dll,CreateProcessW,0x1007a150
KERNEL32.dll,FreeLibrary,0x1007a154
