dll,name,address
kernel32.dll,CreateFileA,0x41804c
kernel32.dll,ReadFile,0x418050
kernel32.dll,CloseHandle,0x418054
kernel32.dll,WriteFile,0x418058
kernel32.dll,lstrlenA,0x41805c
kernel32.dll,GlobalLock,0x418060
kernel32.dll,GlobalUnlock,0x418064
kernel32.dll,LocalFree,0x418068
kernel32.dll,LocalAlloc,0x41806c
kernel32.dll,GetTickCount,0x418070
kernel32.dll,lstrcpyA,0x418074
kernel32.dll,lstrcatA,0x418078
kernel32.dll,GetFileAttributesA,0x41807c
kernel32.dll,ExpandEnvironmentStringsA,0x418080
kernel32.dll,GetFileSize,0x418084
kernel32.dll,CreateFileMappingA,0x418088
kernel32.dll,MapViewOfFile,0x41808c
kernel32.dll,UnmapViewOfFile,0x418090
kernel32.dll,LoadLibraryA,0x418094
kernel32.dll,GetProcAddress,0x418098
kernel32.dll,GetTempPathA,0x41809c
kernel32.dll,CreateDirectoryA,0x4180a0
kernel32.dll,DeleteFileA,0x4180a4
kernel32.dll,GetCurrentProcess,0x4180a8
kernel32.dll,WideCharToMultiByte,0x4180ac
kernel32.dll,GetLastError,0x4180b0
kernel32.dll,lstrcmpA,0x4180b4
kernel32.dll,CreateToolhelp32Snapshot,0x4180b8
kernel32.dll,Process32First,0x4180bc
kernel32.dll,OpenProcess,0x4180c0
kernel32.dll,Process32Next,0x4180c4
kernel32.dll,FindFirstFileA,0x4180c8
kernel32.dll,lstrcmpiA,0x4180cc
kernel32.dll,FindNextFileA,0x4180d0
kernel32.dll,FindClose,0x4180d4
kernel32.dll,GetModuleHandleA,0x4180d8
kernel32.dll,GetVersionExA,0x4180dc
kernel32.dll,GetLocaleInfoA,0x4180e0
kernel32.dll,GetSystemInfo,0x4180e4
kernel32.dll,GetWindowsDirectoryA,0x4180e8
kernel32.dll,GetPrivateProfileStringA,0x4180ec
kernel32.dll,SetCurrentDirectoryA,0x4180f0
kernel32.dll,GetPrivateProfileSectionNamesA,0x4180f4
kernel32.dll,GetPrivateProfileIntA,0x4180f8
kernel32.dll,GetCurrentDirectoryA,0x4180fc
kernel32.dll,lstrlenW,0x418100
kernel32.dll,MultiByteToWideChar,0x418104
kernel32.dll,Sleep,0x418108
kernel32.dll,GetModuleFileNameA,0x41810c
kernel32.dll,LCMapStringA,0x418110
kernel32.dll,ExitProcess,0x418114
kernel32.dll,SetUnhandledExceptionFilter,0x418118
ole32.dll,CreateStreamOnHGlobal,0x418120
ole32.dll,GetHGlobalFromStream,0x418124
ole32.dll,CoCreateGuid,0x418128
ole32.dll,CoTaskMemFree,0x41812c
ole32.dll,CoCreateInstance,0x418130
ole32.dll,OleInitialize,0x418134
user32.dll,wsprintfA,0x41813c
advapi32.dll,RegOpenKeyExA,0x418144
advapi32.dll,RegQueryValueExA,0x418148
advapi32.dll,RegCloseKey,0x41814c
advapi32.dll,RegOpenKeyA,0x418150
advapi32.dll,RegEnumKeyExA,0x418154
advapi32.dll,RegCreateKeyA,0x418158
advapi32.dll,RegSetValueExA,0x41815c
advapi32.dll,IsTextUnicode,0x418160
advapi32.dll,RegOpenCurrentUser,0x418164
advapi32.dll,RegEnumValueA,0x418168
advapi32.dll,GetUserNameA,0x41816c
wininet.dll,InternetCrackUrlA,0x418174
wininet.dll,InternetCreateUrlA,0x418178
shlwapi.dll,StrStrIA,0x418180
shlwapi.dll,StrRChrIA,0x418184
shlwapi.dll,StrToIntA,0x418188
shlwapi.dll,StrStrA,0x41818c
shlwapi.dll,StrCmpNIA,0x418190
shlwapi.dll,StrStrIW,0x418194
wsock32.dll,inet_addr,0x41819c
wsock32.dll,gethostbyname,0x4181a0
wsock32.dll,socket,0x4181a4
wsock32.dll,connect,0x4181a8
wsock32.dll,closesocket,0x4181ac
wsock32.dll,send,0x4181b0
wsock32.dll,select,0x4181b4
wsock32.dll,recv,0x4181b8
wsock32.dll,setsockopt,0x4181bc
wsock32.dll,WSAStartup,0x4181c0
userenv.dll,LoadUserProfileA,0x4181c8
userenv.dll,UnloadUserProfile,0x4181cc
