dll,name,address
USER32.dll,EndPaint,0x423138
USER32.dll,DestroyWindow,0x42313c
USER32.dll,GetMessageA,0x423140
USER32.dll,RegisterClassExA,0x423144
USER32.dll,PostQuitMessage,0x423148
USER32.dll,LoadStringA,0x42314c
USER32.dll,LoadIconA,0x423150
USER32.dll,BeginPaint,0x423154
USER32.dll,TranslateMessage,0x423158
USER32.dll,TranslateAcceleratorA,0x42315c
USER32.dll,EndDialog,0x423160
USER32.dll,DefWindowProcA,0x423164
USER32.dll,LoadAcceleratorsA,0x423168
USER32.dll,DispatchMessageA,0x42316c
USER32.dll,LoadCursorA,0x423170
USER32.dll,DialogBoxParamA,0x423174
KERNEL32.dll,TlsGetValue,0x423000
KERNEL32.dll,SetStdHandle,0x423004
KERNEL32.dll,WriteConsoleW,0x423008
KERNEL32.dll,CloseHandle,0x42300c
KERNEL32.dll,SetFilePointer,0x423010
KERNEL32.dll,ReadFile,0x423014
KERNEL32.dll,FlushFileBuffers,0x423018
KERNEL32.dll,GetConsoleMode,0x42301c
KERNEL32.dll,GetConsoleCP,0x423020
KERNEL32.dll,InitializeCriticalSection,0x423024
KERNEL32.dll,IsValidLocale,0x423028
KERNEL32.dll,EnumSystemLocalesA,0x42302c
KERNEL32.dll,GetLocaleInfoA,0x423030
KERNEL32.dll,GetUserDefaultLCID,0x423034
KERNEL32.dll,GetStringTypeW,0x423038
KERNEL32.dll,MultiByteToWideChar,0x42303c
KERNEL32.dll,GetCommandLineA,0x423040
KERNEL32.dll,HeapSetInformation,0x423044
KERNEL32.dll,GetStartupInfoW,0x423048
KERNEL32.dll,DecodePointer,0x42304c
KERNEL32.dll,EncodePointer,0x423050
KERNEL32.dll,TerminateProcess,0x423054
KERNEL32.dll,GetCurrentProcess,0x423058
KERNEL32.dll,UnhandledExceptionFilter,0x42305c
KERNEL32.dll,SetUnhandledExceptionFilter,0x423060
KERNEL32.dll,IsDebuggerPresent,0x423064
KERNEL32.dll,HeapAlloc,0x423068
KERNEL32.dll,GetLastError,0x42306c
KERNEL32.dll,HeapFree,0x423070
KERNEL32.dll,IsProcessorFeaturePresent,0x423074
KERNEL32.dll,RaiseException,0x423078
KERNEL32.dll,GetProcAddress,0x42307c
KERNEL32.dll,GetModuleHandleW,0x423080
KERNEL32.dll,ExitProcess,0x423084
KERNEL32.dll,WriteFile,0x423088
KERNEL32.dll,GetStdHandle,0x42308c
KERNEL32.dll,GetModuleFileNameW,0x423090
KERNEL32.dll,GetModuleFileNameA,0x423094
KERNEL32.dll,FreeEnvironmentStringsW,0x423098
KERNEL32.dll,WideCharToMultiByte,0x42309c
KERNEL32.dll,GetEnvironmentStringsW,0x4230a0
KERNEL32.dll,SetHandleCount,0x4230a4
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x4230a8
KERNEL32.dll,GetFileType,0x4230ac
KERNEL32.dll,DeleteCriticalSection,0x4230b0
KERNEL32.dll,TlsAlloc,0x4230b4
KERNEL32.dll,CreateFileW,0x4230b8
KERNEL32.dll,TlsSetValue,0x4230bc
KERNEL32.dll,TlsFree,0x4230c0
KERNEL32.dll,InterlockedIncrement,0x4230c4
KERNEL32.dll,SetLastError,0x4230c8
KERNEL32.dll,GetCurrentThreadId,0x4230cc
KERNEL32.dll,InterlockedDecrement,0x4230d0
KERNEL32.dll,GetCurrentThread,0x4230d4
KERNEL32.dll,HeapCreate,0x4230d8
KERNEL32.dll,HeapDestroy,0x4230dc
KERNEL32.dll,QueryPerformanceCounter,0x4230e0
KERNEL32.dll,GetTickCount,0x4230e4
KERNEL32.dll,GetCurrentProcessId,0x4230e8
KERNEL32.dll,GetSystemTimeAsFileTime,0x4230ec
KERNEL32.dll,SetConsoleCtrlHandler,0x4230f0
KERNEL32.dll,GetLocaleInfoW,0x4230f4
KERNEL32.dll,LeaveCriticalSection,0x4230f8
KERNEL32.dll,FatalAppExitA,0x4230fc
KERNEL32.dll,EnterCriticalSection,0x423100
KERNEL32.dll,RtlUnwind,0x423104
KERNEL32.dll,Sleep,0x423108
KERNEL32.dll,HeapSize,0x42310c
KERNEL32.dll,FreeLibrary,0x423110
KERNEL32.dll,InterlockedExchange,0x423114
KERNEL32.dll,LoadLibraryW,0x423118
KERNEL32.dll,GetCPInfo,0x42311c
KERNEL32.dll,GetACP,0x423120
KERNEL32.dll,GetOEMCP,0x423124
KERNEL32.dll,IsValidCodePage,0x423128
KERNEL32.dll,HeapReAlloc,0x42312c
KERNEL32.dll,LCMapStringW,0x423130
