dll,name,address
kernel32.dll,DeleteCriticalSection,0x496154
kernel32.dll,LeaveCriticalSection,0x496158
kernel32.dll,EnterCriticalSection,0x49615c
kernel32.dll,InitializeCriticalSection,0x496160
kernel32.dll,VirtualFree,0x496164
kernel32.dll,VirtualAlloc,0x496168
kernel32.dll,LocalFree,0x49616c
kernel32.dll,LocalAlloc,0x496170
kernel32.dll,GetVersion,0x496174
kernel32.dll,GetCurrentThreadId,0x496178
kernel32.dll,InterlockedDecrement,0x49617c
kernel32.dll,InterlockedIncrement,0x496180
kernel32.dll,VirtualQuery,0x496184
kernel32.dll,WideCharToMultiByte,0x496188
kernel32.dll,MultiByteToWideChar,0x49618c
kernel32.dll,lstrlenA,0x496190
kernel32.dll,lstrcpynA,0x496194
kernel32.dll,LoadLibraryExA,0x496198
kernel32.dll,GetThreadLocale,0x49619c
kernel32.dll,GetStartupInfoA,0x4961a0
kernel32.dll,GetProcAddress,0x4961a4
kernel32.dll,GetModuleHandleA,0x4961a8
kernel32.dll,GetModuleFileNameA,0x4961ac
kernel32.dll,GetLocaleInfoA,0x4961b0
kernel32.dll,GetCommandLineA,0x4961b4
kernel32.dll,FreeLibrary,0x4961b8
kernel32.dll,FindFirstFileA,0x4961bc
kernel32.dll,FindClose,0x4961c0
kernel32.dll,ExitProcess,0x4961c4
kernel32.dll,WriteFile,0x4961c8
kernel32.dll,UnhandledExceptionFilter,0x4961cc
kernel32.dll,RtlUnwind,0x4961d0
kernel32.dll,RaiseException,0x4961d4
kernel32.dll,GetStdHandle,0x4961d8
user32.dll,GetKeyboardType,0x4961e0
user32.dll,LoadStringA,0x4961e4
user32.dll,MessageBoxA,0x4961e8
user32.dll,CharNextA,0x4961ec
advapi32.dll,RegQueryValueExA,0x4961f4
advapi32.dll,RegOpenKeyExA,0x4961f8
advapi32.dll,RegCloseKey,0x4961fc
oleaut32.dll,SysFreeString,0x496204
oleaut32.dll,SysReAllocStringLen,0x496208
oleaut32.dll,SysAllocStringLen,0x49620c
kernel32.dll,TlsSetValue,0x496214
kernel32.dll,TlsGetValue,0x496218
kernel32.dll,LocalAlloc,0x49621c
kernel32.dll,GetModuleHandleA,0x496220
advapi32.dll,RegQueryValueExA,0x496228
advapi32.dll,RegOpenKeyExA,0x49622c
advapi32.dll,RegCloseKey,0x496230
kernel32.dll,lstrcpyA,0x496238
kernel32.dll,lstrcmpA,0x49623c
kernel32.dll,WriteFile,0x496240
kernel32.dll,WaitForSingleObject,0x496244
kernel32.dll,VirtualQuery,0x496248
kernel32.dll,VirtualAlloc,0x49624c
kernel32.dll,Sleep,0x496250
kernel32.dll,SizeofResource,0x496254
kernel32.dll,SetThreadLocale,0x496258
kernel32.dll,SetFilePointer,0x49625c
kernel32.dll,SetEvent,0x496260
kernel32.dll,SetErrorMode,0x496264
kernel32.dll,SetEndOfFile,0x496268
kernel32.dll,ResetEvent,0x49626c
kernel32.dll,ReadFile,0x496270
kernel32.dll,MulDiv,0x496274
kernel32.dll,LockResource,0x496278
kernel32.dll,LoadResource,0x49627c
