dll,name,address
KERNEL32.dll,PeekNamedPipe,0x41f01c
KERNEL32.dll,MapViewOfFile,0x41f020
KERNEL32.dll,UnmapViewOfFile,0x41f024
KERNEL32.dll,GetCurrentProcess,0x41f028
KERNEL32.dll,WaitForSingleObject,0x41f02c
KERNEL32.dll,TerminateThread,0x41f030
KERNEL32.dll,Sleep,0x41f034
KERNEL32.dll,CreateEventA,0x41f038
KERNEL32.dll,CreateProcessA,0x41f03c
KERNEL32.dll,TerminateProcess,0x41f040
KERNEL32.dll,GetSystemDirectoryA,0x41f044
KERNEL32.dll,MultiByteToWideChar,0x41f048
KERNEL32.dll,CloseHandle,0x41f04c
KERNEL32.dll,GetStartupInfoA,0x41f050
KERNEL32.dll,GetLastError,0x41f054
KERNEL32.dll,CopyFileA,0x41f058
KERNEL32.dll,CreateFileMappingA,0x41f05c
KERNEL32.dll,CreatePipe,0x41f060
KERNEL32.dll,GetModuleFileNameA,0x41f064
KERNEL32.dll,GetCurrentDirectoryA,0x41f068
KERNEL32.dll,GetVersionExA,0x41f06c
KERNEL32.dll,OpenProcess,0x41f070
KERNEL32.dll,WideCharToMultiByte,0x41f074
KERNEL32.dll,GetProcAddress,0x41f078
KERNEL32.dll,GetModuleHandleA,0x41f07c
KERNEL32.dll,ReadFile,0x41f080
KERNEL32.dll,WriteFile,0x41f084
KERNEL32.dll,GetFileSize,0x41f088
KERNEL32.dll,CreateFileA,0x41f08c
KERNEL32.dll,SetCurrentDirectoryA,0x41f090
KERNEL32.dll,GetProcessHeap,0x41f094
KERNEL32.dll,SetEndOfFile,0x41f098
KERNEL32.dll,GetLocaleInfoA,0x41f09c
KERNEL32.dll,GetStringTypeW,0x41f0a0
KERNEL32.dll,GetStringTypeA,0x41f0a4
KERNEL32.dll,LCMapStringW,0x41f0a8
KERNEL32.dll,LCMapStringA,0x41f0ac
KERNEL32.dll,LoadLibraryA,0x41f0b0
KERNEL32.dll,HeapSize,0x41f0b4
KERNEL32.dll,FlushFileBuffers,0x41f0b8
KERNEL32.dll,WriteConsoleW,0x41f0bc
KERNEL32.dll,GetConsoleOutputCP,0x41f0c0
KERNEL32.dll,WriteConsoleA,0x41f0c4
KERNEL32.dll,HeapFree,0x41f0c8
KERNEL32.dll,HeapAlloc,0x41f0cc
KERNEL32.dll,ExitThread,0x41f0d0
KERNEL32.dll,GetCurrentThreadId,0x41f0d4
KERNEL32.dll,CreateThread,0x41f0d8
KERNEL32.dll,UnhandledExceptionFilter,0x41f0dc
KERNEL32.dll,SetUnhandledExceptionFilter,0x41f0e0
KERNEL32.dll,IsDebuggerPresent,0x41f0e4
KERNEL32.dll,GetSystemTimeAsFileTime,0x41f0e8
KERNEL32.dll,HeapReAlloc,0x41f0ec
KERNEL32.dll,GetCommandLineA,0x41f0f0
KERNEL32.dll,SetStdHandle,0x41f0f4
KERNEL32.dll,EnterCriticalSection,0x41f0f8
KERNEL32.dll,LeaveCriticalSection,0x41f0fc
KERNEL32.dll,GetFileType,0x41f100
KERNEL32.dll,SetFilePointer,0x41f104
KERNEL32.dll,SetHandleCount,0x41f108
KERNEL32.dll,GetStdHandle,0x41f10c
KERNEL32.dll,DeleteCriticalSection,0x41f110
KERNEL32.dll,RtlUnwind,0x41f114
KERNEL32.dll,GetConsoleCP,0x41f118
KERNEL32.dll,GetConsoleMode,0x41f11c
KERNEL32.dll,RaiseException,0x41f120
KERNEL32.dll,HeapCreate,0x41f124
KERNEL32.dll,VirtualFree,0x41f128
KERNEL32.dll,VirtualAlloc,0x41f12c
KERNEL32.dll,GetModuleHandleW,0x41f130
KERNEL32.dll,ExitProcess,0x41f134
KERNEL32.dll,GetCPInfo,0x41f138
KERNEL32.dll,InterlockedIncrement,0x41f13c
KERNEL32.dll,InterlockedDecrement,0x41f140
KERNEL32.dll,GetACP,0x41f144
KERNEL32.dll,GetOEMCP,0x41f148
KERNEL32.dll,IsValidCodePage,0x41f14c
KERNEL32.dll,TlsGetValue,0x41f150
KERNEL32.dll,TlsAlloc,0x41f154
KERNEL32.dll,TlsSetValue,0x41f158
KERNEL32.dll,TlsFree,0x41f15c
KERNEL32.dll,SetLastError,0x41f160
KERNEL32.dll,FreeEnvironmentStringsA,0x41f164
KERNEL32.dll,GetEnvironmentStrings,0x41f168
KERNEL32.dll,FreeEnvironmentStringsW,0x41f16c
KERNEL32.dll,GetEnvironmentStringsW,0x41f170
KERNEL32.dll,QueryPerformanceCounter,0x41f174
KERNEL32.dll,GetTickCount,0x41f178
KERNEL32.dll,GetCurrentProcessId,0x41f17c
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x41f180
ADVAPI32.dll,GetTokenInformation,0x41f000
ADVAPI32.dll,AdjustTokenPrivileges,0x41f004
ADVAPI32.dll,LookupPrivilegeValueA,0x41f008
ADVAPI32.dll,CreateProcessWithLogonW,0x41f00c
ADVAPI32.dll,OpenProcessToken,0x41f010
ADVAPI32.dll,LookupAccountSidA,0x41f014
WININET.dll,DeleteUrlCacheEntry,0x41f188
WININET.dll,HttpSendRequestExA,0x41f18c
WININET.dll,HttpQueryInfoA,0x41f190
WININET.dll,InternetConnectA,0x41f194
WININET.dll,InternetQueryDataAvailable,0x41f198
WININET.dll,InternetReadFile,0x41f19c
WININET.dll,InternetSetOptionA,0x41f1a0
WININET.dll,InternetWriteFile,0x41f1a4
WININET.dll,InternetQueryOptionA,0x41f1a8
WININET.dll,InternetCloseHandle,0x41f1ac
WININET.dll,InternetOpenA,0x41f1b0
WININET.dll,HttpSendRequestA,0x41f1b4
WININET.dll,HttpAddRequestHeadersA,0x41f1b8
WININET.dll,HttpEndRequestA,0x41f1bc
WININET.dll,HttpOpenRequestA,0x41f1c0
WS2_32.dll,gethostbyname,0x41f1c8
WS2_32.dll,WSAGetLastError,0x41f1cc
WS2_32.dll,inet_addr,0x41f1d0
WS2_32.dll,WSAStartup,0x41f1d4
WS2_32.dll,inet_ntoa,0x41f1d8
WS2_32.dll,gethostname,0x41f1dc
urlmon.dll,URLDownloadToFileA,0x41f1e4
