dll,name,address
KERNEL32.dll,MultiByteToWideChar,0x43205c
KERNEL32.dll,WideCharToMultiByte,0x432060
KERNEL32.dll,CreateProcessW,0x432064
KERNEL32.dll,GetFileAttributesA,0x432068
KERNEL32.dll,GetSystemDefaultLangID,0x43206c
KERNEL32.dll,GetFileAttributesW,0x432070
KERNEL32.dll,CreateToolhelp32Snapshot,0x432074
KERNEL32.dll,Process32FirstW,0x432078
KERNEL32.dll,OpenProcess,0x43207c
KERNEL32.dll,TerminateProcess,0x432080
KERNEL32.dll,Process32NextW,0x432084
KERNEL32.dll,CreateThread,0x432088
KERNEL32.dll,ProcessIdToSessionId,0x43208c
KERNEL32.dll,GetProcAddress,0x432090
KERNEL32.dll,GetModuleHandleW,0x432094
KERNEL32.dll,GetCurrentProcess,0x432098
KERNEL32.dll,GlobalAlloc,0x43209c
KERNEL32.dll,DeviceIoControl,0x4320a0
KERNEL32.dll,GlobalFree,0x4320a4
KERNEL32.dll,GetVolumeInformationW,0x4320a8
KERNEL32.dll,CopyFileW,0x4320ac
KERNEL32.dll,SetEndOfFile,0x4320b0
KERNEL32.dll,WriteConsoleW,0x4320b4
KERNEL32.dll,WinExec,0x4320b8
KERNEL32.dll,DeleteFileW,0x4320bc
KERNEL32.dll,GetModuleFileNameW,0x4320c0
KERNEL32.dll,GetTempFileNameW,0x4320c4
KERNEL32.dll,GetEnvironmentVariableW,0x4320c8
KERNEL32.dll,GetVersionExW,0x4320cc
KERNEL32.dll,SetFileAttributesW,0x4320d0
KERNEL32.dll,FindClose,0x4320d4
KERNEL32.dll,SetFileTime,0x4320d8
KERNEL32.dll,CreateDirectoryW,0x4320dc
KERNEL32.dll,FindFirstFileW,0x4320e0
KERNEL32.dll,CloseHandle,0x4320e4
KERNEL32.dll,GetLastError,0x4320e8
KERNEL32.dll,CreateFileW,0x4320ec
KERNEL32.dll,ReadFile,0x4320f0
KERNEL32.dll,WriteFile,0x4320f4
KERNEL32.dll,SetFilePointer,0x4320f8
KERNEL32.dll,Sleep,0x4320fc
KERNEL32.dll,SetStdHandle,0x432100
KERNEL32.dll,LoadLibraryW,0x432104
KERNEL32.dll,OutputDebugStringW,0x432108
KERNEL32.dll,HeapReAlloc,0x43210c
KERNEL32.dll,FreeEnvironmentStringsW,0x432110
KERNEL32.dll,GetEnvironmentStringsW,0x432114
KERNEL32.dll,GetCurrentProcessId,0x432118
KERNEL32.dll,QueryPerformanceCounter,0x43211c
KERNEL32.dll,GetCurrentThreadId,0x432120
KERNEL32.dll,FlushFileBuffers,0x432124
KERNEL32.dll,GetOEMCP,0x432128
KERNEL32.dll,GetACP,0x43212c
KERNEL32.dll,IsValidCodePage,0x432130
KERNEL32.dll,LoadLibraryExW,0x432134
KERNEL32.dll,GetFileType,0x432138
KERNEL32.dll,SetFilePointerEx,0x43213c
KERNEL32.dll,GetConsoleCP,0x432140
KERNEL32.dll,ReadConsoleW,0x432144
KERNEL32.dll,GetConsoleMode,0x432148
KERNEL32.dll,GetProcessHeap,0x43214c
KERNEL32.dll,GetStdHandle,0x432150
KERNEL32.dll,HeapSize,0x432154
KERNEL32.dll,EnumSystemLocalesW,0x432158
KERNEL32.dll,GetUserDefaultLCID,0x43215c
KERNEL32.dll,IsValidLocale,0x432160
KERNEL32.dll,GetLocaleInfoW,0x432164
KERNEL32.dll,LCMapStringW,0x432168
KERNEL32.dll,GetStartupInfoW,0x43216c
KERNEL32.dll,TlsFree,0x432170
KERNEL32.dll,TlsSetValue,0x432174
KERNEL32.dll,TlsGetValue,0x432178
KERNEL32.dll,TlsAlloc,0x43217c
KERNEL32.dll,InterlockedIncrement,0x432180
KERNEL32.dll,InterlockedDecrement,0x432184
KERNEL32.dll,EnterCriticalSection,0x432188
KERNEL32.dll,LeaveCriticalSection,0x43218c
KERNEL32.dll,DeleteCriticalSection,0x432190
KERNEL32.dll,EncodePointer,0x432194
KERNEL32.dll,DecodePointer,0x432198
KERNEL32.dll,GetStringTypeW,0x43219c
KERNEL32.dll,HeapFree,0x4321a0
KERNEL32.dll,HeapAlloc,0x4321a4
KERNEL32.dll,ExitProcess,0x4321a8
KERNEL32.dll,GetModuleHandleExW,0x4321ac
KERNEL32.dll,AreFileApisANSI,0x4321b0
KERNEL32.dll,GetSystemTimeAsFileTime,0x4321b4
KERNEL32.dll,IsDebuggerPresent,0x4321b8
KERNEL32.dll,IsProcessorFeaturePresent,0x4321bc
KERNEL32.dll,GetCommandLineW,0x4321c0
KERNEL32.dll,RaiseException,0x4321c4
KERNEL32.dll,RtlUnwind,0x4321c8
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x4321cc
KERNEL32.dll,GetCPInfo,0x4321d0
KERNEL32.dll,UnhandledExceptionFilter,0x4321d4
KERNEL32.dll,SetUnhandledExceptionFilter,0x4321d8
KERNEL32.dll,SetLastError,0x4321dc
USER32.dll,wsprintfW,0x4321f0
ADVAPI32.dll,RegisterServiceCtrlHandlerW,0x432000
ADVAPI32.dll,SetServiceStatus,0x432004
ADVAPI32.dll,DeleteService,0x432008
ADVAPI32.dll,ControlService,0x43200c
ADVAPI32.dll,StartServiceW,0x432010
ADVAPI32.dll,QueryServiceStatus,0x432014
ADVAPI32.dll,OpenServiceW,0x432018
ADVAPI32.dll,CloseServiceHandle,0x43201c
ADVAPI32.dll,ChangeServiceConfig2W,0x432020
ADVAPI32.dll,CreateServiceW,0x432024
ADVAPI32.dll,OpenSCManagerW,0x432028
ADVAPI32.dll,CreateProcessAsUserW,0x43202c
ADVAPI32.dll,DuplicateTokenEx,0x432030
ADVAPI32.dll,LookupPrivilegeValueW,0x432034
ADVAPI32.dll,GetTokenInformation,0x432038
ADVAPI32.dll,OpenProcessToken,0x43203c
ADVAPI32.dll,RegSetValueExW,0x432040
ADVAPI32.dll,RegCloseKey,0x432044
ADVAPI32.dll,RegOpenKeyExW,0x432048
ADVAPI32.dll,RegQueryValueExW,0x43204c
ADVAPI32.dll,RegCreateKeyExW,0x432050
ADVAPI32.dll,StartServiceCtrlDispatcherW,0x432054
WSOCK32.dll,recv,0x43222c
WSOCK32.dll,inet_addr,0x432230
WSOCK32.dll,gethostbyname,0x432234
WSOCK32.dll,gethostname,0x432238
WSOCK32.dll,connect,0x43223c
WSOCK32.dll,send,0x432240
WSOCK32.dll,socket,0x432244
WSOCK32.dll,ioctlsocket,0x432248
WSOCK32.dll,htons,0x43224c
WSOCK32.dll,WSAStartup,0x432250
WSOCK32.dll,WSACleanup,0x432254
WSOCK32.dll,closesocket,0x432258
SHLWAPI.dll,PathAppendW,0x4321e4
SHLWAPI.dll,PathRemoveFileSpecW,0x4321e8
WININET.dll,InternetOpenUrlW,0x432204
WININET.dll,InternetOpenW,0x432208
WININET.dll,InternetCrackUrlW,0x43220c
WININET.dll,HttpQueryInfoW,0x432210
WININET.dll,InternetReadFile,0x432214
WININET.dll,InternetConnectW,0x432218
WININET.dll,InternetCloseHandle,0x43221c
WININET.dll,HttpOpenRequestW,0x432220
WININET.dll,HttpSendRequestW,0x432224
USERENV.dll,CreateEnvironmentBlock,0x4321f8
USERENV.dll,DestroyEnvironmentBlock,0x4321fc
WTSAPI32.dll,WTSFreeMemory,0x432260
WTSAPI32.dll,WTSQueryUserToken,0x432264
WTSAPI32.dll,WTSEnumerateSessionsW,0x432268
