dll,name,address
KERNEL32.DLL,LoadLibraryA,0x44b4a8
KERNEL32.DLL,GetProcAddress,0x44b4ac
KERNEL32.DLL,GetCommandLineA,0x44b4b0
KERNEL32.DLL,GetStartupInfoA,0x44b4b4
KERNEL32.DLL,GetProcessHeap,0x44b4b8
KERNEL32.DLL,GetLastError,0x44b4bc
KERNEL32.DLL,GetModuleHandleA,0x44b4c0
KERNEL32.DLL,TlsGetValue,0x44b4c4
KERNEL32.DLL,InterlockedIncrement,0x44b4c8
KERNEL32.DLL,HeapAlloc,0x44b4cc
KERNEL32.DLL,ExitProcess,0x44b4d0
ADVAPI32.dll,FreeSid,0x44b4d8
CRYPT32.dll,CryptUnprotectData,0x44b4e0
GDI32.dll,BitBlt,0x44b4e8
ole32.dll,CoInitialize,0x44b4f0
RPCRT4.dll,UuidCreate,0x44b4f8
Secur32.dll,GetComputerObjectNameW,0x44b500
SHELL32.dll,SHGetFolderPathW,0x44b508
USER32.dll,GetDC,0x44b510
WININET.dll,InternetGetLastResponseInfoW,0x44b518
WS2_32.dll,WSAStartup,0x44b520
WTSAPI32.dll,WTSFreeMemory,0x44b528
