dll,name,address
KERNEL32.dll,GlobalFree,0x406000
KERNEL32.dll,DeleteFileA,0x406004
KERNEL32.dll,GetExitCodeProcess,0x406008
KERNEL32.dll,CreateProcessA,0x40600c
KERNEL32.dll,CopyFileA,0x406010
KERNEL32.dll,GetTempPathA,0x406014
KERNEL32.dll,GetSystemDirectoryA,0x406018
KERNEL32.dll,GetStartupInfoA,0x40601c
KERNEL32.dll,GetStdHandle,0x406020
KERNEL32.dll,AllocConsole,0x406024
KERNEL32.dll,GetEnvironmentVariableA,0x406028
KERNEL32.dll,lstrcatA,0x40602c
KERNEL32.dll,lstrcpyA,0x406030
KERNEL32.dll,GetShortPathNameA,0x406034
KERNEL32.dll,GetModuleFileNameA,0x406038
KERNEL32.dll,WriteFile,0x40603c
KERNEL32.dll,FreeConsole,0x406040
KERNEL32.dll,CreateMutexA,0x406044
KERNEL32.dll,CreateThread,0x406048
KERNEL32.dll,CreatePipe,0x40604c
KERNEL32.dll,ReadFile,0x406050
KERNEL32.dll,PeekNamedPipe,0x406054
KERNEL32.dll,GetLocalTime,0x406058
KERNEL32.dll,CloseHandle,0x40605c
KERNEL32.dll,GetLastError,0x406060
KERNEL32.dll,Sleep,0x406064
SHELL32.dll,ShellExecuteA,0x406120
MSVCP60.dll,?_Copy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,0x40606c
MSVCP60.dll,?_C@?1??_Nullstr@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@CAPBDXZ@4DB,0x406070
MSVCP60.dll,?_Xlen@std@@YAXXZ,0x406074
MSVCP60.dll,?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,0x406078
WININET.dll,InternetWriteFile,0x406128
WININET.dll,HttpEndRequestA,0x40612c
WININET.dll,InternetQueryOptionA,0x406130
WININET.dll,InternetSetOptionA,0x406134
WININET.dll,HttpSendRequestExA,0x406138
WININET.dll,HttpAddRequestHeadersA,0x40613c
WININET.dll,HttpSendRequestA,0x406140
WININET.dll,InternetCrackUrlA,0x406144
WININET.dll,InternetCloseHandle,0x406148
WININET.dll,InternetConnectA,0x40614c
WININET.dll,InternetReadFile,0x406150
WININET.dll,HttpQueryInfoA,0x406154
WININET.dll,HttpOpenRequestA,0x406158
WININET.dll,InternetOpenA,0x40615c
MSVCRT.dll,__set_app_type,0x406080
MSVCRT.dll,_except_handler3,0x406084
MSVCRT.dll,__p__fmode,0x406088
MSVCRT.dll,__p__commode,0x40608c
MSVCRT.dll,_controlfp,0x406090
MSVCRT.dll,_adjust_fdiv,0x406094
MSVCRT.dll,__setusermatherr,0x406098
MSVCRT.dll,_initterm,0x40609c
MSVCRT.dll,__getmainargs,0x4060a0
MSVCRT.dll,__p___initenv,0x4060a4
MSVCRT.dll,exit,0x4060a8
MSVCRT.dll,_XcptFilter,0x4060ac
MSVCRT.dll,_exit,0x4060b0
MSVCRT.dll,_onexit,0x4060b4
MSVCRT.dll,__dllonexit,0x4060b8
MSVCRT.dll,ftell,0x4060bc
MSVCRT.dll,fread,0x4060c0
MSVCRT.dll,fopen,0x4060c4
MSVCRT.dll,free,0x4060c8
MSVCRT.dll,strncmp,0x4060cc
MSVCRT.dll,__CxxFrameHandler,0x4060d0
MSVCRT.dll,sprintf,0x4060d4
MSVCRT.dll,atoi,0x4060d8
MSVCRT.dll,getenv,0x4060dc
MSVCRT.dll,printf,0x4060e0
MSVCRT.dll,freopen,0x4060e4
MSVCRT.dll,_iob,0x4060e8
MSVCRT.dll,rand,0x4060ec
MSVCRT.dll,srand,0x4060f0
MSVCRT.dll,time,0x4060f4
MSVCRT.dll,strstr,0x4060f8
MSVCRT.dll,strtok,0x4060fc
MSVCRT.dll,scanf,0x406100
MSVCRT.dll,fflush,0x406104
MSVCRT.dll,strftime,0x406108
MSVCRT.dll,localtime,0x40610c
MSVCRT.dll,fclose,0x406110
MSVCRT.dll,fwrite,0x406114
MSVCRT.dll,fseek,0x406118
WS2_32.dll,gethostbyname,0x406164
WS2_32.dll,gethostname,0x406168
WS2_32.dll,WSAStartup,0x40616c
WS2_32.dll,inet_ntoa,0x406170
