dll,name,address
KERNEL32.dll,GetFileSize,0x403000
KERNEL32.dll,CreateFileA,0x403004
KERNEL32.dll,GetCurrentProcess,0x403008
KERNEL32.dll,GetProcAddress,0x40300c
KERNEL32.dll,ReadFile,0x403010
KERNEL32.dll,DeleteFileA,0x403014
KERNEL32.dll,Sleep,0x403018
KERNEL32.dll,GetCurrentThreadId,0x40301c
KERNEL32.dll,SetFileAttributesA,0x403020
KERNEL32.dll,CreateDirectoryA,0x403024
KERNEL32.dll,LoadLibraryA,0x403028
KERNEL32.dll,GetStartupInfoA,0x40302c
KERNEL32.dll,SetFilePointer,0x403030
KERNEL32.dll,WriteFile,0x403034
KERNEL32.dll,GetModuleHandleA,0x403038
KERNEL32.dll,CloseHandle,0x40303c
USER32.dll,PostThreadMessageA,0x4030c8
USER32.dll,GetMessageA,0x4030cc
USER32.dll,GetInputState,0x4030d0
MSVCP60.dll,?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,0x403044
MSVCP60.dll,?_Xran@std@@YAXXZ,0x403048
MSVCP60.dll,?_Split@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXXZ,0x40304c
MSVCP60.dll,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@ABV01@@Z,0x403050
MSVCP60.dll,?_C@?1??_Nullstr@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@CAPBDXZ@4DB,0x403054
MSVCP60.dll,?_Eos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,0x403058
MSVCP60.dll,?_Grow@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAE_NI_N@Z,0x40305c
MSVCP60.dll,?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ABV12@II@Z,0x403060
MSVCP60.dll,?npos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@2IB,0x403064
MSVCRT.dll,__getmainargs,0x40306c
MSVCRT.dll,_controlfp,0x403070
MSVCRT.dll,memmove,0x403074
MSVCRT.dll,_except_handler3,0x403078
MSVCRT.dll,strcat,0x40307c
MSVCRT.dll,sprintf,0x403080
MSVCRT.dll,strlen,0x403084
MSVCRT.dll,_beginthreadex,0x403088
MSVCRT.dll,free,0x40308c
MSVCRT.dll,_exit,0x403090
MSVCRT.dll,_XcptFilter,0x403094
MSVCRT.dll,exit,0x403098
MSVCRT.dll,_acmdln,0x40309c
MSVCRT.dll,??2@YAPAXI@Z,0x4030a0
MSVCRT.dll,_initterm,0x4030a4
MSVCRT.dll,__setusermatherr,0x4030a8
MSVCRT.dll,_adjust_fdiv,0x4030ac
MSVCRT.dll,__p__commode,0x4030b0
MSVCRT.dll,__p__fmode,0x4030b4
MSVCRT.dll,__set_app_type,0x4030b8
WS2_32.dll,gethostbyname,0x4030d8
WS2_32.dll,WSASocketA,0x4030dc
WS2_32.dll,recv,0x4030e0
WS2_32.dll,closesocket,0x4030e4
WS2_32.dll,shutdown,0x4030e8
WS2_32.dll,htons,0x4030ec
WS2_32.dll,setsockopt,0x4030f0
WS2_32.dll,WSAIoctl,0x4030f4
WS2_32.dll,connect,0x4030f8
WS2_32.dll,WSAStartup,0x4030fc
WS2_32.dll,send,0x403100
SHLWAPI.dll,PathFileExistsA,0x4030c0
