dll,name,address
kernel32.dll,DeleteCriticalSection,0x47e12c
kernel32.dll,LeaveCriticalSection,0x47e130
kernel32.dll,EnterCriticalSection,0x47e134
kernel32.dll,InitializeCriticalSection,0x47e138
kernel32.dll,VirtualFree,0x47e13c
kernel32.dll,VirtualAlloc,0x47e140
kernel32.dll,LocalFree,0x47e144
kernel32.dll,LocalAlloc,0x47e148
kernel32.dll,GetTickCount,0x47e14c
kernel32.dll,QueryPerformanceCounter,0x47e150
kernel32.dll,GetVersion,0x47e154
kernel32.dll,GetCurrentThreadId,0x47e158
kernel32.dll,InterlockedDecrement,0x47e15c
kernel32.dll,InterlockedIncrement,0x47e160
kernel32.dll,VirtualQuery,0x47e164
kernel32.dll,WideCharToMultiByte,0x47e168
kernel32.dll,MultiByteToWideChar,0x47e16c
kernel32.dll,lstrlenA,0x47e170
kernel32.dll,lstrcpynA,0x47e174
kernel32.dll,LoadLibraryExA,0x47e178
kernel32.dll,GetThreadLocale,0x47e17c
kernel32.dll,GetStartupInfoA,0x47e180
kernel32.dll,GetProcAddress,0x47e184
kernel32.dll,GetModuleHandleA,0x47e188
kernel32.dll,GetModuleFileNameA,0x47e18c
kernel32.dll,GetLocaleInfoA,0x47e190
kernel32.dll,GetCommandLineA,0x47e194
kernel32.dll,FreeLibrary,0x47e198
kernel32.dll,FindFirstFileA,0x47e19c
kernel32.dll,FindClose,0x47e1a0
kernel32.dll,ExitProcess,0x47e1a4
kernel32.dll,WriteFile,0x47e1a8
kernel32.dll,UnhandledExceptionFilter,0x47e1ac
kernel32.dll,RtlUnwind,0x47e1b0
kernel32.dll,RaiseException,0x47e1b4
kernel32.dll,GetStdHandle,0x47e1b8
user32.dll,GetKeyboardType,0x47e1c0
user32.dll,LoadStringA,0x47e1c4
user32.dll,MessageBoxA,0x47e1c8
user32.dll,CharNextA,0x47e1cc
advapi32.dll,RegQueryValueExA,0x47e1d4
advapi32.dll,RegOpenKeyExA,0x47e1d8
advapi32.dll,RegCloseKey,0x47e1dc
oleaut32.dll,SysFreeString,0x47e1e4
oleaut32.dll,SysReAllocStringLen,0x47e1e8
oleaut32.dll,SysAllocStringLen,0x47e1ec
kernel32.dll,TlsSetValue,0x47e1f4
kernel32.dll,TlsGetValue,0x47e1f8
kernel32.dll,LocalAlloc,0x47e1fc
kernel32.dll,GetModuleHandleA,0x47e200
advapi32.dll,RegQueryValueExA,0x47e208
advapi32.dll,RegOpenKeyExA,0x47e20c
advapi32.dll,RegCloseKey,0x47e210
kernel32.dll,lstrcpyA,0x47e218
kernel32.dll,WriteFile,0x47e21c
kernel32.dll,WaitForSingleObject,0x47e220
kernel32.dll,VirtualQuery,0x47e224
kernel32.dll,VirtualAlloc,0x47e228
kernel32.dll,Sleep,0x47e22c
kernel32.dll,SizeofResource,0x47e230
kernel32.dll,SetThreadLocale,0x47e234
kernel32.dll,SetFilePointer,0x47e238
kernel32.dll,SetEvent,0x47e23c
kernel32.dll,SetErrorMode,0x47e240
kernel32.dll,SetEndOfFile,0x47e244
kernel32.dll,ResetEvent,0x47e248
kernel32.dll,ReadFile,0x47e24c
kernel32.dll,MulDiv,0x47e250
kernel32.dll,LockResource,0x47e254
kernel32.dll,LoadResource,0x47e258
kernel32.dll,LoadLibraryA,0x47e25c
kernel32.dll,LeaveCriticalSection,0x47e260
kernel32.dll,InitializeCriticalSection,0x47e264
kernel32.dll,GlobalUnlock,0x47e268
kernel32.dll,GlobalReAlloc,0x47e26c
kernel32.dll,GlobalHandle,0x47e270
kernel32.dll,GlobalLock,0x47e274
kernel32.dll,GlobalFree,0x47e278
kernel32.dll,GlobalFindAtomA,0x47e27c
kernel32.dll,GlobalDeleteAtom,0x47e280
kernel32.dll,GlobalAlloc,0x47e284
kernel32.dll,GlobalAddAtomA,0x47e288
kernel32.dll,GetVersionExA,0x47e28c
kernel32.dll,GetVersion,0x47e290
kernel32.dll,GetTickCount,0x47e294
kernel32.dll,GetThreadLocale,0x47e298
kernel32.dll,GetSystemInfo,0x47e29c
kernel32.dll,GetStringTypeExA,0x47e2a0
kernel32.dll,GetStdHandle,0x47e2a4
kernel32.dll,GetProcAddress,0x47e2a8
kernel32.dll,GetModuleHandleA,0x47e2ac
kernel32.dll,GetModuleFileNameA,0x47e2b0
kernel32.dll,GetLocaleInfoA,0x47e2b4
kernel32.dll,GetLocalTime,0x47e2b8
kernel32.dll,GetLastError,0x47e2bc
kernel32.dll,GetFullPathNameA,0x47e2c0
kernel32.dll,GetFileAttributesA,0x47e2c4
kernel32.dll,GetDiskFreeSpaceA,0x47e2c8
kernel32.dll,GetDateFormatA,0x47e2cc
kernel32.dll,GetCurrentThreadId,0x47e2d0
kernel32.dll,GetCurrentProcessId,0x47e2d4
kernel32.dll,GetCPInfo,0x47e2d8
kernel32.dll,GetACP,0x47e2dc
kernel32.dll,FreeResource,0x47e2e0
kernel32.dll,InterlockedExchange,0x47e2e4
kernel32.dll,FreeLibrary,0x47e2e8
kernel32.dll,FormatMessageA,0x47e2ec
kernel32.dll,FindResourceA,0x47e2f0
kernel32.dll,FindFirstFileA,0x47e2f4
kernel32.dll,FindClose,0x47e2f8
kernel32.dll,FileTimeToLocalFileTime,0x47e2fc
kernel32.dll,FileTimeToDosDateTime,0x47e300
kernel32.dll,EnumCalendarInfoA,0x47e304
kernel32.dll,EnterCriticalSection,0x47e308
kernel32.dll,DeleteCriticalSection,0x47e30c
kernel32.dll,CreateThread,0x47e310
kernel32.dll,CreateFileA,0x47e314
kernel32.dll,CreateEventA,0x47e318
kernel32.dll,CompareStringA,0x47e31c
kernel32.dll,CloseHandle,0x47e320
version.dll,VerQueryValueA,0x47e328
version.dll,GetFileVersionInfoSizeA,0x47e32c
version.dll,GetFileVersionInfoA,0x47e330
gdi32.dll,UnrealizeObject,0x47e338
gdi32.dll,TextOutA,0x47e33c
gdi32.dll,StretchBlt,0x47e340
gdi32.dll,SetWindowOrgEx,0x47e344
gdi32.dll,SetWinMetaFileBits,0x47e348
gdi32.dll,SetViewportOrgEx,0x47e34c
gdi32.dll,SetTextColor,0x47e350
gdi32.dll,SetTextAlign,0x47e354
gdi32.dll,SetStretchBltMode,0x47e358
gdi32.dll,SetROP2,0x47e35c
gdi32.dll,SetPixel,0x47e360
gdi32.dll,SetEnhMetaFileBits,0x47e364
gdi32.dll,SetDIBColorTable,0x47e368
gdi32.dll,SetBrushOrgEx,0x47e36c
gdi32.dll,SetBkMode,0x47e370
gdi32.dll,SetBkColor,0x47e374
gdi32.dll,SelectPalette,0x47e378
gdi32.dll,SelectObject,0x47e37c
gdi32.dll,SelectClipRgn,0x47e380
gdi32.dll,ScaleWindowExtEx,0x47e384
gdi32.dll,SaveDC,0x47e388
gdi32.dll,RoundRect,0x47e38c
gdi32.dll,RestoreDC,0x47e390
gdi32.dll,Rectangle,0x47e394
gdi32.dll,RectVisible,0x47e398
gdi32.dll,RealizePalette,0x47e39c
gdi32.dll,Polyline,0x47e3a0
gdi32.dll,Polygon,0x47e3a4
gdi32.dll,PlayEnhMetaFile,0x47e3a8
gdi32.dll,Pie,0x47e3ac
gdi32.dll,PatBlt,0x47e3b0
gdi32.dll,MoveToEx,0x47e3b4
gdi32.dll,MaskBlt,0x47e3b8
gdi32.dll,LineTo,0x47e3bc
gdi32.dll,LPtoDP,0x47e3c0
gdi32.dll,IntersectClipRect,0x47e3c4
gdi32.dll,GetWindowOrgEx,0x47e3c8
gdi32.dll,GetWinMetaFileBits,0x47e3cc
gdi32.dll,GetTextMetricsA,0x47e3d0
gdi32.dll,GetTextExtentPoint32A,0x47e3d4
gdi32.dll,GetTextAlign,0x47e3d8
gdi32.dll,GetSystemPaletteEntries,0x47e3dc
gdi32.dll,GetStockObject,0x47e3e0
gdi32.dll,GetPixel,0x47e3e4
gdi32.dll,GetPaletteEntries,0x47e3e8
gdi32.dll,GetObjectA,0x47e3ec
gdi32.dll,GetEnhMetaFilePaletteEntries,0x47e3f0
gdi32.dll,GetEnhMetaFileHeader,0x47e3f4
gdi32.dll,GetEnhMetaFileBits,0x47e3f8
gdi32.dll,GetDeviceCaps,0x47e3fc
gdi32.dll,GetDIBits,0x47e400
gdi32.dll,GetDIBColorTable,0x47e404
gdi32.dll,GetDCOrgEx,0x47e408
gdi32.dll,GetCurrentPositionEx,0x47e40c
gdi32.dll,GetClipBox,0x47e410
gdi32.dll,GetBrushOrgEx,0x47e414
gdi32.dll,GetBkMode,0x47e418
gdi32.dll,GetBkColor,0x47e41c
gdi32.dll,GetBitmapBits,0x47e420
gdi32.dll,ExtSelectClipRgn,0x47e424
gdi32.dll,ExtEscape,0x47e428
gdi32.dll,ExtCreatePen,0x47e42c
gdi32.dll,ExcludeClipRect,0x47e430
gdi32.dll,Ellipse,0x47e434
gdi32.dll,DeleteObject,0x47e438
gdi32.dll,DeleteEnhMetaFile,0x47e43c
gdi32.dll,DeleteDC,0x47e440
gdi32.dll,CreateSolidBrush,0x47e444
gdi32.dll,CreateRectRgn,0x47e448
gdi32.dll,CreatePolygonRgn,0x47e44c
gdi32.dll,CreatePenIndirect,0x47e450
gdi32.dll,CreatePalette,0x47e454
gdi32.dll,CreateHalftonePalette,0x47e458
gdi32.dll,CreateFontIndirectA,0x47e45c
gdi32.dll,CreateDIBitmap,0x47e460
gdi32.dll,CreateDIBSection,0x47e464
gdi32.dll,CreateCompatibleDC,0x47e468
gdi32.dll,CreateCompatibleBitmap,0x47e46c
gdi32.dll,CreateBrushIndirect,0x47e470
gdi32.dll,CreateBitmap,0x47e474
gdi32.dll,CopyEnhMetaFileA,0x47e478
gdi32.dll,BitBlt,0x47e47c
gdi32.dll,Arc,0x47e480
user32.dll,CreateWindowExA,0x47e488
user32.dll,WindowFromPoint,0x47e48c
user32.dll,WinHelpA,0x47e490
user32.dll,WaitMessage,0x47e494
user32.dll,UpdateWindow,0x47e498
user32.dll,UnregisterClassA,0x47e49c
user32.dll,UnhookWindowsHookEx,0x47e4a0
user32.dll,TranslateMessage,0x47e4a4
user32.dll,TranslateMDISysAccel,0x47e4a8
user32.dll,TrackPopupMenu,0x47e4ac
user32.dll,SystemParametersInfoA,0x47e4b0
user32.dll,ShowWindow,0x47e4b4
user32.dll,ShowScrollBar,0x47e4b8
user32.dll,ShowOwnedPopups,0x47e4bc
user32.dll,ShowCursor,0x47e4c0
user32.dll,SetWindowsHookExA,0x47e4c4
user32.dll,SetWindowPos,0x47e4c8
user32.dll,SetWindowPlacement,0x47e4cc
user32.dll,SetWindowLongA,0x47e4d0
user32.dll,SetTimer,0x47e4d4
user32.dll,SetScrollRange,0x47e4d8
user32.dll,SetScrollPos,0x47e4dc
user32.dll,SetScrollInfo,0x47e4e0
user32.dll,SetRect,0x47e4e4
user32.dll,SetPropA,0x47e4e8
user32.dll,SetParent,0x47e4ec
user32.dll,SetMenuItemInfoA,0x47e4f0
user32.dll,SetMenu,0x47e4f4
user32.dll,SetForegroundWindow,0x47e4f8
user32.dll,SetFocus,0x47e4fc
user32.dll,SetCursor,0x47e500
user32.dll,SetClassLongA,0x47e504
user32.dll,SetCapture,0x47e508
user32.dll,SetActiveWindow,0x47e50c
user32.dll,SendMessageA,0x47e510
user32.dll,ScrollWindow,0x47e514
user32.dll,ScreenToClient,0x47e518
user32.dll,RemovePropA,0x47e51c
user32.dll,RemoveMenu,0x47e520
user32.dll,ReleaseDC,0x47e524
user32.dll,ReleaseCapture,0x47e528
user32.dll,RegisterWindowMessageA,0x47e52c
user32.dll,RegisterClipboardFormatA,0x47e530
user32.dll,RegisterClassA,0x47e534
user32.dll,RedrawWindow,0x47e538
user32.dll,PtInRect,0x47e53c
user32.dll,PostQuitMessage,0x47e540
user32.dll,PostMessageA,0x47e544
user32.dll,PeekMessageA,0x47e548
user32.dll,OffsetRect,0x47e54c
user32.dll,OemToCharA,0x47e550
user32.dll,MessageBoxA,0x47e554
user32.dll,MapWindowPoints,0x47e558
user32.dll,MapVirtualKeyA,0x47e55c
user32.dll,LoadStringA,0x47e560
user32.dll,LoadKeyboardLayoutA,0x47e564
user32.dll,LoadIconA,0x47e568
user32.dll,LoadCursorA,0x47e56c
user32.dll,LoadBitmapA,0x47e570
user32.dll,KillTimer,0x47e574
user32.dll,IsZoomed,0x47e578
user32.dll,IsWindowVisible,0x47e57c
user32.dll,IsWindowEnabled,0x47e580
user32.dll,IsWindow,0x47e584
user32.dll,IsRectEmpty,0x47e588
user32.dll,IsIconic,0x47e58c
user32.dll,IsDialogMessageA,0x47e590
user32.dll,IsChild,0x47e594
user32.dll,InvalidateRect,0x47e598
user32.dll,IntersectRect,0x47e59c
user32.dll,InsertMenuItemA,0x47e5a0
user32.dll,InsertMenuA,0x47e5a4
user32.dll,InflateRect,0x47e5a8
user32.dll,GetWindowThreadProcessId,0x47e5ac
user32.dll,GetWindowTextA,0x47e5b0
user32.dll,GetWindowRect,0x47e5b4
user32.dll,GetWindowPlacement,0x47e5b8
user32.dll,GetWindowLongA,0x47e5bc
user32.dll,GetWindowDC,0x47e5c0
user32.dll,GetTopWindow,0x47e5c4
user32.dll,GetSystemMetrics,0x47e5c8
user32.dll,GetSystemMenu,0x47e5cc
user32.dll,GetSysColorBrush,0x47e5d0
user32.dll,GetSysColor,0x47e5d4
user32.dll,GetSubMenu,0x47e5d8
user32.dll,GetScrollRange,0x47e5dc
user32.dll,GetScrollPos,0x47e5e0
user32.dll,GetScrollInfo,0x47e5e4
user32.dll,GetPropA,0x47e5e8
user32.dll,GetParent,0x47e5ec
user32.dll,GetWindow,0x47e5f0
user32.dll,GetMenuStringA,0x47e5f4
user32.dll,GetMenuState,0x47e5f8
user32.dll,GetMenuItemInfoA,0x47e5fc
user32.dll,GetMenuItemID,0x47e600
user32.dll,GetMenuItemCount,0x47e604
user32.dll,GetMenu,0x47e608
user32.dll,GetLastActivePopup,0x47e60c
user32.dll,GetKeyboardState,0x47e610
user32.dll,GetKeyboardLayoutList,0x47e614
user32.dll,GetKeyboardLayout,0x47e618
user32.dll,GetKeyState,0x47e61c
user32.dll,GetKeyNameTextA,0x47e620
user32.dll,GetIconInfo,0x47e624
user32.dll,GetForegroundWindow,0x47e628
user32.dll,GetFocus,0x47e62c
user32.dll,GetDlgItem,0x47e630
user32.dll,GetDesktopWindow,0x47e634
user32.dll,GetDCEx,0x47e638
user32.dll,GetDC,0x47e63c
user32.dll,GetCursorPos,0x47e640
user32.dll,GetCursor,0x47e644
user32.dll,GetClipboardData,0x47e648
user32.dll,GetClientRect,0x47e64c
user32.dll,GetClassNameA,0x47e650
user32.dll,GetClassInfoA,0x47e654
user32.dll,GetCapture,0x47e658
user32.dll,GetActiveWindow,0x47e65c
user32.dll,FrameRect,0x47e660
user32.dll,FindWindowA,0x47e664
user32.dll,FillRect,0x47e668
user32.dll,EqualRect,0x47e66c
user32.dll,EnumWindows,0x47e670
user32.dll,EnumThreadWindows,0x47e674
