dll,name,address
KERNEL32.dll,GetVersionExA,0x1801a4000
KERNEL32.dll,GetVersion,0x1801a4008
KERNEL32.dll,lstrcmpiA,0x1801a4010
USER32.dll,MapVirtualKeyA,0x1801a4020
GDI32.dll,GdiFlush,0x1801a4030
ADVAPI32.dll,LookupPrivilegeValueA,0x1801a4040
SHELL32.dll,CommandLineToArgvW,0x1801a4050
ole32.dll,CoCreateInstance,0x1801a4060
WS2_32.dll,WSADuplicateSocketA,0x1801a4070
SHLWAPI.dll,PathMatchSpecA,0x1801a4080
DNSAPI.dll,DnsFree,0x1801a4090
Secur32.dll,LsaFreeReturnBuffer,0x1801a40a0
PSAPI.DLL,GetModuleFileNameExA,0x1801a40b0
NETAPI32.dll,NetApiBufferFree,0x1801a40c0
WTSAPI32.dll,WTSQuerySessionInformationA,0x1801a40d0
USERENV.dll,CreateEnvironmentBlock,0x1801a40e0
VERSION.dll,GetFileVersionInfoSizeA,0x1801a40f0
KERNEL32.dll,GetModuleFileNameW,0x1801a4100
KERNEL32.dll,GetModuleHandleA,0x1801a4110
KERNEL32.dll,LoadLibraryA,0x1801a4118
KERNEL32.dll,LocalAlloc,0x1801a4120
KERNEL32.dll,LocalFree,0x1801a4128
KERNEL32.dll,GetModuleFileNameA,0x1801a4130
KERNEL32.dll,ExitProcess,0x1801a4138
