dll,name,address
KERNEL32.dll,SetUnhandledExceptionFilter,0x42e000
USER32.dll,GetMessageA,0x42e008
ADVAPI32.dll,OpenSCManagerA,0x42e010
SHELL32.dll,SHGetFolderPathA,0x42e018
imagehlp.dll,MakeSureDirectoryPathExists,0x42e020
VERSION.dll,GetFileVersionInfoSizeA,0x42e028
SHLWAPI.dll,PathFileExistsA,0x42e030
KERNEL32.dll,GetModuleFileNameW,0x42e038
KERNEL32.dll,GetModuleHandleA,0x42e040
KERNEL32.dll,LoadLibraryA,0x42e044
KERNEL32.dll,LocalAlloc,0x42e048
KERNEL32.dll,LocalFree,0x42e04c
KERNEL32.dll,GetModuleFileNameA,0x42e050
KERNEL32.dll,ExitProcess,0x42e054
