dll,name,address
oleaut32.dll,SysFreeString,0x3b08968
oleaut32.dll,SysReAllocStringLen,0x3b0896c
oleaut32.dll,SysAllocStringLen,0x3b08970
advapi32.dll,RegQueryValueExA,0x3b08978
advapi32.dll,RegOpenKeyExA,0x3b0897c
advapi32.dll,RegCloseKey,0x3b08980
user32.dll,GetKeyboardType,0x3b08988
user32.dll,DestroyWindow,0x3b0898c
user32.dll,LoadStringA,0x3b08990
user32.dll,MessageBoxA,0x3b08994
user32.dll,CharNextA,0x3b08998
kernel32.dll,GetACP,0x3b089a0
kernel32.dll,Sleep,0x3b089a4
kernel32.dll,VirtualFree,0x3b089a8
kernel32.dll,VirtualAlloc,0x3b089ac
kernel32.dll,GetTickCount,0x3b089b0
kernel32.dll,QueryPerformanceCounter,0x3b089b4
kernel32.dll,GetCurrentThreadId,0x3b089b8
kernel32.dll,InterlockedDecrement,0x3b089bc
kernel32.dll,InterlockedIncrement,0x3b089c0
kernel32.dll,VirtualQuery,0x3b089c4
kernel32.dll,WideCharToMultiByte,0x3b089c8
kernel32.dll,SetCurrentDirectoryA,0x3b089cc
kernel32.dll,MultiByteToWideChar,0x3b089d0
kernel32.dll,lstrlenA,0x3b089d4
kernel32.dll,lstrcpynA,0x3b089d8
kernel32.dll,LoadLibraryExA,0x3b089dc
kernel32.dll,GetThreadLocale,0x3b089e0
kernel32.dll,GetStartupInfoA,0x3b089e4
kernel32.dll,GetProcAddress,0x3b089e8
kernel32.dll,GetModuleHandleA,0x3b089ec
kernel32.dll,GetModuleFileNameA,0x3b089f0
kernel32.dll,GetLocaleInfoA,0x3b089f4
kernel32.dll,GetLastError,0x3b089f8
kernel32.dll,GetCurrentDirectoryA,0x3b089fc
kernel32.dll,GetCommandLineA,0x3b08a00
kernel32.dll,FreeLibrary,0x3b08a04
kernel32.dll,FindFirstFileA,0x3b08a08
kernel32.dll,FindClose,0x3b08a0c
kernel32.dll,ExitProcess,0x3b08a10
kernel32.dll,ExitThread,0x3b08a14
kernel32.dll,CreateThread,0x3b08a18
kernel32.dll,CompareStringA,0x3b08a1c
kernel32.dll,WriteFile,0x3b08a20
kernel32.dll,UnhandledExceptionFilter,0x3b08a24
kernel32.dll,SetFilePointer,0x3b08a28
kernel32.dll,SetEndOfFile,0x3b08a2c
