dll,name,address
KERNEL32.dll,CreateProcessA,0x414074
KERNEL32.dll,GetSystemDirectoryA,0x414078
KERNEL32.dll,GetTempFileNameA,0x41407c
KERNEL32.dll,GetVersionExA,0x414080
KERNEL32.dll,WideCharToMultiByte,0x414084
KERNEL32.dll,GetProcAddress,0x414088
KERNEL32.dll,LoadLibraryA,0x41408c
KERNEL32.dll,lstrcpynA,0x414090
KERNEL32.dll,GetPrivateProfileStringA,0x414094
KERNEL32.dll,GetPrivateProfileSectionNamesA,0x414098
KERNEL32.dll,MultiByteToWideChar,0x41409c
KERNEL32.dll,IsDebuggerPresent,0x4140a0
KERNEL32.dll,lstrlenW,0x4140a4
KERNEL32.dll,lstrcpyA,0x4140a8
KERNEL32.dll,SetLastError,0x4140ac
KERNEL32.dll,FreeLibrary,0x4140b0
KERNEL32.dll,WinExec,0x4140b4
KERNEL32.dll,OpenProcess,0x4140b8
KERNEL32.dll,WriteFile,0x4140bc
KERNEL32.dll,CreateFileA,0x4140c0
KERNEL32.dll,UnmapViewOfFile,0x4140c4
KERNEL32.dll,MapViewOfFile,0x4140c8
KERNEL32.dll,CreateFileMappingA,0x4140cc
KERNEL32.dll,GetFileSize,0x4140d0
KERNEL32.dll,FindClose,0x4140d4
KERNEL32.dll,FindNextFileA,0x4140d8
KERNEL32.dll,FindFirstFileA,0x4140dc
KERNEL32.dll,ExpandEnvironmentStringsA,0x4140e0
KERNEL32.dll,HeapAlloc,0x4140e4
KERNEL32.dll,CreateThread,0x4140e8
KERNEL32.dll,HeapDestroy,0x4140ec
KERNEL32.dll,HeapReAlloc,0x4140f0
KERNEL32.dll,HeapFree,0x4140f4
KERNEL32.dll,GetCurrentProcessId,0x4140f8
KERNEL32.dll,TerminateThread,0x4140fc
KERNEL32.dll,SetFilePointer,0x414100
KERNEL32.dll,DuplicateHandle,0x414104
KERNEL32.dll,GetCurrentProcess,0x414108
KERNEL32.dll,GetProcessHeap,0x41410c
KERNEL32.dll,ReadFile,0x414110
KERNEL32.dll,GetLastError,0x414114
KERNEL32.dll,GetVolumeInformationA,0x414118
KERNEL32.dll,GetWindowsDirectoryA,0x41411c
KERNEL32.dll,GetEnvironmentVariableA,0x414120
KERNEL32.dll,CreatePipe,0x414124
KERNEL32.dll,GetStdHandle,0x414128
KERNEL32.dll,GetTickCount,0x41412c
KERNEL32.dll,ExitProcess,0x414130
KERNEL32.dll,CreateNamedPipeA,0x414134
KERNEL32.dll,GetShortPathNameA,0x414138
KERNEL32.dll,SetErrorMode,0x41413c
KERNEL32.dll,SetPriorityClass,0x414140
KERNEL32.dll,OutputDebugStringA,0x414144
KERNEL32.dll,GetCurrentThreadId,0x414148
KERNEL32.dll,MoveFileA,0x41414c
KERNEL32.dll,CompareStringA,0x414150
KERNEL32.dll,lstrcmpiA,0x414154
KERNEL32.dll,CompareStringW,0x414158
KERNEL32.dll,GetProcessTimes,0x41415c
KERNEL32.dll,DeleteFileA,0x414160
KERNEL32.dll,WaitForSingleObject,0x414164
KERNEL32.dll,CreateToolhelp32Snapshot,0x414168
KERNEL32.dll,CloseHandle,0x41416c
KERNEL32.dll,Thread32First,0x414170
KERNEL32.dll,Thread32Next,0x414174
KERNEL32.dll,lstrcatA,0x414178
KERNEL32.dll,lstrcmpA,0x41417c
KERNEL32.dll,Sleep,0x414180
KERNEL32.dll,GetFileAttributesA,0x414184
KERNEL32.dll,GetFileTime,0x414188
KERNEL32.dll,FileTimeToSystemTime,0x41418c
KERNEL32.dll,lstrlenA,0x414190
KERNEL32.dll,GlobalFree,0x414194
KERNEL32.dll,LocalFree,0x414198
KERNEL32.dll,GetSystemInfo,0x41419c
KERNEL32.dll,GetLogicalDrives,0x4141a0
KERNEL32.dll,GetDriveTypeA,0x4141a4
KERNEL32.dll,GetDiskFreeSpaceA,0x4141a8
KERNEL32.dll,GetSystemTime,0x4141ac
KERNEL32.dll,GetComputerNameA,0x4141b0
KERNEL32.dll,GlobalAlloc,0x4141b4
KERNEL32.dll,GetACP,0x4141b8
KERNEL32.dll,GetOEMCP,0x4141bc
KERNEL32.dll,GetCurrentDirectoryA,0x4141c0
KERNEL32.dll,GetTempPathA,0x4141c4
KERNEL32.dll,GetModuleHandleA,0x4141c8
KERNEL32.dll,HeapCreate,0x4141cc
KERNEL32.dll,GetModuleFileNameA,0x4141d0
USER32.dll,EnumThreadWindows,0x414214
USER32.dll,ShowWindow,0x414218
USER32.dll,MessageBoxA,0x41421c
USER32.dll,EnumDisplaySettingsA,0x414220
USER32.dll,GetSystemMetrics,0x414224
USER32.dll,wsprintfA,0x414228
USER32.dll,wvsprintfA,0x41422c
USER32.dll,LockSetForegroundWindow,0x414230
USER32.dll,CharLowerBuffA,0x414234
USER32.dll,CharUpperBuffA,0x414238
USER32.dll,GetKeyboardLayoutNameA,0x41423c
ADVAPI32.dll,CryptHashData,0x414000
ADVAPI32.dll,CryptDecrypt,0x414004
ADVAPI32.dll,CryptDestroyKey,0x414008
ADVAPI32.dll,CryptDestroyHash,0x41400c
ADVAPI32.dll,CryptReleaseContext,0x414010
ADVAPI32.dll,RegEnumValueW,0x414014
ADVAPI32.dll,RegQueryValueExW,0x414018
ADVAPI32.dll,RegEnumValueA,0x41401c
ADVAPI32.dll,RegOpenKeyExA,0x414020
ADVAPI32.dll,RegQueryInfoKeyA,0x414024
ADVAPI32.dll,RegEnumKeyExA,0x414028
ADVAPI32.dll,RegOpenKeyA,0x41402c
ADVAPI32.dll,RegEnumKeyA,0x414030
ADVAPI32.dll,RegQueryValueExA,0x414034
ADVAPI32.dll,RegCloseKey,0x414038
ADVAPI32.dll,GetUserNameA,0x41403c
ADVAPI32.dll,CryptCreateHash,0x414040
ADVAPI32.dll,CryptAcquireContextA,0x414044
ADVAPI32.dll,OpenProcessToken,0x414048
ADVAPI32.dll,RegSetValueExA,0x41404c
ADVAPI32.dll,RegCreateKeyA,0x414050
ADVAPI32.dll,RegDeleteValueA,0x414054
ADVAPI32.dll,AdjustTokenPrivileges,0x414058
ADVAPI32.dll,LookupPrivilegeValueA,0x41405c
ADVAPI32.dll,CryptGenRandom,0x414060
ADVAPI32.dll,CryptDeriveKey,0x414064
OLEAUT32.dll,SysAllocString,0x4141d8
OLEAUT32.dll,SafeArrayPutElement,0x4141dc
OLEAUT32.dll,SafeArrayCreate,0x4141e0
OLEAUT32.dll,VariantInit,0x4141e4
OLEAUT32.dll,SysFreeString,0x4141e8
SHELL32.dll,SHGetSpecialFolderPathA,0x4141fc
SHELL32.dll,SHGetFolderPathA,0x414200
SHELL32.dll,,0x414204
ole32.dll,CoCreateInstance,0x414260
ole32.dll,OleInitialize,0x414264
ole32.dll,CoTaskMemFree,0x414268
PSAPI.DLL,EnumProcesses,0x4141f0
PSAPI.DLL,GetModuleFileNameExA,0x4141f4
SHLWAPI.dll,StrStrIA,0x41420c
CRYPT32.dll,CryptUnprotectData,0x41406c
iphlpapi.dll,GetNetworkParams,0x414258
WS2_32.dll,WSAStartup,0x414244
WS2_32.dll,gethostname,0x414248
WS2_32.dll,gethostbyname,0x41424c
WS2_32.dll,inet_ntoa,0x414250
urlmon.dll,URLDownloadToFileA,0x414270
