dll,name,address
ntoskrnl.exe,ObfDereferenceObject,0x12494
ntoskrnl.exe,ObReferenceObjectByHandle,0x12498
ntoskrnl.exe,ZwOpenDirectoryObject,0x1249c
ntoskrnl.exe,RtlInitUnicodeString,0x124a0
ntoskrnl.exe,NtBuildNumber,0x124a4
ntoskrnl.exe,NtDeviceIoControlFile,0x124a8
ntoskrnl.exe,MmGetSystemRoutineAddress,0x124ac
ntoskrnl.exe,IoAttachDeviceByPointer,0x124b0
ntoskrnl.exe,IoRaiseHardError,0x124b4
ntoskrnl.exe,NtSetQuotaInformationFile,0x124b8
ntoskrnl.exe,RtlUpcaseUnicodeChar,0x124bc
ntoskrnl.exe,MmIsAddressValid,0x124c0
ntoskrnl.exe,KeTickCount,0x124c4
ntoskrnl.exe,IoFreeMdl,0x124c8
ntoskrnl.exe,MmUnmapLockedPages,0x124cc
ntoskrnl.exe,ZwClose,0x124d0
ntoskrnl.exe,MmBuildMdlForNonPagedPool,0x124d4
ntoskrnl.exe,IoAllocateMdl,0x124d8
ntoskrnl.exe,memcpy,0x124dc
ntoskrnl.exe,ExFreePoolWithTag,0x124e0
ntoskrnl.exe,_stricmp,0x124e4
ntoskrnl.exe,strrchr,0x124e8
ntoskrnl.exe,ExAllocatePoolWithTag,0x124ec
ntoskrnl.exe,ZwQuerySystemInformation,0x124f0
ntoskrnl.exe,KeInitializeMutex,0x124f4
ntoskrnl.exe,KeReleaseMutex,0x124f8
ntoskrnl.exe,KeWaitForSingleObject,0x124fc
ntoskrnl.exe,KeBugCheckEx,0x12500
ntoskrnl.exe,memset,0x12504
ntoskrnl.exe,IoCreateDevice,0x12508
ntoskrnl.exe,IoDeleteDevice,0x1250c
ntoskrnl.exe,MmMapLockedPagesSpecifyCache,0x12510
ntoskrnl.exe,IofCompleteRequest,0x12514
HAL.dll,KfReleaseSpinLock,0x12480
HAL.dll,KeRaiseIrqlToDpcLevel,0x12484
HAL.dll,KfLowerIrql,0x12488
HAL.dll,KfAcquireSpinLock,0x1248c
