dll,name,address
KERNEL32.dll,Sleep,0x403000
KERNEL32.dll,CloseHandle,0x403004
KERNEL32.dll,Process32Next,0x403008
KERNEL32.dll,CreateToolhelp32Snapshot,0x40300c
KERNEL32.dll,TerminateProcess,0x403010
KERNEL32.dll,TerminateThread,0x403014
KERNEL32.dll,GetProcAddress,0x403018
KERNEL32.dll,LoadLibraryA,0x40301c
KERNEL32.dll,CopyFileA,0x403020
KERNEL32.dll,GetTempPathA,0x403024
KERNEL32.dll,GetSystemDirectoryA,0x403028
KERNEL32.dll,GetStartupInfoA,0x40302c
KERNEL32.dll,CreateThread,0x403030
KERNEL32.dll,WriteFile,0x403034
KERNEL32.dll,CreatePipe,0x403038
KERNEL32.dll,ReadFile,0x40303c
KERNEL32.dll,PeekNamedPipe,0x403040
KERNEL32.dll,GetLongPathNameA,0x403044
KERNEL32.dll,GetModuleHandleA,0x403048
WININET.dll,HttpQueryInfoA,0x4030e4
WININET.dll,HttpAddRequestHeadersA,0x4030e8
WININET.dll,InternetOpenA,0x4030ec
WININET.dll,InternetCloseHandle,0x4030f0
WININET.dll,HttpOpenRequestA,0x4030f4
WININET.dll,HttpSendRequestA,0x4030f8
WININET.dll,InternetReadFile,0x4030fc
WININET.dll,InternetConnectA,0x403100
MSVCRT.dll,_stricmp,0x403050
MSVCRT.dll,_controlfp,0x403054
MSVCRT.dll,_except_handler3,0x403058
MSVCRT.dll,__set_app_type,0x40305c
MSVCRT.dll,__p__fmode,0x403060
MSVCRT.dll,__p__commode,0x403064
MSVCRT.dll,_strnicmp,0x403068
MSVCRT.dll,atoi,0x40306c
MSVCRT.dll,strcat,0x403070
MSVCRT.dll,strcmp,0x403074
MSVCRT.dll,strncpy,0x403078
MSVCRT.dll,strlen,0x40307c
MSVCRT.dll,srand,0x403080
MSVCRT.dll,time,0x403084
MSVCRT.dll,strcpy,0x403088
MSVCRT.dll,memset,0x40308c
MSVCRT.dll,_ultoa,0x403090
MSVCRT.dll,??2@YAPAXI@Z,0x403094
MSVCRT.dll,printf,0x403098
MSVCRT.dll,strstr,0x40309c
MSVCRT.dll,??3@YAXPAX@Z,0x4030a0
MSVCRT.dll,fclose,0x4030a4
MSVCRT.dll,fflush,0x4030a8
MSVCRT.dll,fwrite,0x4030ac
MSVCRT.dll,fopen,0x4030b0
MSVCRT.dll,atol,0x4030b4
MSVCRT.dll,sscanf,0x4030b8
MSVCRT.dll,rand,0x4030bc
MSVCRT.dll,_exit,0x4030c0
MSVCRT.dll,_XcptFilter,0x4030c4
MSVCRT.dll,exit,0x4030c8
MSVCRT.dll,_acmdln,0x4030cc
MSVCRT.dll,__getmainargs,0x4030d0
MSVCRT.dll,_initterm,0x4030d4
MSVCRT.dll,__setusermatherr,0x4030d8
MSVCRT.dll,_adjust_fdiv,0x4030dc
