dll,name,address
kernel32.dll,DeleteCriticalSection,0x47f118
kernel32.dll,LeaveCriticalSection,0x47f11c
kernel32.dll,EnterCriticalSection,0x47f120
kernel32.dll,InitializeCriticalSection,0x47f124
kernel32.dll,VirtualFree,0x47f128
kernel32.dll,VirtualAlloc,0x47f12c
kernel32.dll,LocalFree,0x47f130
kernel32.dll,LocalAlloc,0x47f134
kernel32.dll,GetVersion,0x47f138
kernel32.dll,GetCurrentThreadId,0x47f13c
kernel32.dll,InterlockedDecrement,0x47f140
kernel32.dll,InterlockedIncrement,0x47f144
kernel32.dll,VirtualQuery,0x47f148
kernel32.dll,WideCharToMultiByte,0x47f14c
kernel32.dll,MultiByteToWideChar,0x47f150
kernel32.dll,lstrlenA,0x47f154
kernel32.dll,lstrcpynA,0x47f158
kernel32.dll,LoadLibraryExA,0x47f15c
kernel32.dll,GetThreadLocale,0x47f160
kernel32.dll,GetStartupInfoA,0x47f164
kernel32.dll,GetProcAddress,0x47f168
kernel32.dll,GetModuleHandleA,0x47f16c
kernel32.dll,GetModuleFileNameA,0x47f170
kernel32.dll,GetLocaleInfoA,0x47f174
kernel32.dll,GetCommandLineA,0x47f178
kernel32.dll,FreeLibrary,0x47f17c
kernel32.dll,FindFirstFileA,0x47f180
kernel32.dll,FindClose,0x47f184
kernel32.dll,ExitProcess,0x47f188
kernel32.dll,WriteFile,0x47f18c
kernel32.dll,UnhandledExceptionFilter,0x47f190
kernel32.dll,RtlUnwind,0x47f194
kernel32.dll,RaiseException,0x47f198
kernel32.dll,GetStdHandle,0x47f19c
user32.dll,GetKeyboardType,0x47f1a4
user32.dll,LoadStringA,0x47f1a8
user32.dll,MessageBoxA,0x47f1ac
user32.dll,CharNextA,0x47f1b0
advapi32.dll,RegQueryValueExA,0x47f1b8
advapi32.dll,RegOpenKeyExA,0x47f1bc
advapi32.dll,RegCloseKey,0x47f1c0
oleaut32.dll,SysFreeString,0x47f1c8
oleaut32.dll,SysReAllocStringLen,0x47f1cc
oleaut32.dll,SysAllocStringLen,0x47f1d0
kernel32.dll,TlsSetValue,0x47f1d8
kernel32.dll,TlsGetValue,0x47f1dc
kernel32.dll,LocalAlloc,0x47f1e0
kernel32.dll,GetModuleHandleA,0x47f1e4
advapi32.dll,RegQueryValueExA,0x47f1ec
advapi32.dll,RegOpenKeyExA,0x47f1f0
advapi32.dll,RegCloseKey,0x47f1f4
kernel32.dll,lstrcpyA,0x47f1fc
kernel32.dll,WriteFile,0x47f200
kernel32.dll,WaitForSingleObject,0x47f204
kernel32.dll,VirtualQuery,0x47f208
kernel32.dll,VirtualAlloc,0x47f20c
kernel32.dll,SleepEx,0x47f210
kernel32.dll,Sleep,0x47f214
kernel32.dll,SizeofResource,0x47f218
kernel32.dll,SetThreadLocale,0x47f21c
kernel32.dll,SetFilePointer,0x47f220
kernel32.dll,SetEvent,0x47f224
kernel32.dll,SetErrorMode,0x47f228
kernel32.dll,SetEndOfFile,0x47f22c
