dll,name,address
KERNEL32.dll,ReadFile,0x180003000
KERNEL32.dll,CloseHandle,0x180003008
KERNEL32.dll,CreateFileA,0x180003010
KERNEL32.dll,GetFileSize,0x180003018
KERNEL32.dll,GetCommandLineA,0x180003020
KERNEL32.dll,Sleep,0x180003028
KERNEL32.dll,GetProcAddress,0x180003030
KERNEL32.dll,SetFileAttributesA,0x180003038
KERNEL32.dll,GetModuleFileNameA,0x180003040
KERNEL32.dll,OutputDebugStringA,0x180003048
KERNEL32.dll,DeleteFileA,0x180003050
KERNEL32.dll,CreateThread,0x180003058
KERNEL32.dll,LocalAlloc,0x180003060
KERNEL32.dll,LocalLock,0x180003068
KERNEL32.dll,LocalUnlock,0x180003070
KERNEL32.dll,LocalFree,0x180003078
KERNEL32.dll,VirtualAlloc,0x180003080
KERNEL32.dll,VirtualFree,0x180003088
KERNEL32.dll,VirtualProtect,0x180003090
KERNEL32.dll,IsBadReadPtr,0x180003098
KERNEL32.dll,LoadLibraryA,0x1800030a0
KERNEL32.dll,TerminateProcess,0x1800030a8
KERNEL32.dll,GetCurrentProcess,0x1800030b0
KERNEL32.dll,UnhandledExceptionFilter,0x1800030b8
KERNEL32.dll,SetUnhandledExceptionFilter,0x1800030c0
KERNEL32.dll,IsDebuggerPresent,0x1800030c8
KERNEL32.dll,RtlVirtualUnwind,0x1800030d0
KERNEL32.dll,RtlLookupFunctionEntry,0x1800030d8
KERNEL32.dll,RtlCaptureContext,0x1800030e0
