dll,name,address
KERNEL32.dll,GetVersionExA,0x101b9000
KERNEL32.dll,GetStdHandle,0x101b9004
USER32.dll,CloseClipboard,0x101b900c
GDI32.dll,CreatePalette,0x101b9014
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x101b901c
SHELL32.dll,CommandLineToArgvW,0x101b9024
ole32.dll,CoCreateInstance,0x101b902c
WS2_32.dll,ioctlsocket,0x101b9034
SHLWAPI.dll,PathMatchSpecA,0x101b903c
DNSAPI.dll,DnsFlushResolverCache,0x101b9044
Secur32.dll,LsaEnumerateLogonSessions,0x101b904c
PSAPI.DLL,GetModuleInformation,0x101b9054
NETAPI32.dll,NetLocalGroupAddMembers,0x101b905c
AVICAP32.dll,capCreateCaptureWindowA,0x101b9064
WTSAPI32.dll,WTSFreeMemory,0x101b906c
USERENV.dll,DestroyEnvironmentBlock,0x101b9074
VERSION.dll,VerQueryValueA,0x101b907c
KERNEL32.dll,GetModuleFileNameW,0x101b9084
KERNEL32.dll,GetModuleHandleA,0x101b908c
KERNEL32.dll,LoadLibraryA,0x101b9090
KERNEL32.dll,LocalAlloc,0x101b9094
KERNEL32.dll,LocalFree,0x101b9098
KERNEL32.dll,GetModuleFileNameA,0x101b909c
KERNEL32.dll,ExitProcess,0x101b90a0
