dll,name,address
kernel32.dll,DeleteCriticalSection,0x47812c
kernel32.dll,LeaveCriticalSection,0x478130
kernel32.dll,EnterCriticalSection,0x478134
kernel32.dll,InitializeCriticalSection,0x478138
kernel32.dll,VirtualFree,0x47813c
kernel32.dll,VirtualAlloc,0x478140
kernel32.dll,LocalFree,0x478144
kernel32.dll,LocalAlloc,0x478148
kernel32.dll,GetVersion,0x47814c
kernel32.dll,GetCurrentThreadId,0x478150
kernel32.dll,InterlockedDecrement,0x478154
kernel32.dll,InterlockedIncrement,0x478158
kernel32.dll,VirtualQuery,0x47815c
kernel32.dll,WideCharToMultiByte,0x478160
kernel32.dll,MultiByteToWideChar,0x478164
kernel32.dll,lstrlenA,0x478168
kernel32.dll,lstrcpynA,0x47816c
kernel32.dll,LoadLibraryExA,0x478170
kernel32.dll,GetThreadLocale,0x478174
kernel32.dll,GetStartupInfoA,0x478178
kernel32.dll,GetProcAddress,0x47817c
kernel32.dll,GetModuleHandleA,0x478180
kernel32.dll,GetModuleFileNameA,0x478184
kernel32.dll,GetLocaleInfoA,0x478188
kernel32.dll,GetCommandLineA,0x47818c
kernel32.dll,FreeLibrary,0x478190
kernel32.dll,FindFirstFileA,0x478194
kernel32.dll,FindClose,0x478198
kernel32.dll,ExitProcess,0x47819c
kernel32.dll,WriteFile,0x4781a0
kernel32.dll,UnhandledExceptionFilter,0x4781a4
kernel32.dll,RtlUnwind,0x4781a8
kernel32.dll,RaiseException,0x4781ac
kernel32.dll,GetStdHandle,0x4781b0
user32.dll,GetKeyboardType,0x4781b8
user32.dll,LoadStringA,0x4781bc
user32.dll,MessageBoxA,0x4781c0
user32.dll,CharNextA,0x4781c4
advapi32.dll,RegQueryValueExA,0x4781cc
advapi32.dll,RegOpenKeyExA,0x4781d0
advapi32.dll,RegCloseKey,0x4781d4
oleaut32.dll,SysFreeString,0x4781dc
oleaut32.dll,SysReAllocStringLen,0x4781e0
oleaut32.dll,SysAllocStringLen,0x4781e4
kernel32.dll,TlsSetValue,0x4781ec
kernel32.dll,TlsGetValue,0x4781f0
kernel32.dll,LocalAlloc,0x4781f4
kernel32.dll,GetModuleHandleA,0x4781f8
advapi32.dll,RegQueryValueExA,0x478200
advapi32.dll,RegOpenKeyExA,0x478204
advapi32.dll,RegCloseKey,0x478208
kernel32.dll,lstrcpyA,0x478210
kernel32.dll,WriteFile,0x478214
kernel32.dll,WaitForSingleObject,0x478218
kernel32.dll,VirtualQuery,0x47821c
kernel32.dll,VirtualProtect,0x478220
kernel32.dll,VirtualAlloc,0x478224
kernel32.dll,Sleep,0x478228
kernel32.dll,SizeofResource,0x47822c
kernel32.dll,SetThreadLocale,0x478230
kernel32.dll,SetFilePointer,0x478234
kernel32.dll,SetEvent,0x478238
kernel32.dll,SetErrorMode,0x47823c
kernel32.dll,SetEndOfFile,0x478240
kernel32.dll,ResetEvent,0x478244
kernel32.dll,ReadFile,0x478248
kernel32.dll,MulDiv,0x47824c
kernel32.dll,LockResource,0x478250
kernel32.dll,LoadResource,0x478254
kernel32.dll,LoadLibraryA,0x478258
kernel32.dll,LeaveCriticalSection,0x47825c
kernel32.dll,InitializeCriticalSection,0x478260
kernel32.dll,GlobalUnlock,0x478264
kernel32.dll,GlobalReAlloc,0x478268
kernel32.dll,GlobalHandle,0x47826c
kernel32.dll,GlobalLock,0x478270
kernel32.dll,GlobalFree,0x478274
kernel32.dll,GlobalFindAtomA,0x478278
kernel32.dll,GlobalDeleteAtom,0x47827c
kernel32.dll,GlobalAlloc,0x478280
kernel32.dll,GlobalAddAtomA,0x478284
kernel32.dll,GetVersionExA,0x478288
kernel32.dll,GetVersion,0x47828c
