dll,name,address
KERNEL32.dll,CreateDirectoryA,0x407010
KERNEL32.dll,CreateProcessA,0x407014
KERNEL32.dll,ExpandEnvironmentStringsA,0x407018
KERNEL32.dll,MoveFileExA,0x40701c
KERNEL32.dll,MoveFileA,0x407020
KERNEL32.dll,DeleteFileA,0x407024
KERNEL32.dll,GetTempFileNameA,0x407028
KERNEL32.dll,GetTempPathA,0x40702c
KERNEL32.dll,GetEnvironmentVariableA,0x407030
KERNEL32.dll,GetModuleFileNameA,0x407034
KERNEL32.dll,WaitForMultipleObjects,0x407038
KERNEL32.dll,GetCurrentThreadId,0x40703c
KERNEL32.dll,GetLastError,0x407040
KERNEL32.dll,ReadFile,0x407044
KERNEL32.dll,SetFilePointer,0x407048
KERNEL32.dll,GetFileSize,0x40704c
KERNEL32.dll,GetFileInformationByHandle,0x407050
KERNEL32.dll,MapViewOfFile,0x407054
KERNEL32.dll,CreateFileMappingA,0x407058
KERNEL32.dll,UnmapViewOfFile,0x40705c
KERNEL32.dll,SystemTimeToFileTime,0x407060
KERNEL32.dll,GetLocalTime,0x407064
KERNEL32.dll,GetTickCount,0x407068
KERNEL32.dll,GetModuleHandleA,0x40706c
KERNEL32.dll,CloseHandle,0x407070
KERNEL32.dll,CreateFileA,0x407074
KERNEL32.dll,WriteFile,0x407078
KERNEL32.dll,FileTimeToSystemTime,0x40707c
KERNEL32.dll,GetStartupInfoA,0x407080
USER32.dll,GetDesktopWindow,0x407104
USER32.dll,GetInputState,0x407108
USER32.dll,PostThreadMessageA,0x40710c
USER32.dll,GetMessageA,0x407110
ADVAPI32.dll,RegQueryValueExA,0x407000
ADVAPI32.dll,RegOpenKeyExA,0x407004
ADVAPI32.dll,RegCloseKey,0x407008
SHELL32.dll,ShellExecuteA,0x4070f4
MSVCRT.dll,_controlfp,0x407088
MSVCRT.dll,_except_handler3,0x40708c
MSVCRT.dll,??3@YAXPAX@Z,0x407090
MSVCRT.dll,??2@YAPAXI@Z,0x407094
MSVCRT.dll,__CxxFrameHandler,0x407098
MSVCRT.dll,strstr,0x40709c
MSVCRT.dll,strrchr,0x4070a0
MSVCRT.dll,_access,0x4070a4
MSVCRT.dll,_vsnprintf,0x4070a8
MSVCRT.dll,_beginthread,0x4070ac
MSVCRT.dll,sprintf,0x4070b0
MSVCRT.dll,strncpy,0x4070b4
MSVCRT.dll,_mbsicmp,0x4070b8
MSVCRT.dll,rand,0x4070bc
MSVCRT.dll,srand,0x4070c0
MSVCRT.dll,_exit,0x4070c4
MSVCRT.dll,_XcptFilter,0x4070c8
MSVCRT.dll,exit,0x4070cc
MSVCRT.dll,_acmdln,0x4070d0
MSVCRT.dll,__getmainargs,0x4070d4
MSVCRT.dll,_initterm,0x4070d8
MSVCRT.dll,__setusermatherr,0x4070dc
MSVCRT.dll,_adjust_fdiv,0x4070e0
MSVCRT.dll,__p__commode,0x4070e4
MSVCRT.dll,__p__fmode,0x4070e8
MSVCRT.dll,__set_app_type,0x4070ec
SHLWAPI.dll,StrRChrIA,0x4070fc
