dll,name,address
oleaut32.dll,SysFreeString,0x4b5990
oleaut32.dll,SysReAllocStringLen,0x4b5994
oleaut32.dll,SysAllocStringLen,0x4b5998
advapi32.dll,RegQueryValueExW,0x4b59a0
advapi32.dll,RegOpenKeyExW,0x4b59a4
advapi32.dll,RegCloseKey,0x4b59a8
user32.dll,LoadStringW,0x4b59b0
user32.dll,MessageBoxA,0x4b59b4
user32.dll,CharNextW,0x4b59b8
kernel32.dll,lstrcmpiA,0x4b59c0
kernel32.dll,LoadLibraryA,0x4b59c4
kernel32.dll,LocalFree,0x4b59c8
kernel32.dll,LocalAlloc,0x4b59cc
kernel32.dll,GetACP,0x4b59d0
kernel32.dll,Sleep,0x4b59d4
kernel32.dll,VirtualFree,0x4b59d8
kernel32.dll,VirtualAlloc,0x4b59dc
kernel32.dll,GetSystemInfo,0x4b59e0
kernel32.dll,GetTickCount,0x4b59e4
kernel32.dll,QueryPerformanceCounter,0x4b59e8
kernel32.dll,GetVersion,0x4b59ec
kernel32.dll,GetCurrentThreadId,0x4b59f0
kernel32.dll,VirtualQuery,0x4b59f4
kernel32.dll,WideCharToMultiByte,0x4b59f8
kernel32.dll,MultiByteToWideChar,0x4b59fc
kernel32.dll,lstrlenW,0x4b5a00
kernel32.dll,lstrcpynW,0x4b5a04
kernel32.dll,LoadLibraryExW,0x4b5a08
kernel32.dll,IsValidLocale,0x4b5a0c
kernel32.dll,GetSystemDefaultUILanguage,0x4b5a10
kernel32.dll,GetStartupInfoA,0x4b5a14
kernel32.dll,GetProcAddress,0x4b5a18
kernel32.dll,GetModuleHandleW,0x4b5a1c
kernel32.dll,GetModuleFileNameW,0x4b5a20
kernel32.dll,GetUserDefaultUILanguage,0x4b5a24
kernel32.dll,GetLocaleInfoW,0x4b5a28
kernel32.dll,GetLastError,0x4b5a2c
kernel32.dll,GetCommandLineW,0x4b5a30
kernel32.dll,FreeLibrary,0x4b5a34
kernel32.dll,FindFirstFileW,0x4b5a38
kernel32.dll,FindClose,0x4b5a3c
kernel32.dll,ExitProcess,0x4b5a40
kernel32.dll,ExitThread,0x4b5a44
kernel32.dll,CreateThread,0x4b5a48
kernel32.dll,CompareStringW,0x4b5a4c
kernel32.dll,WriteFile,0x4b5a50
kernel32.dll,UnhandledExceptionFilter,0x4b5a54
kernel32.dll,SetFilePointer,0x4b5a58
kernel32.dll,SetEndOfFile,0x4b5a5c
kernel32.dll,RtlUnwind,0x4b5a60
kernel32.dll,ReadFile,0x4b5a64
kernel32.dll,RaiseException,0x4b5a68
kernel32.dll,GetStdHandle,0x4b5a6c
kernel32.dll,GetFileSize,0x4b5a70
kernel32.dll,GetFileType,0x4b5a74
kernel32.dll,DeleteCriticalSection,0x4b5a78
kernel32.dll,LeaveCriticalSection,0x4b5a7c
kernel32.dll,EnterCriticalSection,0x4b5a80
kernel32.dll,InitializeCriticalSection,0x4b5a84
kernel32.dll,CreateFileW,0x4b5a88
kernel32.dll,CloseHandle,0x4b5a8c
kernel32.dll,TlsSetValue,0x4b5a94
kernel32.dll,TlsGetValue,0x4b5a98
kernel32.dll,LocalAlloc,0x4b5a9c
kernel32.dll,GetModuleHandleW,0x4b5aa0
user32.dll,CreateWindowExW,0x4b5aa8
user32.dll,WindowFromPoint,0x4b5aac
user32.dll,WaitMessage,0x4b5ab0
user32.dll,UpdateWindow,0x4b5ab4
user32.dll,UnregisterClassW,0x4b5ab8
user32.dll,UnhookWindowsHookEx,0x4b5abc
user32.dll,TranslateMessage,0x4b5ac0
user32.dll,TranslateMDISysAccel,0x4b5ac4
user32.dll,TrackPopupMenu,0x4b5ac8
user32.dll,SystemParametersInfoW,0x4b5acc
user32.dll,ShowWindow,0x4b5ad0
user32.dll,ShowScrollBar,0x4b5ad4
user32.dll,ShowOwnedPopups,0x4b5ad8
user32.dll,SetWindowsHookExW,0x4b5adc
user32.dll,SetWindowTextW,0x4b5ae0
user32.dll,SetWindowPos,0x4b5ae4
user32.dll,SetWindowPlacement,0x4b5ae8
user32.dll,SetWindowLongW,0x4b5aec
user32.dll,SetTimer,0x4b5af0
user32.dll,SetScrollRange,0x4b5af4
user32.dll,SetScrollPos,0x4b5af8
user32.dll,SetScrollInfo,0x4b5afc
user32.dll,SetRect,0x4b5b00
user32.dll,SetPropW,0x4b5b04
user32.dll,SetParent,0x4b5b08
user32.dll,SetMenuItemInfoW,0x4b5b0c
user32.dll,SetMenu,0x4b5b10
user32.dll,SetForegroundWindow,0x4b5b14
user32.dll,SetFocus,0x4b5b18
user32.dll,SetCursorPos,0x4b5b1c
user32.dll,SetCursor,0x4b5b20
user32.dll,SetClassLongW,0x4b5b24
user32.dll,SetCapture,0x4b5b28
user32.dll,SetActiveWindow,0x4b5b2c
user32.dll,SendMessageA,0x4b5b30
user32.dll,SendMessageW,0x4b5b34
user32.dll,ScrollWindow,0x4b5b38
user32.dll,ScreenToClient,0x4b5b3c
user32.dll,RemovePropW,0x4b5b40
user32.dll,RemoveMenu,0x4b5b44
user32.dll,ReleaseDC,0x4b5b48
user32.dll,ReleaseCapture,0x4b5b4c
user32.dll,RegisterWindowMessageW,0x4b5b50
user32.dll,RegisterClipboardFormatW,0x4b5b54
user32.dll,RegisterClassW,0x4b5b58
user32.dll,RedrawWindow,0x4b5b5c
user32.dll,PostQuitMessage,0x4b5b60
user32.dll,PostMessageW,0x4b5b64
user32.dll,PeekMessageA,0x4b5b68
user32.dll,PeekMessageW,0x4b5b6c
user32.dll,OffsetRect,0x4b5b70
user32.dll,MsgWaitForMultipleObjectsEx,0x4b5b74
user32.dll,MsgWaitForMultipleObjects,0x4b5b78
user32.dll,MessageBoxW,0x4b5b7c
user32.dll,MapWindowPoints,0x4b5b80
user32.dll,MapVirtualKeyW,0x4b5b84
user32.dll,LoadStringW,0x4b5b88
user32.dll,LoadKeyboardLayoutW,0x4b5b8c
user32.dll,LoadIconW,0x4b5b90
user32.dll,LoadCursorW,0x4b5b94
user32.dll,LoadBitmapW,0x4b5b98
user32.dll,KillTimer,0x4b5b9c
user32.dll,IsZoomed,0x4b5ba0
user32.dll,IsWindowVisible,0x4b5ba4
user32.dll,IsWindowUnicode,0x4b5ba8
user32.dll,IsWindowEnabled,0x4b5bac
user32.dll,IsWindow,0x4b5bb0
user32.dll,IsIconic,0x4b5bb4
user32.dll,IsDialogMessageA,0x4b5bb8
user32.dll,IsDialogMessageW,0x4b5bbc
user32.dll,IsChild,0x4b5bc0
user32.dll,InvalidateRect,0x4b5bc4
user32.dll,IntersectRect,0x4b5bc8
user32.dll,InsertMenuItemW,0x4b5bcc
user32.dll,InsertMenuW,0x4b5bd0
user32.dll,InflateRect,0x4b5bd4
user32.dll,GetWindowThreadProcessId,0x4b5bd8
user32.dll,GetWindowTextW,0x4b5bdc
user32.dll,GetWindowRect,0x4b5be0
user32.dll,GetWindowPlacement,0x4b5be4
user32.dll,GetWindowLongW,0x4b5be8
user32.dll,GetWindowDC,0x4b5bec
user32.dll,GetTopWindow,0x4b5bf0
user32.dll,GetSystemMetrics,0x4b5bf4
user32.dll,GetSystemMenu,0x4b5bf8
user32.dll,GetSysColorBrush,0x4b5bfc
user32.dll,GetSysColor,0x4b5c00
user32.dll,GetSubMenu,0x4b5c04
user32.dll,GetScrollRange,0x4b5c08
user32.dll,GetScrollPos,0x4b5c0c
user32.dll,GetScrollInfo,0x4b5c10
user32.dll,GetPropW,0x4b5c14
user32.dll,GetParent,0x4b5c18
user32.dll,GetWindow,0x4b5c1c
user32.dll,GetMessagePos,0x4b5c20
user32.dll,GetMessageExtraInfo,0x4b5c24
user32.dll,GetMenuStringW,0x4b5c28
user32.dll,GetMenuState,0x4b5c2c
user32.dll,GetMenuItemInfoW,0x4b5c30
user32.dll,GetMenuItemID,0x4b5c34
user32.dll,GetMenuItemCount,0x4b5c38
user32.dll,GetMenu,0x4b5c3c
user32.dll,GetLastActivePopup,0x4b5c40
user32.dll,GetKeyboardState,0x4b5c44
user32.dll,GetKeyboardLayoutNameW,0x4b5c48
user32.dll,GetKeyboardLayoutList,0x4b5c4c
user32.dll,GetKeyboardLayout,0x4b5c50
user32.dll,GetKeyState,0x4b5c54
user32.dll,GetKeyNameTextW,0x4b5c58
user32.dll,GetIconInfo,0x4b5c5c
user32.dll,GetForegroundWindow,0x4b5c60
user32.dll,GetFocus,0x4b5c64
user32.dll,GetDesktopWindow,0x4b5c68
user32.dll,GetDCEx,0x4b5c6c
user32.dll,GetDC,0x4b5c70
user32.dll,GetCursorPos,0x4b5c74
user32.dll,GetCursor,0x4b5c78
user32.dll,GetClientRect,0x4b5c7c
user32.dll,GetClassLongW,0x4b5c80
user32.dll,GetClassInfoW,0x4b5c84
user32.dll,GetCapture,0x4b5c88
user32.dll,GetActiveWindow,0x4b5c8c
user32.dll,FrameRect,0x4b5c90
user32.dll,FindWindowExW,0x4b5c94
user32.dll,FindWindowW,0x4b5c98
user32.dll,FillRect,0x4b5c9c
user32.dll,EnumWindows,0x4b5ca0
user32.dll,EnumThreadWindows,0x4b5ca4
user32.dll,EnumChildWindows,0x4b5ca8
user32.dll,EndPaint,0x4b5cac
user32.dll,EnableWindow,0x4b5cb0
user32.dll,EnableScrollBar,0x4b5cb4
user32.dll,EnableMenuItem,0x4b5cb8
user32.dll,DrawTextExW,0x4b5cbc
user32.dll,DrawTextW,0x4b5cc0
user32.dll,DrawMenuBar,0x4b5cc4
user32.dll,DrawIconEx,0x4b5cc8
